time,x,y,z,qx,qy,qz,qw
0.0,0.405954,-0.0776077,0.455011,0.887463,-0.460395,-0.00158706,0.0210644
0.05,0.405954,-0.0776073,0.455011,0.887461,-0.460399,-0.0015876,0.0210629
0.1,0.405954,-0.0776065,0.455013,0.887464,-0.460393,-0.0015858,0.021064
0.15,0.405953,-0.0776048,0.455011,0.887466,-0.460389,-0.00158656,0.0210647
0.2,0.405954,-0.0776054,0.455015,0.887465,-0.46039,-0.00158331,0.0210625
0.25,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.3,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.35,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.4,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.45,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.5,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.55,0.405953,-0.0776072,0.455013,0.887462,-0.460397,-0.00158658,0.0210616
0.6,0.405953,-0.0776052,0.455011,0.887463,-0.460395,-0.00158752,0.0210632
0.65,0.405954,-0.0776058,0.45501,0.887462,-0.460396,-0.00158876,0.0210642
0.7,0.405954,-0.0776041,0.455014,0.887464,-0.460393,-0.00158395,0.0210625
0.75,0.405954,-0.0776044,0.455012,0.887463,-0.460394,-0.00158615,0.0210644
0.8,0.405954,-0.0776037,0.45501,0.887465,-0.460392,-0.00158781,0.021066
0.85,0.405953,-0.0776028,0.45501,0.887465,-0.460391,-0.00158812,0.0210654
0.9,0.405954,-0.0776044,0.455014,0.887464,-0.460393,-0.00158407,0.0210639
0.95,0.405953,-0.0776044,0.455014,0.887463,-0.460394,-0.001585,0.0210621
1.0,0.405955,-0.0776068,0.455015,0.887464,-0.460393,-0.00158284,0.0210623
1.05,0.405954,-0.0776029,0.455012,0.887464,-0.460392,-0.00158537,0.0210636
1.1,0.405954,-0.0776026,0.455012,0.887466,-0.460388,-0.00158612,0.0210636
1.15,0.405954,-0.0776037,0.455013,0.887465,-0.460392,-0.00158584,0.0210628
1.2,0.405954,-0.0776053,0.455012,0.887463,-0.460394,-0.00158541,0.0210642
1.25,0.405954,-0.0776041,0.455013,0.887464,-0.460393,-0.00158482,0.021064
1.3,0.405954,-0.0776062,0.455015,0.887465,-0.46039,-0.00158365,0.0210621
1.35,0.405955,-0.0776036,0.455014,0.887465,-0.460391,-0.00158382,0.0210633
1.4,0.405954,-0.0776052,0.455013,0.887463,-0.460395,-0.00158548,0.0210633
1.45,0.405955,-0.077601,0.455012,0.887466,-0.46039,-0.00158531,0.0210648
1.5,0.405953,-0.0776035,0.455014,0.887465,-0.460391,-0.00158393,0.0210644
1.55,0.405954,-0.077602,0.455012,0.887468,-0.460386,-0.00158599,0.0210656
1.6,0.405954,-0.0776044,0.455012,0.887463,-0.460394,-0.00158674,0.0210661
1.65,0.405954,-0.0776042,0.455014,0.887464,-0.460392,-0.00158396,0.0210616
1.7,0.405954,-0.0776081,0.455017,0.887464,-0.460392,-0.00158084,0.0210611
1.75,0.405955,-0.0776053,0.455011,0.887463,-0.460394,-0.00158699,0.0210662
1.8,0.405953,-0.0776066,0.455014,0.887463,-0.460395,-0.00158483,0.0210618
1.85,0.405954,-0.0776018,0.455013,0.887467,-0.460386,-0.00158485,0.0210637
1.9,0.405955,-0.0776044,0.455013,0.887466,-0.46039,-0.00158422,0.0210642
1.95,0.405954,-0.0776055,0.455014,0.887463,-0.460394,-0.00158438,0.0210628
2.0,0.405955,-0.0776046,0.455016,0.887465,-0.46039,-0.00158286,0.0210616
2.05,0.405953,-0.0776063,0.455013,0.887465,-0.460392,-0.00158651,0.0210608
2.1,0.405955,-0.0776037,0.455015,0.887466,-0.460388,-0.00158301,0.0210631
