time,x,y,z,qx,qy,qz,qw
1.77126e+09,0.407256,0.078547,0.804949,-0.476278,0.615959,0.436098,0.45119
1.77126e+09,0.407256,0.0785472,0.804947,-0.476278,0.615959,0.436098,0.451189
1.77126e+09,0.407255,0.0785466,0.80495,-0.476279,0.615957,0.436097,0.451192
1.77126e+09,0.407256,0.0785439,0.804949,-0.476278,0.615958,0.436095,0.451194
1.77126e+09,0.407256,0.0785453,0.804948,-0.476275,0.615961,0.436098,0.45119
1.77126e+09,0.407259,0.0785426,0.804948,-0.476279,0.615958,0.436093,0.451196
1.77126e+09,0.407257,0.0785444,0.804947,-0.476278,0.615959,0.436097,0.451191
1.77126e+09,0.407256,0.0785451,0.804947,-0.47628,0.615958,0.436095,0.451193
1.77126e+09,0.407256,0.0785443,0.804949,-0.476275,0.615961,0.436098,0.451191
1.77126e+09,0.407255,0.0785492,0.804947,-0.476281,0.615956,0.436098,0.45119
1.77126e+09,0.407256,0.0785454,0.804949,-0.476277,0.615959,0.436097,0.451191
1.77126e+09,0.407258,0.0785444,0.804946,-0.476275,0.61596,0.436099,0.45119
1.77126e+09,0.407257,0.0785442,0.804949,-0.476276,0.615959,0.436097,0.451192
1.77126e+09,0.407257,0.0785442,0.804949,-0.476276,0.615959,0.436097,0.451192
1.77126e+09,0.407257,0.0785434,0.804948,-0.476276,0.615961,0.436097,0.451191
1.77126e+09,0.407257,0.0785407,0.804949,-0.476275,0.615959,0.436095,0.451196
1.77126e+09,0.407257,0.0785407,0.804949,-0.476275,0.615959,0.436095,0.451196
1.77126e+09,0.407255,0.0785485,0.804948,-0.476279,0.615958,0.436098,0.451189
1.77126e+09,0.407257,0.0785463,0.804946,-0.476276,0.615961,0.436099,0.451188
1.77126e+09,0.407256,0.0785472,0.804948,-0.476279,0.615958,0.436097,0.451191
1.77126e+09,0.407255,0.0785481,0.804949,-0.476282,0.615956,0.436096,0.451192
1.77126e+09,0.407259,0.078545,0.804946,-0.476277,0.615959,0.436097,0.451192
1.77126e+09,0.407259,0.0785404,0.804947,-0.476274,0.615961,0.436096,0.451194
1.77126e+09,0.407255,0.0785426,0.80495,-0.476275,0.615959,0.436096,0.451194
1.77126e+09,0.407256,0.0785455,0.804947,-0.476279,0.615959,0.436096,0.451191
1.77126e+09,0.407257,0.0785476,0.804946,-0.476277,0.61596,0.436099,0.45119
1.77126e+09,0.407256,0.078546,0.804948,-0.476281,0.615957,0.436096,0.451192
1.77126e+09,0.407256,0.0785436,0.804949,-0.476277,0.615957,0.436097,0.451194
1.77126e+09,0.407257,0.0785475,0.804947,-0.476281,0.615957,0.436096,0.451192
1.77126e+09,0.407258,0.0785423,0.804947,-0.476277,0.615958,0.436096,0.451194
1.77126e+09,0.407257,0.0785459,0.804946,-0.476278,0.615959,0.436098,0.451191
1.77126e+09,0.407255,0.078549,0.80495,-0.47628,0.615957,0.436098,0.451191
1.77126e+09,0.407257,0.0785445,0.804947,-0.476276,0.615959,0.436098,0.451191
1.77126e+09,0.407256,0.0785453,0.804949,-0.476278,0.615958,0.436097,0.451193
1.77126e+09,0.407258,0.0785442,0.804946,-0.476275,0.615961,0.436099,0.451189
1.77126e+09,0.407256,0.0785444,0.804949,-0.476278,0.61596,0.436095,0.451193
1.77126e+09,0.40726,0.0785465,0.804944,-0.476275,0.615963,0.436099,0.451187
1.77126e+09,0.407258,0.0785449,0.804947,-0.476276,0.61596,0.436098,0.45119
1.77126e+09,0.407266,0.078551,0.804931,-0.476273,0.615968,0.436106,0.451175
1.77126e+09,0.40727,0.0785494,0.804928,-0.476269,0.615972,0.436104,0.451175
1.77126e+09,0.407263,0.0785483,0.804934,-0.476271,0.615968,0.436104,0.451179
1.77126e+09,0.407263,0.0785355,0.804938,-0.476266,0.615968,0.436099,0.451189
1.77126e+09,0.407258,0.0785392,0.804942,-0.47627,0.615965,0.4361,0.451189
1.77126e+09,0.40723,0.0785613,0.804966,-0.476308,0.615931,0.436104,0.451191
1.77126e+09,0.407221,0.0786531,0.80491,-0.476414,0.615905,0.436191,0.451029
1.77126e+09,0.407282,0.0787595,0.804827,-0.476462,0.615918,0.436258,0.450896
1.77126e+09,0.407304,0.0786766,0.804831,-0.476389,0.615941,0.436252,0.450949
1.77126e+09,0.407312,0.0786359,0.80484,-0.476359,0.615943,0.436248,0.450982
1.77126e+09,0.407293,0.0786366,0.804882,-0.476375,0.61592,0.436232,0.451011
1.77126e+09,0.407259,0.0786064,0.805046,-0.476417,0.615849,0.436151,0.451142
1.77126e+09,0.407202,0.0785515,0.80528,-0.476472,0.615743,0.436037,0.451339
