time,x,y,z,qx,qy,qz,qw
1.77125e+09,0.336751,-0.00765189,0.453625,0.913649,-0.406355,-0.00365943,-0.0104158
1.77125e+09,0.336753,-0.0076503,0.453627,0.913647,-0.406359,-0.00365803,-0.0104168
1.77125e+09,0.336752,-0.00764996,0.453626,0.913647,-0.406358,-0.00365674,-0.0104168
1.77125e+09,0.336753,-0.00765008,0.453626,0.913647,-0.406357,-0.00365691,-0.0104162
1.77125e+09,0.336752,-0.00765128,0.453629,0.913646,-0.406361,-0.00365543,-0.0104178
1.77125e+09,0.336752,-0.00764924,0.453627,0.913649,-0.406355,-0.00365749,-0.0104163
1.77125e+09,0.336752,-0.00765076,0.453626,0.913649,-0.406355,-0.00365694,-0.0104162
1.77125e+09,0.336751,-0.0076484,0.453626,0.913648,-0.406357,-0.00365781,-0.0104158
1.77125e+09,0.336752,-0.00765173,0.453626,0.913648,-0.406357,-0.00365578,-0.0104174
1.77125e+09,0.336751,-0.0076518,0.453625,0.913647,-0.406357,-0.00366079,-0.0104154
1.77125e+09,0.336752,-0.00765095,0.453626,0.913647,-0.406358,-0.00365843,-0.010417
1.77125e+09,0.336752,-0.00765106,0.453627,0.913647,-0.406358,-0.00365616,-0.0104181
1.77125e+09,0.336752,-0.00765182,0.453627,0.913648,-0.406356,-0.00365732,-0.0104181
1.77125e+09,0.336752,-0.00765199,0.453627,0.913646,-0.406361,-0.00365714,-0.0104185
1.77125e+09,0.336752,-0.00765199,0.453627,0.913646,-0.406361,-0.00365714,-0.0104185
1.77125e+09,0.336752,-0.00765199,0.453627,0.913646,-0.406361,-0.00365714,-0.0104185
1.77125e+09,0.336752,-0.00765199,0.453627,0.913646,-0.406361,-0.00365714,-0.0104185
1.77125e+09,0.336752,-0.00764922,0.453626,0.913647,-0.406358,-0.00365779,-0.0104154
1.77125e+09,0.336751,-0.00765034,0.45363,0.913648,-0.406357,-0.00365306,-0.0104205
1.77125e+09,0.336752,-0.00765225,0.453629,0.913647,-0.406359,-0.00365436,-0.0104191
1.77125e+09,0.336751,-0.00765046,0.453627,0.913648,-0.406356,-0.0036554,-0.0104164
1.77125e+09,0.336752,-0.00765148,0.453629,0.913647,-0.406359,-0.00365414,-0.0104171
1.77125e+09,0.336753,-0.00765546,0.453625,0.913645,-0.406363,-0.00365821,-0.0104178
1.77125e+09,0.336752,-0.00765415,0.453626,0.913646,-0.40636,-0.00365733,-0.0104193
1.77125e+09,0.336751,-0.00765362,0.453624,0.913646,-0.406362,-0.00365867,-0.0104175
1.77125e+09,0.336752,-0.00765256,0.453627,0.913646,-0.40636,-0.00365569,-0.0104185
1.77125e+09,0.336753,-0.00765343,0.453628,0.913646,-0.406362,-0.0036569,-0.0104186
1.77125e+09,0.336752,-0.00765252,0.453628,0.913647,-0.406359,-0.00365489,-0.0104187
1.77125e+09,0.336753,-0.00765223,0.453628,0.913647,-0.406359,-0.00365667,-0.0104193
1.77125e+09,0.336753,-0.00765429,0.453629,0.913645,-0.406363,-0.00365413,-0.010421
1.77125e+09,0.336753,-0.00765573,0.45363,0.913646,-0.406361,-0.00365428,-0.010422
1.77125e+09,0.336752,-0.0076531,0.453626,0.913645,-0.406362,-0.00365861,-0.0104179
1.77125e+09,0.336752,-0.00765203,0.453625,0.913648,-0.406356,-0.00365964,-0.0104172
1.77125e+09,0.336752,-0.00765302,0.453626,0.913645,-0.406362,-0.00365767,-0.0104185
1.77125e+09,0.336752,-0.00765301,0.453626,0.913647,-0.406359,-0.00365718,-0.0104188
1.77125e+09,0.336752,-0.00765143,0.453627,0.913648,-0.406357,-0.00365428,-0.0104188
1.77125e+09,0.336752,-0.0076528,0.453625,0.913645,-0.406363,-0.00365815,-0.0104187
1.77125e+09,0.336752,-0.0076545,0.453626,0.913646,-0.406361,-0.0036578,-0.0104204
1.77125e+09,0.336752,-0.0076545,0.453626,0.913646,-0.406361,-0.0036578,-0.0104204
1.77125e+09,0.336752,-0.00765217,0.453628,0.913646,-0.406361,-0.00365439,-0.0104179
1.77125e+09,0.336752,-0.00765217,0.453627,0.913646,-0.40636,-0.00365547,-0.0104185
