time,x,y,z,qx,qy,qz,qw
1.77126e+09,0.39871,-0.0290144,0.747207,0.855367,-0.203615,-0.0703886,-0.471099
1.77126e+09,0.398709,-0.0290166,0.74721,0.855365,-0.203612,-0.0703859,-0.471103
1.77126e+09,0.398709,-0.0290182,0.74721,0.855364,-0.203614,-0.0703877,-0.471104
1.77126e+09,0.39871,-0.0290156,0.747209,0.855366,-0.203615,-0.0703875,-0.471101
1.77126e+09,0.398711,-0.0290191,0.747209,0.855363,-0.20362,-0.0703881,-0.471103
1.77126e+09,0.39871,-0.0290162,0.747209,0.855365,-0.203615,-0.0703882,-0.471102
1.77126e+09,0.39871,-0.0290169,0.747209,0.855366,-0.203617,-0.0703863,-0.4711
1.77126e+09,0.398711,-0.0290166,0.747208,0.855364,-0.20362,-0.0703904,-0.471101
1.77126e+09,0.39871,-0.0290193,0.74721,0.855364,-0.203617,-0.0703868,-0.471103
1.77126e+09,0.39871,-0.029016,0.747208,0.855365,-0.203619,-0.0703905,-0.4711
1.77126e+09,0.39871,-0.029016,0.747208,0.855365,-0.203619,-0.0703905,-0.4711
1.77126e+09,0.39871,-0.0290202,0.74721,0.855364,-0.203615,-0.0703846,-0.471104
1.77126e+09,0.398709,-0.0290194,0.747212,0.855365,-0.203612,-0.0703832,-0.471105
1.77126e+09,0.39871,-0.0290205,0.747208,0.855364,-0.203616,-0.0703864,-0.471104
1.77126e+09,0.398709,-0.0290165,0.74721,0.855366,-0.203613,-0.0703854,-0.471102
1.77126e+09,0.39871,-0.0290175,0.747208,0.855365,-0.203617,-0.0703879,-0.471101
1.77126e+09,0.39871,-0.0290182,0.747209,0.855364,-0.203618,-0.0703877,-0.471102
1.77126e+09,0.39871,-0.0290163,0.747208,0.855364,-0.203619,-0.0703901,-0.471101
1.77126e+09,0.398709,-0.0290201,0.747208,0.855363,-0.20362,-0.070388,-0.471103
1.77126e+09,0.39871,-0.0290132,0.747207,0.855367,-0.203613,-0.0703888,-0.4711
1.77126e+09,0.39871,-0.0290204,0.747209,0.855363,-0.203621,-0.0703884,-0.471104
1.77126e+09,0.398709,-0.0290205,0.747209,0.855364,-0.203615,-0.0703857,-0.471105
1.77126e+09,0.398711,-0.0290167,0.747206,0.855366,-0.203616,-0.0703873,-0.4711
1.77126e+09,0.398711,-0.0290176,0.747207,0.855365,-0.203618,-0.0703889,-0.471101
1.77126e+09,0.398711,-0.0290197,0.747208,0.855364,-0.203616,-0.0703861,-0.471103
1.77126e+09,0.398711,-0.029021,0.74721,0.855363,-0.203621,-0.0703861,-0.471104
1.77126e+09,0.39871,-0.0290159,0.747208,0.855365,-0.203619,-0.0703889,-0.4711
1.77126e+09,0.398711,-0.0290181,0.747207,0.855364,-0.203621,-0.0703902,-0.471101
1.77126e+09,0.39871,-0.0290229,0.74721,0.855362,-0.203623,-0.0703862,-0.471104
1.77126e+09,0.39871,-0.0290175,0.747207,0.855365,-0.203618,-0.0703873,-0.471101
1.77126e+09,0.398709,-0.0290196,0.74721,0.855365,-0.203615,-0.0703859,-0.471103
1.77126e+09,0.39871,-0.0290177,0.747209,0.855365,-0.20362,-0.070387,-0.471101
1.77126e+09,0.398709,-0.0290198,0.747208,0.855364,-0.20362,-0.0703886,-0.471102
1.77126e+09,0.398711,-0.0290222,0.747209,0.855363,-0.203621,-0.0703862,-0.471104
1.77126e+09,0.398711,-0.0290213,0.74721,0.855363,-0.203619,-0.0703864,-0.471105
1.77126e+09,0.398709,-0.0290197,0.747211,0.855364,-0.203618,-0.0703864,-0.471103
1.77126e+09,0.398711,-0.0290227,0.747211,0.855362,-0.203621,-0.070385,-0.471105
1.77126e+09,0.398711,-0.0290207,0.747209,0.855363,-0.203619,-0.0703869,-0.471104
1.77126e+09,0.39871,-0.0290177,0.747208,0.855365,-0.203618,-0.0703886,-0.471102
1.77126e+09,0.398711,-0.0290186,0.747208,0.855363,-0.20362,-0.0703902,-0.471103
