time,x,y,z,qx,qy,qz,qw
0.0,0.350315,-0.0211602,0.454292,0.930813,-0.36454,-0.0180702,0.0192617
0.05,0.350315,-0.0211602,0.454292,0.930813,-0.36454,-0.0180702,0.0192617
0.1,0.350313,-0.0211595,0.454288,0.930814,-0.364537,-0.018075,0.0192624
0.15,0.350313,-0.0211573,0.454292,0.930814,-0.364537,-0.0180701,0.0192614
0.2,0.350315,-0.02116,0.45429,0.930811,-0.364544,-0.018073,0.0192627
0.25,0.350314,-0.0211611,0.454288,0.930811,-0.364545,-0.0180752,0.0192627
0.3,0.350314,-0.0211597,0.454289,0.930812,-0.364542,-0.0180745,0.0192613
0.35,0.350315,-0.0211604,0.45429,0.930812,-0.364543,-0.0180734,0.0192611
0.4,0.350314,-0.0211603,0.454291,0.930813,-0.36454,-0.018072,0.0192604
0.45,0.350315,-0.0211612,0.454292,0.930812,-0.364543,-0.0180711,0.0192603
0.5,0.350315,-0.0211614,0.454294,0.930812,-0.364543,-0.0180693,0.0192566
0.55,0.350315,-0.0211603,0.454293,0.930811,-0.364545,-0.0180692,0.0192594
0.6,0.350315,-0.0211603,0.454294,0.930812,-0.364544,-0.0180659,0.0192577
0.65,0.350318,-0.0211633,0.454295,0.930813,-0.364541,-0.0180654,0.019255
0.7,0.350318,-0.0211652,0.454296,0.93081,-0.364549,-0.0180641,0.0192543
0.75,0.350317,-0.0211645,0.454295,0.93081,-0.36455,-0.0180646,0.0192527
0.8,0.350317,-0.0211685,0.454294,0.93081,-0.364549,-0.0180666,0.0192528
0.85,0.350318,-0.0211646,0.454298,0.930811,-0.364547,-0.0180624,0.0192522
0.9,0.350317,-0.0211653,0.454292,0.930809,-0.364551,-0.0180685,0.0192567
0.95,0.350316,-0.0211611,0.454291,0.930811,-0.364545,-0.018069,0.0192589
1.0,0.350317,-0.0211639,0.454295,0.930811,-0.364546,-0.0180655,0.0192539
1.05,0.350316,-0.0211634,0.454293,0.930813,-0.36454,-0.018068,0.0192548
