time,x,y,z,qx,qy,qz,qw
0.0,0.105037,0.168871,0.0,0.0,0.0,0.0,1.0
0.05,0.105037,0.168871,0.0,0.0,0.0,0.0,1.0
0.1,0.105881,0.168871,0.0,0.0,0.0,0.0,1.0
0.15,0.105881,0.168871,0.0,0.0,0.0,0.0,1.0
0.2,0.107568,0.168871,0.0,0.0,0.0,0.0,1.0
0.25,0.109256,0.168871,0.0,0.0,0.0,0.0,1.0
0.3,0.109256,0.168871,0.0,0.0,0.0,0.0,1.0
0.35,0.111787,0.168871,0.0,0.0,0.0,0.0,1.0
0.4,0.113474,0.168027,0.0,0.0,0.0,0.0,1.0
0.45,0.116005,0.167184,0.0,0.0,0.0,0.0,1.0
0.5,0.117692,0.16634,0.0,0.0,0.0,0.0,1.0
0.55,0.120223,0.165496,0.0,0.0,0.0,0.0,1.0
0.6,0.122754,0.162965,0.0,0.0,0.0,0.0,1.0
0.65,0.124442,0.162122,0.0,0.0,0.0,0.0,1.0
0.7,0.12866,0.158747,0.0,0.0,0.0,0.0,1.0
0.75,0.132035,0.156216,0.0,0.0,0.0,0.0,1.0
0.8,0.135409,0.152841,0.0,0.0,0.0,0.0,1.0
0.85,0.13794,0.149467,0.0,0.0,0.0,0.0,1.0
0.9,0.139628,0.146092,0.0,0.0,0.0,0.0,1.0
0.95,0.143002,0.141873,0.0,0.0,0.0,0.0,1.0
1.0,0.145533,0.138499,0.0,0.0,0.0,0.0,1.0
1.05,0.146377,0.13428,0.0,0.0,0.0,0.0,1.0
1.1,0.148908,0.130062,0.0,0.0,0.0,0.0,1.0
1.15,0.148908,0.128375,0.0,0.0,0.0,0.0,1.0
1.2,0.150596,0.123313,0.0,0.0,0.0,0.0,1.0
1.25,0.151439,0.118251,0.0,0.0,0.0,0.0,1.0
1.3,0.151439,0.113189,0.0,0.0,0.0,0.0,1.0
1.35,0.151439,0.108127,0.0,0.0,0.0,0.0,1.0
1.4,0.151439,0.102221,0.0,0.0,0.0,0.0,1.0
1.45,0.151439,0.096315,0.0,0.0,0.0,0.0,1.0
1.5,0.151439,0.091253,0.0,0.0,0.0,0.0,1.0
1.55,0.151439,0.086191,0.0,0.0,0.0,0.0,1.0
1.6,0.151439,0.081973,0.0,0.0,0.0,0.0,1.0
1.65,0.150596,0.076911,0.0,0.0,0.0,0.0,1.0
1.7,0.148065,0.071005,0.0,0.0,0.0,0.0,1.0
1.75,0.146377,0.065943,0.0,0.0,0.0,0.0,1.0
