time,x,y,z,qx,qy,qz,qw
0.0,0.095757,0.14103,0.0,0.0,0.0,0.0,1.0
0.05,0.095757,0.141873,0.0,0.0,0.0,0.0,1.0
0.1,0.099975,0.143561,0.0,0.0,0.0,0.0,1.0
0.15,0.102506,0.147779,0.0,0.0,0.0,0.0,1.0
0.2,0.105037,0.15031,0.0,0.0,0.0,0.0,1.0
0.25,0.109256,0.154529,0.0,0.0,0.0,0.0,1.0
0.3,0.11263,0.160434,0.0,0.0,0.0,0.0,1.0
0.35,0.116849,0.165496,0.0,0.0,0.0,0.0,1.0
0.4,0.120223,0.169715,0.0,0.0,0.0,0.0,1.0
0.45,0.122754,0.173089,0.0,0.0,0.0,0.0,1.0
0.5,0.127816,0.179839,0.0,0.0,0.0,0.0,1.0
0.55,0.132878,0.184057,0.0,0.0,0.0,0.0,1.0
0.6,0.135409,0.185744,0.0,0.0,0.0,0.0,1.0
0.65,0.13794,0.189119,0.0,0.0,0.0,0.0,1.0
0.7,0.13794,0.186588,0.0,0.0,0.0,0.0,1.0
0.75,0.137097,0.18237,0.0,0.0,0.0,0.0,1.0
0.8,0.137097,0.178995,0.0,0.0,0.0,0.0,1.0
0.85,0.137097,0.177308,0.0,0.0,0.0,0.0,1.0
0.9,0.137097,0.173933,0.0,0.0,0.0,0.0,1.0
0.95,0.137097,0.169715,0.0,0.0,0.0,0.0,1.0
1.0,0.137097,0.167184,0.0,0.0,0.0,0.0,1.0
1.05,0.137097,0.163809,0.0,0.0,0.0,0.0,1.0
1.1,0.137097,0.161278,0.0,0.0,0.0,0.0,1.0
1.15,0.137097,0.158747,0.0,0.0,0.0,0.0,1.0
1.2,0.136253,0.156216,0.0,0.0,0.0,0.0,1.0
1.25,0.136253,0.151998,0.0,0.0,0.0,0.0,1.0
1.3,0.136253,0.147779,0.0,0.0,0.0,0.0,1.0
1.35,0.136253,0.141873,0.0,0.0,0.0,0.0,1.0
1.4,0.135409,0.137655,0.0,0.0,0.0,0.0,1.0
1.45,0.135409,0.133437,0.0,0.0,0.0,0.0,1.0
1.5,0.134566,0.128375,0.0,0.0,0.0,0.0,1.0
1.55,0.134566,0.122469,0.0,0.0,0.0,0.0,1.0
1.6,0.134566,0.117407,0.0,0.0,0.0,0.0,1.0
1.65,0.134566,0.114032,0.0,0.0,0.0,0.0,1.0
1.7,0.134566,0.10897,0.0,0.0,0.0,0.0,1.0
1.75,0.134566,0.104752,0.0,0.0,0.0,0.0,1.0
1.8,0.134566,0.101377,0.0,0.0,0.0,0.0,1.0
1.85,0.134566,0.098002,0.0,0.0,0.0,0.0,1.0
1.9,0.134566,0.093784,0.0,0.0,0.0,0.0,1.0
1.95,0.134566,0.089566,0.0,0.0,0.0,0.0,1.0
2.0,0.134566,0.084504,0.0,0.0,0.0,0.0,1.0
2.05,0.134566,0.081129,0.0,0.0,0.0,0.0,1.0
2.1,0.134566,0.076911,0.0,0.0,0.0,0.0,1.0
2.15,0.134566,0.072692,0.0,0.0,0.0,0.0,1.0
2.2,0.134566,0.070161,0.0,0.0,0.0,0.0,1.0
2.25,0.134566,0.06763,0.0,0.0,0.0,0.0,1.0
2.3,0.134566,0.064256,0.0,0.0,0.0,0.0,1.0
2.35,0.134566,0.062568,0.0,0.0,0.0,0.0,1.0
2.4,0.134566,0.059194,0.0,0.0,0.0,0.0,1.0
2.45,0.134566,0.056663,0.0,0.0,0.0,0.0,1.0
2.5,0.134566,0.054975,0.0,0.0,0.0,0.0,1.0
2.55,0.134566,0.053288,0.0,0.0,0.0,0.0,1.0
