time,x,y,z,qx,qy,qz,qw
0.0,0.083945,0.146092,0.0,0.0,0.0,0.0,1.0
0.05,0.083945,0.146935,0.0,0.0,0.0,0.0,1.0
0.1,0.083945,0.148623,0.0,0.0,0.0,0.0,1.0
0.15,0.083945,0.149467,0.0,0.0,0.0,0.0,1.0
0.2,0.085633,0.151998,0.0,0.0,0.0,0.0,1.0
0.25,0.086476,0.156216,0.0,0.0,0.0,0.0,1.0
0.3,0.089007,0.159591,0.0,0.0,0.0,0.0,1.0
0.35,0.089851,0.161278,0.0,0.0,0.0,0.0,1.0
0.4,0.090695,0.164653,0.0,0.0,0.0,0.0,1.0
0.45,0.093226,0.168027,0.0,0.0,0.0,0.0,1.0
0.5,0.094069,0.169715,0.0,0.0,0.0,0.0,1.0
0.55,0.097444,0.173933,0.0,0.0,0.0,0.0,1.0
0.6,0.100819,0.176464,0.0,0.0,0.0,0.0,1.0
0.65,0.10335,0.177308,0.0,0.0,0.0,0.0,1.0
0.7,0.105881,0.178151,0.0,0.0,0.0,0.0,1.0
0.75,0.110099,0.178151,0.0,0.0,0.0,0.0,1.0
0.8,0.114318,0.179839,0.0,0.0,0.0,0.0,1.0
0.85,0.118536,0.179839,0.0,0.0,0.0,0.0,1.0
0.9,0.126129,0.179839,0.0,0.0,0.0,0.0,1.0
0.95,0.12866,0.179839,0.0,0.0,0.0,0.0,1.0
1.0,0.130347,0.179839,0.0,0.0,0.0,0.0,1.0
1.05,0.134566,0.178151,0.0,0.0,0.0,0.0,1.0
1.1,0.13794,0.177308,0.0,0.0,0.0,0.0,1.0
1.15,0.139628,0.176464,0.0,0.0,0.0,0.0,1.0
1.2,0.142159,0.173933,0.0,0.0,0.0,0.0,1.0
1.25,0.145533,0.170558,0.0,0.0,0.0,0.0,1.0
1.3,0.146377,0.167184,0.0,0.0,0.0,0.0,1.0
1.35,0.147221,0.162965,0.0,0.0,0.0,0.0,1.0
1.4,0.147221,0.157903,0.0,0.0,0.0,0.0,1.0
1.45,0.147221,0.154529,0.0,0.0,0.0,0.0,1.0
1.5,0.147221,0.147779,0.0,0.0,0.0,0.0,1.0
1.55,0.147221,0.143561,0.0,0.0,0.0,0.0,1.0
1.6,0.14469,0.137655,0.0,0.0,0.0,0.0,1.0
1.65,0.143846,0.132593,0.0,0.0,0.0,0.0,1.0
1.7,0.138784,0.126687,0.0,0.0,0.0,0.0,1.0
1.75,0.136253,0.121625,0.0,0.0,0.0,0.0,1.0
1.8,0.132878,0.11572,0.0,0.0,0.0,0.0,1.0
1.85,0.130347,0.112345,0.0,0.0,0.0,0.0,1.0
1.9,0.126973,0.106439,0.0,0.0,0.0,0.0,1.0
1.95,0.122754,0.100533,0.0,0.0,0.0,0.0,1.0
2.0,0.11938,0.095471,0.0,0.0,0.0,0.0,1.0
2.05,0.116005,0.090409,0.0,0.0,0.0,0.0,1.0
2.1,0.111787,0.086191,0.0,0.0,0.0,0.0,1.0
2.15,0.107568,0.081973,0.0,0.0,0.0,0.0,1.0
2.2,0.100819,0.075223,0.0,0.0,0.0,0.0,1.0
2.25,0.095757,0.071849,0.0,0.0,0.0,0.0,1.0
2.3,0.090695,0.068474,0.0,0.0,0.0,0.0,1.0
2.35,0.089007,0.065943,0.0,0.0,0.0,0.0,1.0
2.4,0.085633,0.063412,0.0,0.0,0.0,0.0,1.0
2.45,0.082258,0.061725,0.0,0.0,0.0,0.0,1.0
2.5,0.077196,0.057506,0.0,0.0,0.0,0.0,1.0
2.55,0.072978,0.054975,0.0,0.0,0.0,0.0,1.0
2.6,0.067916,0.052444,0.0,0.0,0.0,0.0,1.0
2.65,0.065385,0.049913,0.0,0.0,0.0,0.0,1.0
2.7,0.067072,0.049913,0.0,0.0,0.0,0.0,1.0
2.75,0.070447,0.049913,0.0,0.0,0.0,0.0,1.0
2.8,0.074665,0.049913,0.0,0.0,0.0,0.0,1.0
2.85,0.07804,0.049913,0.0,0.0,0.0,0.0,1.0
2.9,0.083102,0.049913,0.0,0.0,0.0,0.0,1.0
2.95,0.085633,0.050757,0.0,0.0,0.0,0.0,1.0
3.0,0.089851,0.050757,0.0,0.0,0.0,0.0,1.0
3.05,0.094069,0.0516,0.0,0.0,0.0,0.0,1.0
3.1,0.097444,0.0516,0.0,0.0,0.0,0.0,1.0
3.15,0.099132,0.0516,0.0,0.0,0.0,0.0,1.0
3.2,0.099975,0.0516,0.0,0.0,0.0,0.0,1.0
3.25,0.105037,0.0516,0.0,0.0,0.0,0.0,1.0
3.3,0.107568,0.0516,0.0,0.0,0.0,0.0,1.0
3.35,0.111787,0.0516,0.0,0.0,0.0,0.0,1.0
3.4,0.117692,0.0516,0.0,0.0,0.0,0.0,1.0
3.45,0.121911,0.0516,0.0,0.0,0.0,0.0,1.0
3.5,0.126129,0.0516,0.0,0.0,0.0,0.0,1.0
3.55,0.129504,0.0516,0.0,0.0,0.0,0.0,1.0
3.6,0.134566,0.0516,0.0,0.0,0.0,0.0,1.0
3.65,0.13794,0.0516,0.0,0.0,0.0,0.0,1.0
3.7,0.143002,0.0516,0.0,0.0,0.0,0.0,1.0
3.75,0.146377,0.0516,0.0,0.0,0.0,0.0,1.0
3.8,0.150596,0.0516,0.0,0.0,0.0,0.0,1.0
3.85,0.155658,0.0516,0.0,0.0,0.0,0.0,1.0
3.9,0.159876,0.0516,0.0,0.0,0.0,0.0,1.0
3.95,0.163251,0.050757,0.0,0.0,0.0,0.0,1.0
4.0,0.164094,0.050757,0.0,0.0,0.0,0.0,1.0
