time,x,y,z,qx,qy,qz,qw
0.0,0.177767,0.587196,0.0,0.0,0.0,0.0,1.0
0.05,0.171017,0.587196,0.0,0.0,0.0,0.0,1.0
0.1,0.14402,0.580447,0.0,0.0,0.0,0.0,1.0
0.15,0.090025,0.580447,0.0,0.0,0.0,0.0,1.0
0.2,0.042779,0.580447,0.0,0.0,0.0,0.0,1.0
0.25,-0.017965,0.573697,0.0,0.0,0.0,0.0,1.0
0.3,-0.07196,0.566948,0.0,0.0,0.0,0.0,1.0
0.35,-0.112457,0.566948,0.0,0.0,0.0,0.0,1.0
0.4,-0.119206,0.566948,0.0,0.0,0.0,0.0,1.0
0.45,-0.17995,0.566948,0.0,0.0,0.0,0.0,1.0
0.5,-0.213697,0.566948,0.0,0.0,0.0,0.0,1.0
0.55,-0.247444,0.566948,0.0,0.0,0.0,0.0,1.0
0.6,-0.247444,0.566948,0.0,0.0,0.0,0.0,1.0
0.65,-0.254194,0.560199,0.0,0.0,0.0,0.0,1.0
0.7,-0.260943,0.526452,0.0,0.0,0.0,0.0,1.0
0.75,-0.260943,0.512953,0.0,0.0,0.0,0.0,1.0
0.8,-0.260943,0.458958,0.0,0.0,0.0,0.0,1.0
0.85,-0.260943,0.425211,0.0,0.0,0.0,0.0,1.0
0.9,-0.260943,0.398213,0.0,0.0,0.0,0.0,1.0
0.95,-0.260943,0.350968,0.0,0.0,0.0,0.0,1.0
1.0,-0.260943,0.317221,0.0,0.0,0.0,0.0,1.0
1.05,-0.260943,0.290223,0.0,0.0,0.0,0.0,1.0
1.1,-0.260943,0.256476,0.0,0.0,0.0,0.0,1.0
1.15,-0.274442,0.21598,0.0,0.0,0.0,0.0,1.0
1.2,-0.274442,0.188983,0.0,0.0,0.0,0.0,1.0
1.25,-0.281191,0.155236,0.0,0.0,0.0,0.0,1.0
1.3,-0.28794,0.121489,0.0,0.0,0.0,0.0,1.0
1.35,-0.308189,0.094491,0.0,0.0,0.0,0.0,1.0
1.4,-0.308189,0.087742,0.0,0.0,0.0,0.0,1.0
1.45,-0.301439,0.080993,0.0,0.0,0.0,0.0,1.0
1.5,-0.240695,0.101241,0.0,0.0,0.0,0.0,1.0
1.55,-0.166452,0.114739,0.0,0.0,0.0,0.0,1.0
1.6,-0.092208,0.114739,0.0,0.0,0.0,0.0,1.0
1.65,0.002283,0.114739,0.0,0.0,0.0,0.0,1.0
1.7,0.069777,0.114739,0.0,0.0,0.0,0.0,1.0
1.75,0.076526,0.114739,0.0,0.0,0.0,0.0,1.0
1.8,0.13727,0.114739,0.0,0.0,0.0,0.0,1.0
1.85,0.198015,0.087742,0.0,0.0,0.0,0.0,1.0
1.9,0.25201,0.060744,0.0,0.0,0.0,0.0,1.0
1.95,0.285757,0.026998,0.0,0.0,0.0,0.0,1.0
2.0,0.312754,-0.006749,0.0,0.0,0.0,0.0,1.0
2.05,0.339752,-0.040496,0.0,0.0,0.0,0.0,1.0
2.1,0.346501,-0.114739,0.0,0.0,0.0,0.0,1.0
2.15,0.346501,-0.175484,0.0,0.0,0.0,0.0,1.0
2.2,0.333002,-0.21598,0.0,0.0,0.0,0.0,1.0
2.25,0.299256,-0.276725,0.0,0.0,0.0,0.0,1.0
2.3,0.279007,-0.32397,0.0,0.0,0.0,0.0,1.0
2.35,0.238511,-0.377965,0.0,0.0,0.0,0.0,1.0
2.4,0.164268,-0.425211,0.0,0.0,0.0,0.0,1.0
2.45,0.090025,-0.452208,0.0,0.0,0.0,0.0,1.0
2.5,-0.004467,-0.465707,0.0,0.0,0.0,0.0,1.0
2.55,-0.07196,-0.485955,0.0,0.0,0.0,0.0,1.0
2.6,-0.152953,-0.492705,0.0,0.0,0.0,0.0,1.0
2.65,-0.206948,-0.492705,0.0,0.0,0.0,0.0,1.0
2.7,-0.254194,-0.492705,0.0,0.0,0.0,0.0,1.0
2.75,-0.274442,-0.492705,0.0,0.0,0.0,0.0,1.0
2.8,-0.281191,-0.492705,0.0,0.0,0.0,0.0,1.0
