time,x,y,z,qx,qy,qz,qw
0.0,-0.362184,0.479206,0.0,0.0,0.0,0.0,1.0
0.05,-0.355434,0.485955,0.0,0.0,0.0,0.0,1.0
0.1,-0.335186,0.492705,0.0,0.0,0.0,0.0,1.0
0.15,-0.308189,0.499454,0.0,0.0,0.0,0.0,1.0
0.2,-0.274442,0.519702,0.0,0.0,0.0,0.0,1.0
0.25,-0.227196,0.519702,0.0,0.0,0.0,0.0,1.0
0.3,-0.1867,0.526452,0.0,0.0,0.0,0.0,1.0
0.35,-0.146203,0.526452,0.0,0.0,0.0,0.0,1.0
0.4,-0.105707,0.526452,0.0,0.0,0.0,0.0,1.0
0.45,-0.044963,0.526452,0.0,0.0,0.0,0.0,1.0
0.5,-0.004467,0.526452,0.0,0.0,0.0,0.0,1.0
0.55,0.042779,0.506203,0.0,0.0,0.0,0.0,1.0
0.6,0.096774,0.479206,0.0,0.0,0.0,0.0,1.0
0.65,0.130521,0.452208,0.0,0.0,0.0,0.0,1.0
0.7,0.157519,0.411712,0.0,0.0,0.0,0.0,1.0
0.75,0.177767,0.364467,0.0,0.0,0.0,0.0,1.0
0.8,0.198015,0.317221,0.0,0.0,0.0,0.0,1.0
0.85,0.211514,0.269975,0.0,0.0,0.0,0.0,1.0
0.9,0.218263,0.21598,0.0,0.0,0.0,0.0,1.0
0.95,0.218263,0.168734,0.0,0.0,0.0,0.0,1.0
1.0,0.198015,0.114739,0.0,0.0,0.0,0.0,1.0
1.05,0.171017,0.074243,0.0,0.0,0.0,0.0,1.0
1.1,0.13727,0.033747,0.0,0.0,0.0,0.0,1.0
1.15,0.076526,0.0,0.0,0.0,0.0,0.0,1.0
1.2,0.03603,-0.013499,0.0,0.0,0.0,0.0,1.0
1.25,-0.011216,-0.040496,0.0,0.0,0.0,0.0,1.0
1.3,-0.065211,-0.060744,0.0,0.0,0.0,0.0,1.0
1.35,-0.119206,-0.067494,0.0,0.0,0.0,0.0,1.0
1.4,-0.166452,-0.080993,0.0,0.0,0.0,0.0,1.0
1.45,-0.200199,-0.094491,0.0,0.0,0.0,0.0,1.0
1.5,-0.233945,-0.094491,0.0,0.0,0.0,0.0,1.0
1.55,-0.247444,-0.094491,0.0,0.0,0.0,0.0,1.0
1.6,-0.260943,-0.101241,0.0,0.0,0.0,0.0,1.0
1.65,-0.28794,-0.101241,0.0,0.0,0.0,0.0,1.0
1.7,-0.29469,-0.101241,0.0,0.0,0.0,0.0,1.0
1.75,-0.308189,-0.101241,0.0,0.0,0.0,0.0,1.0
1.8,-0.301439,-0.101241,0.0,0.0,0.0,0.0,1.0
1.85,-0.254194,-0.101241,0.0,0.0,0.0,0.0,1.0
1.9,-0.220447,-0.10799,0.0,0.0,0.0,0.0,1.0
1.95,-0.17995,-0.121489,0.0,0.0,0.0,0.0,1.0
2.0,-0.132705,-0.134988,0.0,0.0,0.0,0.0,1.0
2.05,-0.07871,-0.148486,0.0,0.0,0.0,0.0,1.0
2.1,-0.044963,-0.161985,0.0,0.0,0.0,0.0,1.0
2.15,0.009032,-0.188983,0.0,0.0,0.0,0.0,1.0
2.2,0.03603,-0.209231,0.0,0.0,0.0,0.0,1.0
2.25,0.042779,-0.21598,0.0,0.0,0.0,0.0,1.0
2.3,0.069777,-0.242978,0.0,0.0,0.0,0.0,1.0
2.35,0.096774,-0.263226,0.0,0.0,0.0,0.0,1.0
2.4,0.110273,-0.303722,0.0,0.0,0.0,0.0,1.0
2.45,0.123772,-0.350968,0.0,0.0,0.0,0.0,1.0
2.5,0.123772,-0.398213,0.0,0.0,0.0,0.0,1.0
2.55,0.123772,-0.458958,0.0,0.0,0.0,0.0,1.0
2.6,0.123772,-0.499454,0.0,0.0,0.0,0.0,1.0
2.65,0.110273,-0.553449,0.0,0.0,0.0,0.0,1.0
2.7,0.083275,-0.587196,0.0,0.0,0.0,0.0,1.0
2.75,0.056278,-0.620943,0.0,0.0,0.0,0.0,1.0
2.8,0.015782,-0.661439,0.0,0.0,0.0,0.0,1.0
2.85,-0.017965,-0.688437,0.0,0.0,0.0,0.0,1.0
2.9,-0.051712,-0.708685,0.0,0.0,0.0,0.0,1.0
2.95,-0.105707,-0.715434,0.0,0.0,0.0,0.0,1.0
3.0,-0.17995,-0.735682,0.0,0.0,0.0,0.0,1.0
3.05,-0.227196,-0.742432,0.0,0.0,0.0,0.0,1.0
3.1,-0.28794,-0.749181,0.0,0.0,0.0,0.0,1.0
3.15,-0.341935,-0.76268,0.0,0.0,0.0,0.0,1.0
3.2,-0.382432,-0.76268,0.0,0.0,0.0,0.0,1.0
3.25,-0.416179,-0.76268,0.0,0.0,0.0,0.0,1.0
3.3,-0.416179,-0.76268,0.0,0.0,0.0,0.0,1.0
