time,x,y,z,qx,qy,qz,qw
0.0,0.346501,-0.074243,0.0,0.0,0.0,0.0,1.0
0.05,0.346501,-0.074243,0.0,0.0,0.0,0.0,1.0
0.1,0.353251,-0.087742,0.0,0.0,0.0,0.0,1.0
0.15,0.353251,-0.101241,0.0,0.0,0.0,0.0,1.0
0.2,0.36,-0.121489,0.0,0.0,0.0,0.0,1.0
0.25,0.36,-0.148486,0.0,0.0,0.0,0.0,1.0
0.3,0.366749,-0.155236,0.0,0.0,0.0,0.0,1.0
0.35,0.366749,-0.182233,0.0,0.0,0.0,0.0,1.0
0.4,0.366749,-0.21598,0.0,0.0,0.0,0.0,1.0
0.45,0.366749,-0.249727,0.0,0.0,0.0,0.0,1.0
0.5,0.36,-0.283474,0.0,0.0,0.0,0.0,1.0
0.55,0.353251,-0.310471,0.0,0.0,0.0,0.0,1.0
0.6,0.339752,-0.344218,0.0,0.0,0.0,0.0,1.0
0.65,0.312754,-0.377965,0.0,0.0,0.0,0.0,1.0
0.7,0.306005,-0.384715,0.0,0.0,0.0,0.0,1.0
0.75,0.272258,-0.411712,0.0,0.0,0.0,0.0,1.0
0.8,0.218263,-0.43871,0.0,0.0,0.0,0.0,1.0
0.85,0.157519,-0.452208,0.0,0.0,0.0,0.0,1.0
0.9,0.096774,-0.472457,0.0,0.0,0.0,0.0,1.0
0.95,0.063027,-0.472457,0.0,0.0,0.0,0.0,1.0
1.0,0.022531,-0.472457,0.0,0.0,0.0,0.0,1.0
1.05,-0.017965,-0.472457,0.0,0.0,0.0,0.0,1.0
1.1,-0.085459,-0.472457,0.0,0.0,0.0,0.0,1.0
1.15,-0.152953,-0.43871,0.0,0.0,0.0,0.0,1.0
1.2,-0.213697,-0.404963,0.0,0.0,0.0,0.0,1.0
1.25,-0.240695,-0.384715,0.0,0.0,0.0,0.0,1.0
1.3,-0.260943,-0.357717,0.0,0.0,0.0,0.0,1.0
1.35,-0.281191,-0.33072,0.0,0.0,0.0,0.0,1.0
1.4,-0.281191,-0.290223,0.0,0.0,0.0,0.0,1.0
1.45,-0.281191,-0.236228,0.0,0.0,0.0,0.0,1.0
1.5,-0.260943,-0.175484,0.0,0.0,0.0,0.0,1.0
1.55,-0.227196,-0.141737,0.0,0.0,0.0,0.0,1.0
1.6,-0.193449,-0.114739,0.0,0.0,0.0,0.0,1.0
1.65,-0.159702,-0.087742,0.0,0.0,0.0,0.0,1.0
1.7,-0.112457,-0.060744,0.0,0.0,0.0,0.0,1.0
1.75,-0.07871,-0.033747,0.0,0.0,0.0,0.0,1.0
1.8,-0.031464,-0.013499,0.0,0.0,0.0,0.0,1.0
1.85,0.015782,0.013499,0.0,0.0,0.0,0.0,1.0
1.9,0.063027,0.033747,0.0,0.0,0.0,0.0,1.0
1.95,0.130521,0.060744,0.0,0.0,0.0,0.0,1.0
2.0,0.164268,0.080993,0.0,0.0,0.0,0.0,1.0
2.05,0.211514,0.101241,0.0,0.0,0.0,0.0,1.0
2.1,0.265509,0.134988,0.0,0.0,0.0,0.0,1.0
2.15,0.306005,0.161985,0.0,0.0,0.0,0.0,1.0
2.2,0.333002,0.195732,0.0,0.0,0.0,0.0,1.0
2.25,0.373499,0.249727,0.0,0.0,0.0,0.0,1.0
2.3,0.407246,0.296973,0.0,0.0,0.0,0.0,1.0
2.35,0.427494,0.32397,0.0,0.0,0.0,0.0,1.0
2.4,0.427494,0.350968,0.0,0.0,0.0,0.0,1.0
2.45,0.434243,0.398213,0.0,0.0,0.0,0.0,1.0
2.5,0.434243,0.43871,0.0,0.0,0.0,0.0,1.0
2.55,0.434243,0.472457,0.0,0.0,0.0,0.0,1.0
2.6,0.427494,0.506203,0.0,0.0,0.0,0.0,1.0
2.65,0.407246,0.53995,0.0,0.0,0.0,0.0,1.0
2.7,0.386998,0.5467,0.0,0.0,0.0,0.0,1.0
2.75,0.353251,0.573697,0.0,0.0,0.0,0.0,1.0
2.8,0.333002,0.580447,0.0,0.0,0.0,0.0,1.0
2.85,0.285757,0.580447,0.0,0.0,0.0,0.0,1.0
2.9,0.231762,0.580447,0.0,0.0,0.0,0.0,1.0
2.95,0.191266,0.566948,0.0,0.0,0.0,0.0,1.0
3.0,0.157519,0.53995,0.0,0.0,0.0,0.0,1.0
3.05,0.150769,0.519702,0.0,0.0,0.0,0.0,1.0
3.1,0.14402,0.492705,0.0,0.0,0.0,0.0,1.0
3.15,0.14402,0.458958,0.0,0.0,0.0,0.0,1.0
3.2,0.123772,0.411712,0.0,0.0,0.0,0.0,1.0
3.25,0.117022,0.377965,0.0,0.0,0.0,0.0,1.0
3.3,0.110273,0.33072,0.0,0.0,0.0,0.0,1.0
3.35,0.090025,0.276725,0.0,0.0,0.0,0.0,1.0
3.4,0.083275,0.242978,0.0,0.0,0.0,0.0,1.0
3.45,0.083275,0.209231,0.0,0.0,0.0,0.0,1.0
3.5,0.076526,0.168734,0.0,0.0,0.0,0.0,1.0
3.55,0.063027,0.128238,0.0,0.0,0.0,0.0,1.0
3.6,0.063027,0.080993,0.0,0.0,0.0,0.0,1.0
3.65,0.063027,0.033747,0.0,0.0,0.0,0.0,1.0
3.7,0.063027,-0.020248,0.0,0.0,0.0,0.0,1.0
3.75,0.063027,-0.060744,0.0,0.0,0.0,0.0,1.0
3.8,0.063027,-0.10799,0.0,0.0,0.0,0.0,1.0
3.85,0.063027,-0.134988,0.0,0.0,0.0,0.0,1.0
3.9,0.063027,-0.175484,0.0,0.0,0.0,0.0,1.0
3.95,0.056278,-0.209231,0.0,0.0,0.0,0.0,1.0
4.0,0.049529,-0.242978,0.0,0.0,0.0,0.0,1.0
4.05,0.02928,-0.290223,0.0,0.0,0.0,0.0,1.0
4.1,0.015782,-0.33072,0.0,0.0,0.0,0.0,1.0
4.15,0.009032,-0.364467,0.0,0.0,0.0,0.0,1.0
4.2,-0.004467,-0.398213,0.0,0.0,0.0,0.0,1.0
4.25,-0.011216,-0.43196,0.0,0.0,0.0,0.0,1.0
4.3,-0.017965,-0.465707,0.0,0.0,0.0,0.0,1.0
4.35,-0.038213,-0.506203,0.0,0.0,0.0,0.0,1.0
4.4,-0.044963,-0.533201,0.0,0.0,0.0,0.0,1.0
4.45,-0.058462,-0.566948,0.0,0.0,0.0,0.0,1.0
4.5,-0.085459,-0.607444,0.0,0.0,0.0,0.0,1.0
4.55,-0.105707,-0.634442,0.0,0.0,0.0,0.0,1.0
4.6,-0.132705,-0.668189,0.0,0.0,0.0,0.0,1.0
4.65,-0.152953,-0.681687,0.0,0.0,0.0,0.0,1.0
4.7,-0.1867,-0.695186,0.0,0.0,0.0,0.0,1.0
4.75,-0.220447,-0.701935,0.0,0.0,0.0,0.0,1.0
4.8,-0.260943,-0.708685,0.0,0.0,0.0,0.0,1.0
4.85,-0.301439,-0.708685,0.0,0.0,0.0,0.0,1.0
4.9,-0.314938,-0.708685,0.0,0.0,0.0,0.0,1.0
4.95,-0.348685,-0.695186,0.0,0.0,0.0,0.0,1.0
5.0,-0.368933,-0.688437,0.0,0.0,0.0,0.0,1.0
5.05,-0.382432,-0.674938,0.0,0.0,0.0,0.0,1.0
5.1,-0.40268,-0.65469,0.0,0.0,0.0,0.0,1.0
5.15,-0.409429,-0.641191,0.0,0.0,0.0,0.0,1.0
5.2,-0.409429,-0.627692,0.0,0.0,0.0,0.0,1.0
