time,x,y,z,qx,qy,qz,qw
0.0,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.05,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.1,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.15,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.2,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.25,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.3,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.35,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.4,0.235696,0.00792778,0.493674,0.923868,-0.379633,-0.0347059,0.0338036
0.45,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.5,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.55,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.6,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.65,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.7,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.75,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.8,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.85,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.9,0.235696,0.00792912,0.493675,0.92387,-0.379628,-0.0347039,0.0338016
0.95,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.0,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.05,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.1,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.15,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.2,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.25,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.3,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.35,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.4,0.235696,0.00792737,0.493675,0.923867,-0.379636,-0.034705,0.0338022
1.45,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.5,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.55,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.6,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.65,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.7,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.75,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.8,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.85,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.9,0.235696,0.00792961,0.493673,0.923868,-0.379632,-0.034706,0.0338057
1.95,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.0,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.05,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.1,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.15,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.2,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.25,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.3,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.35,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.4,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.45,0.235696,0.00792847,0.493676,0.923869,-0.379631,-0.0347025,0.0338017
2.5,0.235696,0.00792928,0.493676,0.923869,-0.379629,-0.0347025,0.0338004
2.55,0.235696,0.00792928,0.493676,0.923869,-0.379629,-0.0347025,0.0338004
2.6,0.235696,0.00792928,0.493676,0.923869,-0.379629,-0.0347025,0.0338004
