time,x,y,z,qx,qy,qz,qw
0.0,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.05,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.1,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.15,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.2,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.25,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.3,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.35,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.4,0.242443,0.0559322,0.487009,0.911749,-0.40985,-0.0226442,-0.0149469
0.45,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.5,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.55,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.6,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.65,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.7,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.75,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.8,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.85,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.9,0.242443,0.0559341,0.48701,0.91175,-0.409849,-0.0226454,-0.0149482
0.95,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.0,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.05,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.1,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.15,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.2,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.25,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.3,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.35,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.4,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.45,0.242443,0.0559329,0.487011,0.911748,-0.409853,-0.0226426,-0.0149491
1.5,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.55,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.6,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.65,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.7,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.75,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.8,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.85,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.9,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
1.95,0.242443,0.0559336,0.487011,0.911749,-0.40985,-0.0226434,-0.0149497
2.0,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.05,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.1,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.15,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.2,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.25,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.3,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.35,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.4,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.45,0.242443,0.0559329,0.487008,0.91175,-0.409849,-0.0226473,-0.0149483
2.5,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.55,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.6,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.65,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.7,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.75,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.8,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.85,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.9,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
2.95,0.242443,0.0559338,0.487009,0.91175,-0.409849,-0.0226446,-0.0149474
3.0,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.05,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.1,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.15,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.2,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.25,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.3,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.35,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.4,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.45,0.242442,0.0559336,0.487011,0.91175,-0.409848,-0.0226429,-0.0149489
3.5,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.55,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.6,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.65,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.7,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.75,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.8,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.85,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.9,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
3.95,0.242443,0.0559326,0.487009,0.911748,-0.409853,-0.0226466,-0.0149461
4.0,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.05,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.1,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.15,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.2,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.25,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.3,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.35,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.4,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.45,0.242443,0.0559313,0.487011,0.911748,-0.409853,-0.0226423,-0.0149476
4.5,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.55,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.6,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.65,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.7,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.75,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.8,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.85,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.9,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
4.95,0.242443,0.0559333,0.487011,0.911748,-0.409853,-0.0226444,-0.0149489
5.0,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.05,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.1,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.15,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.2,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.25,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.3,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.35,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.4,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.45,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.5,0.242442,0.0559332,0.48701,0.911749,-0.40985,-0.022645,-0.0149487
5.55,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.6,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.65,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.7,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.75,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.8,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.85,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.9,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
5.95,0.242443,0.0559318,0.48701,0.911749,-0.40985,-0.0226454,-0.0149497
6.0,0.242442,0.0559344,0.487011,0.91175,-0.409847,-0.0226425,-0.0149466
6.05,0.242442,0.0559344,0.487011,0.91175,-0.409847,-0.0226425,-0.0149466
