time,x,y,z,qx,qy,qz,qw
0.0,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.05,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.1,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.15,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.2,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.25,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.3,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.35,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.4,0.323445,-0.0539117,0.487774,0.926681,-0.374069,-0.0364208,0.00299677
0.45,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.5,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.55,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.6,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.65,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.7,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.75,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.8,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.85,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.9,0.323445,-0.0539099,0.487774,0.926681,-0.374069,-0.036422,0.00299838
0.95,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.0,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.05,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.1,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.15,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.2,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.25,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.3,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.35,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.4,0.323444,-0.0539135,0.487776,0.92668,-0.374071,-0.0364197,0.00299476
1.45,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.5,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.55,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.6,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.65,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.7,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.75,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.8,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.85,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.9,0.323445,-0.0539093,0.487775,0.92668,-0.37407,-0.0364192,0.00299767
1.95,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.0,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.05,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.1,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.15,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.2,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
2.25,0.323445,-0.0539109,0.487776,0.92668,-0.374071,-0.0364199,0.00299787
