time,x,y,z,qx,qy,qz,qw
0.0,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.0,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.01,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.02,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.02,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.02,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.03,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.04,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.04,0.169378,-0.00825927,0.508927,0.922262,-0.386288,0.00468132,-0.0138608
0.04,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.05,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.06,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.06,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.06,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.07,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.08,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.08,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.08,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.09,0.169378,-0.0082588,0.508924,0.922263,-0.386287,0.00467887,-0.0138583
0.1,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.1,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.1,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.11,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.12,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.12,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.12,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.13,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.14,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.14,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.14,0.169378,-0.00825972,0.508926,0.922264,-0.386284,0.00467986,-0.0138602
0.15,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.16,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.16,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.16,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.17,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.18,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.18,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.18,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.19,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.2,0.169379,-0.00825959,0.508925,0.922263,-0.386286,0.0046783,-0.013859
0.2,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.2,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.21,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.22,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.22,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.22,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.23,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.24,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.24,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.24,0.169378,-0.00826046,0.508924,0.922263,-0.386287,0.00467725,-0.0138597
0.25,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.26,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.26,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.26,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.27,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.28,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.28,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.29,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.29,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.3,0.169378,-0.00825913,0.508924,0.922264,-0.386285,0.00467858,-0.0138573
0.3,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.3,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.31,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.32,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.32,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.32,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.33,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.34,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.34,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.34,0.169378,-0.00826034,0.508926,0.922263,-0.386286,0.00467869,-0.0138602
0.35,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.36,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.36,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.36,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.37,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.38,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.38,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.38,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.39,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.4,0.169378,-0.00826103,0.508926,0.922262,-0.386289,0.00467953,-0.0138628
0.4,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.4,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.41,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.42,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.42,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.42,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.43,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.44,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.44,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.44,0.169379,-0.00825974,0.508925,0.922264,-0.386284,0.00467706,-0.0138588
0.45,0.169378,-0.00826072,0.508926,0.922263,-0.386287,0.00467929,-0.0138611
0.46,0.169378,-0.00826072,0.508926,0.922263,-0.386287,0.00467929,-0.0138611
0.46,0.169378,-0.00826072,0.508926,0.922263,-0.386287,0.00467929,-0.0138611
