time,x,y,z,qx,qy,qz,qw
0.0,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.0,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.01,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.02,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.02,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.02,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.03,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.04,0.166885,-0.00519384,0.521247,0.922971,-0.384563,0.00303937,-0.0150778
0.04,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.04,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.05,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.06,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.06,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.06,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.07,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.08,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.08,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.08,0.166885,-0.00519361,0.521248,0.922973,-0.384557,0.00304152,-0.0150779
0.09,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.1,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.1,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.1,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.11,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.12,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.12,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.12,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.13,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.14,0.166885,-0.0051929,0.521244,0.922972,-0.384561,0.00303693,-0.0150749
0.14,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.14,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.15,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.16,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.16,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.16,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.17,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.18,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.18,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.18,0.166886,-0.00519342,0.521246,0.922972,-0.384559,0.00303958,-0.0150778
0.19,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.2,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.2,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.2,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.21,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.22,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.22,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.22,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.23,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.24,0.166885,-0.00519334,0.521245,0.922972,-0.384559,0.00303882,-0.0150738
0.24,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.24,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.25,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.26,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.26,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.26,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.27,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.28,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.28,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.29,0.166885,-0.00519462,0.521247,0.922969,-0.384566,0.00304102,-0.0150761
0.29,0.166885,-0.00519283,0.521249,0.922972,-0.384561,0.00304259,-0.0150784
