time,x,y,z,qx,qy,qz,qw
0.0,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.0,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.01,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.02,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.02,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.02,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.03,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.04,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.04,0.19706,-0.0217533,0.482714,0.924256,-0.380987,0.0199958,0.0140952
0.04,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.05,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.06,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.06,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.06,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.07,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.08,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.08,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.08,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.09,0.197059,-0.0217534,0.482716,0.924255,-0.38099,0.02,0.0140975
0.1,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.1,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.1,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.11,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.12,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.12,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.12,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.13,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.14,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.14,0.19706,-0.0217535,0.482714,0.924258,-0.380985,0.019994,0.014097
0.14,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.15,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.16,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.16,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.16,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.17,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.18,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.18,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.18,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.19,0.197061,-0.021753,0.482716,0.924258,-0.380985,0.0199962,0.0140957
0.2,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.2,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.2,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.21,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.22,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.22,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.22,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.23,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.24,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.24,0.19706,-0.0217535,0.482715,0.924255,-0.38099,0.0199969,0.0140959
0.24,0.197059,-0.0217539,0.482714,0.924256,-0.380989,0.0199957,0.0140966
0.25,0.197059,-0.0217539,0.482714,0.924256,-0.380989,0.0199957,0.0140966
0.26,0.197059,-0.0217539,0.482714,0.924256,-0.380989,0.0199957,0.0140966
