time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.20734,-0.0394143,0.490727,0.915375,-0.402582,0.00261525,-0.00303425,1.07083,0.378186,-0.449653
0.0,0.20734,-0.0394143,0.490727,0.915375,-0.402582,0.00261525,-0.00303425,1.04454,0.360877,-0.450332
0.01,0.20734,-0.0394163,0.490728,0.915375,-0.402582,0.00261731,-0.00303526,1.04454,0.360877,-0.450332
0.02,0.20734,-0.0394163,0.490728,0.915375,-0.402582,0.00261731,-0.00303526,1.06036,0.362933,-0.421691
0.02,0.20734,-0.0394163,0.490728,0.915375,-0.402582,0.00261731,-0.00303526,1.06036,0.362933,-0.421691
0.02,0.20734,-0.0394151,0.490728,0.915375,-0.402583,0.00261621,-0.00303706,1.05947,0.36916,-0.433938
0.03,0.20734,-0.0394151,0.490728,0.915375,-0.402583,0.00261621,-0.00303706,1.03932,0.384822,-0.444935
0.04,0.207342,-0.0394138,0.490726,0.915374,-0.402584,0.00261344,-0.00303593,1.03932,0.384822,-0.444935
0.04,0.207342,-0.0394138,0.490726,0.915374,-0.402584,0.00261344,-0.00303593,1.04215,0.381248,-0.450238
0.04,0.207342,-0.0394138,0.490726,0.915374,-0.402584,0.00261344,-0.00303593,1.04215,0.381248,-0.450238
0.05,0.207341,-0.0394141,0.490728,0.915374,-0.402584,0.00261591,-0.00303641,1.05122,0.388063,-0.446728
0.06,0.207341,-0.0394141,0.490728,0.915374,-0.402584,0.00261591,-0.00303641,1.06213,0.402623,-0.444406
0.06,0.207341,-0.0394156,0.490726,0.915375,-0.402583,0.00261365,-0.0030367,1.06213,0.402623,-0.444406
0.06,0.207341,-0.0394156,0.490726,0.915375,-0.402583,0.00261365,-0.0030367,1.06735,0.384495,-0.415261
0.07,0.207341,-0.0394156,0.490726,0.915375,-0.402583,0.00261365,-0.0030367,1.06735,0.384495,-0.415261
0.08,0.20734,-0.0394145,0.49073,0.915373,-0.402587,0.00262068,-0.0030366,1.05108,0.37406,-0.446805
0.08,0.20734,-0.0394145,0.49073,0.915373,-0.402587,0.00262068,-0.0030366,1.04391,0.376892,-0.455756
0.08,0.20734,-0.0394145,0.49073,0.915373,-0.402587,0.00262068,-0.0030366,1.04391,0.376892,-0.455756
0.09,0.20734,-0.0394146,0.490729,0.915375,-0.402582,0.00261648,-0.00303785,1.06602,0.371793,-0.438008
0.1,0.20734,-0.0394146,0.490729,0.915375,-0.402582,0.00261648,-0.00303785,1.06602,0.371793,-0.438008
0.1,0.207341,-0.0394153,0.49073,0.915373,-0.402586,0.00261861,-0.00303871,1.05777,0.357413,-0.343306
0.1,0.207341,-0.0394153,0.49073,0.915373,-0.402586,0.00261861,-0.00303871,1.05777,0.357413,-0.343306
0.11,0.207341,-0.0394153,0.49073,0.915373,-0.402586,0.00261861,-0.00303871,1.04979,0.36443,-0.432333
0.12,0.207341,-0.0394146,0.490731,0.915374,-0.402584,0.00262049,-0.00303741,1.05161,0.363872,-0.483045
0.12,0.207341,-0.0394146,0.490731,0.915374,-0.402584,0.00262049,-0.00303741,1.05161,0.363872,-0.483045
0.12,0.207341,-0.0394153,0.490728,0.915375,-0.402581,0.00261522,-0.00303796,1.05738,0.353968,-0.419538
0.13,0.207341,-0.0394153,0.490728,0.915375,-0.402581,0.00261522,-0.00303796,1.05738,0.353968,-0.419538
0.14,0.207341,-0.0394153,0.490728,0.915375,-0.402581,0.00261522,-0.00303796,1.05199,0.366569,-0.430039
0.14,0.207341,-0.0394137,0.490729,0.915374,-0.402584,0.00261764,-0.00303701,1.04447,0.380857,-0.434635
0.14,0.207341,-0.0394137,0.490729,0.915374,-0.402584,0.00261764,-0.00303701,1.04447,0.380857,-0.434635
0.15,0.207341,-0.0394148,0.490729,0.915376,-0.40258,0.00261767,-0.00303528,1.03624,0.380353,-0.440961
0.16,0.207341,-0.0394148,0.490729,0.915376,-0.40258,0.00261767,-0.00303528,1.03624,0.380353,-0.440961
0.16,0.207341,-0.0394148,0.490729,0.915376,-0.40258,0.00261767,-0.00303528,1.02416,0.432304,-0.441625
0.16,0.207341,-0.0394154,0.490727,0.915373,-0.402586,0.00261396,-0.00304105,1.07578,0.344147,-0.434341
0.17,0.207341,-0.0394154,0.490727,0.915373,-0.402586,0.00261396,-0.00304105,1.07578,0.344147,-0.434341
0.18,0.207341,-0.0394151,0.490729,0.915375,-0.402583,0.00261669,-0.00303685,1.04209,0.355897,-0.446882
0.18,0.207341,-0.0394151,0.490729,0.915375,-0.402583,0.00261669,-0.00303685,1.04209,0.355897,-0.446882
0.18,0.207341,-0.0394151,0.490729,0.915375,-0.402583,0.00261669,-0.00303685,1.04804,0.365369,-0.437705
0.19,0.207341,-0.0394147,0.490729,0.915374,-0.402585,0.00261607,-0.00303769,1.04804,0.365369,-0.437705
0.2,0.207341,-0.0394147,0.490729,0.915374,-0.402585,0.00261607,-0.00303769,1.02583,0.429634,-0.425745
0.2,0.207341,-0.0394146,0.490729,0.915375,-0.402583,0.00261562,-0.00303524,1.03083,0.380506,-0.446071
0.2,0.207341,-0.0394146,0.490729,0.915375,-0.402583,0.00261562,-0.00303524,1.03083,0.380506,-0.446071
0.21,0.207341,-0.0394146,0.490729,0.915375,-0.402583,0.00261562,-0.00303524,1.0308,0.372552,-0.445593
0.22,0.20734,-0.0394147,0.490728,0.915373,-0.402586,0.00261683,-0.00303692,1.0308,0.372552,-0.445593
0.22,0.20734,-0.0394147,0.490728,0.915373,-0.402586,0.00261683,-0.00303692,1.03358,0.369482,-0.446121
0.22,0.207341,-0.0394135,0.490728,0.915375,-0.402582,0.00261741,-0.00303701,1.06177,0.362073,-0.441023
0.23,0.207341,-0.0394135,0.490728,0.915375,-0.402582,0.00261741,-0.00303701,1.06177,0.362073,-0.441023
0.24,0.207341,-0.0394135,0.490728,0.915375,-0.402582,0.00261741,-0.00303701,1.05456,0.363242,-0.443557
0.24,0.207342,-0.0394145,0.490727,0.915374,-0.402584,0.00261555,-0.00303428,1.05456,0.363242,-0.443557
0.24,0.207342,-0.0394145,0.490727,0.915374,-0.402584,0.00261555,-0.00303428,1.03066,0.362189,-0.464547
0.25,0.207341,-0.0394149,0.490727,0.915374,-0.402584,0.00261397,-0.00303747,1.05477,0.370662,-0.452194
0.26,0.207341,-0.0394149,0.490727,0.915374,-0.402584,0.00261397,-0.00303747,1.05477,0.370662,-0.452194
0.26,0.207341,-0.0394149,0.490727,0.915374,-0.402584,0.00261397,-0.00303747,1.05858,0.368838,-0.448977
0.26,0.207341,-0.0394141,0.490727,0.915375,-0.402582,0.00261531,-0.0030338,1.05858,0.368838,-0.448977
0.27,0.207341,-0.0394141,0.490727,0.915375,-0.402582,0.00261531,-0.0030338,1.05241,0.345225,-0.398047
0.28,0.20734,-0.0394138,0.490728,0.915375,-0.402581,0.00261812,-0.00303778,1.05241,0.345225,-0.398047
0.28,0.20734,-0.0394138,0.490728,0.915375,-0.402581,0.00261812,-0.00303778,1.0739,0.37435,-0.431313
