time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.01,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.01,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.02,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.02,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.03,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.03,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.16341,0.678377,-0.0905713
0.04,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.15719,0.662436,-0.0940353
0.04,0.182559,-0.00955202,0.489901,0.924527,-0.380427,-0.0179596,-0.0142152,1.15719,0.662436,-0.0940353
0.05,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.15719,0.662436,-0.0940353
0.05,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.15719,0.662436,-0.0940353
0.06,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.15719,0.662436,-0.0940353
0.06,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.15719,0.662436,-0.0940353
0.07,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.15719,0.662436,-0.0940353
0.07,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.18583,0.654634,-0.0876902
0.08,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.18583,0.654634,-0.0876902
0.08,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.18583,0.654634,-0.0876902
0.09,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.18583,0.654634,-0.0876902
0.09,0.182558,-0.0095502,0.489899,0.924528,-0.380424,-0.017962,-0.0142133,1.18583,0.654634,-0.0876902
0.10,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.18583,0.654634,-0.0876902
0.10,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.18583,0.654634,-0.0876902
0.11,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.11,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.12,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.12,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.13,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.13,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.14,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.17021,0.656263,-0.0935287
0.14,0.182558,-0.00955069,0.489902,0.924528,-0.380424,-0.017959,-0.0142167,1.13631,0.667123,-0.102724
0.15,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.15,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.16,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.16,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.17,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.17,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.13631,0.667123,-0.102724
0.18,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.14085,0.667496,-0.119921
0.18,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.14085,0.667496,-0.119921
0.19,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.14085,0.667496,-0.119921
0.19,0.182559,-0.00955009,0.489903,0.92453,-0.38042,-0.0179585,-0.0142179,1.14085,0.667496,-0.119921
0.20,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14085,0.667496,-0.119921
0.20,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14085,0.667496,-0.119921
0.21,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.21,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.22,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.22,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.23,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.23,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.24,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.14317,0.660836,-0.103633
0.24,0.182558,-0.0095512,0.489904,0.924529,-0.380423,-0.0179578,-0.0142177,1.15114,0.656754,-0.11977
0.25,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.25,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.26,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.26,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.27,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.27,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.15114,0.656754,-0.11977
0.28,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.16458,0.629073,-0.096696
0.28,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.16458,0.629073,-0.096696
0.29,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.16458,0.629073,-0.096696
0.29,0.182558,-0.00955158,0.489905,0.924528,-0.380425,-0.0179557,-0.0142187,1.16458,0.629073,-0.096696
0.30,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.16458,0.629073,-0.096696
0.30,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.16458,0.629073,-0.096696
0.31,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.16458,0.629073,-0.096696
0.31,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.32,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.32,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.33,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.33,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.34,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.34,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.12965,0.690817,-0.117883
0.35,0.182558,-0.00955122,0.489907,0.924529,-0.380424,-0.0179514,-0.0142159,1.13342,0.623186,-0.112418
0.35,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.13342,0.623186,-0.112418
0.36,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.13342,0.623186,-0.112418
0.36,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.13342,0.623186,-0.112418
0.37,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.13342,0.623186,-0.112418
0.37,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.13342,0.623186,-0.112418
0.38,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.12981,0.685012,-0.112341
0.38,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.12981,0.685012,-0.112341
0.39,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.12981,0.685012,-0.112341
0.39,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.12981,0.685012,-0.112341
0.40,0.182559,-0.00955188,0.489907,0.924527,-0.380428,-0.0179541,-0.0142175,1.12981,0.685012,-0.112341
0.40,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12981,0.685012,-0.112341
0.41,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12981,0.685012,-0.112341
0.41,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.42,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.42,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.43,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.43,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.44,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.44,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12959,0.654846,-0.106895
0.45,0.182559,-0.00955059,0.489907,0.924529,-0.380423,-0.0179537,-0.0142169,1.12457,0.676389,-0.111558
0.45,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.46,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.46,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.47,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.47,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.48,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.12457,0.676389,-0.111558
0.48,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.134,0.680708,-0.106246
0.49,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.134,0.680708,-0.106246
0.49,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.134,0.680708,-0.106246
0.50,0.182559,-0.00955176,0.489906,0.924529,-0.380423,-0.0179573,-0.0142148,1.134,0.680708,-0.106246
0.50,0.182559,-0.00955111,0.489909,0.924529,-0.380423,-0.0179513,-0.0142187,1.134,0.680708,-0.106246
0.51,0.182559,-0.00955111,0.489909,0.924529,-0.380423,-0.0179513,-0.0142187,1.134,0.680708,-0.106246
0.51,0.182559,-0.00955111,0.489909,0.924529,-0.380423,-0.0179513,-0.0142187,1.134,0.680708,-0.106246
0.52,0.182559,-0.00955111,0.489909,0.924529,-0.380423,-0.0179513,-0.0142187,1.13916,0.667195,-0.109187
0.52,0.182559,-0.00955111,0.489909,0.924529,-0.380423,-0.0179513,-0.0142187,1.13916,0.667195,-0.109187
