time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.549948,-0.356862,0.385574,0.801296,-0.499907,0.310823,0.106802,0.099084,-2.773816,1.073541
0.0,0.552355,-0.352602,0.384352,0.803445,-0.497322,0.310194,0.10453,0.100174,-2.931228,1.027519
0.01,0.552355,-0.352602,0.384352,0.803445,-0.497322,0.310194,0.10453,0.117235,-3.11557,1.147297
0.02,0.552355,-0.352602,0.384352,0.803445,-0.497322,0.310194,0.10453,0.134296,-3.299912,1.267075
0.02,0.555485,-0.34672,0.382477,0.806421,-0.49384,0.309078,0.101381,0.115362,-3.474954,1.406642
0.02,0.555485,-0.34672,0.382477,0.806421,-0.49384,0.309078,0.101381,0.217416,-3.546006,1.47815
0.03,0.559283,-0.338785,0.379445,0.810474,-0.489323,0.307012,0.097153,0.31947,-3.617058,1.549658
0.04,0.559283,-0.338785,0.379445,0.810474,-0.489323,0.307012,0.097153,0.36621,-3.818056,1.545498
0.04,0.559283,-0.338785,0.379445,0.810474,-0.489323,0.307012,0.097153,0.412949,-4.019054,1.541338
0.04,0.563704,-0.328804,0.375392,0.815529,-0.483754,0.304086,0.0917941,0.69027,-3.775372,1.483178
0.05,0.563704,-0.328804,0.375392,0.815529,-0.483754,0.304086,0.0917941,0.756365,-3.70913,1.48032
0.06,0.568656,-0.316457,0.370224,0.821527,-0.477258,0.300136,0.0850709,0.805342,-3.826206,1.470158
0.06,0.568656,-0.316457,0.370224,0.821527,-0.477258,0.300136,0.0850709,0.913203,-3.48742,1.337366
0.06,0.568656,-0.316457,0.370224,0.821527,-0.477258,0.300136,0.0850709,1.021065,-3.148634,1.204573
0.07,0.573749,-0.302569,0.364466,0.827791,-0.470615,0.295519,0.0771472,1.097101,-3.107738,1.004603
0.08,0.573749,-0.302569,0.364466,0.827791,-0.470615,0.295519,0.0771472,1.173137,-3.066842,0.804633
0.08,0.579186,-0.286649,0.358264,0.83446,-0.463444,0.290334,0.0678388,1.254893,-2.842986,0.527805
0.08,0.579186,-0.286649,0.358264,0.83446,-0.463444,0.290334,0.0678388,1.359084,-2.79929,0.307946
0.09,0.579186,-0.286649,0.358264,0.83446,-0.463444,0.290334,0.0678388,1.463276,-2.755594,0.088088
0.1,0.584659,-0.269164,0.351917,0.841319,-0.455832,0.284758,0.0575528,1.345473,-2.64773,-0.111827
0.1,0.584659,-0.269164,0.351917,0.841319,-0.455832,0.284758,0.0575528,1.22767,-2.539866,-0.311741
0.1,0.590103,-0.250389,0.345841,0.848156,-0.447879,0.279063,0.0464766,1.24566,-2.332932,-0.342466
0.11,0.590103,-0.250389,0.345841,0.848156,-0.447879,0.279063,0.0464766,1.326438,-1.912805,-0.40987
0.12,0.590103,-0.250389,0.345841,0.848156,-0.447879,0.279063,0.0464766,1.407216,-1.492678,-0.477274
0.12,0.595232,-0.230993,0.340165,0.854051,-0.441362,0.273207,0.0339688,1.488501,-1.322304,-0.275878
0.12,0.595232,-0.230993,0.340165,0.854051,-0.441362,0.273207,0.0339688,1.569786,-1.15193,-0.074483
0.13,0.600202,-0.21018,0.334591,0.85979,-0.434867,0.2669,0.0204139,1.508648,-0.886547,-0.0556
0.14,0.600202,-0.21018,0.334591,0.85979,-0.434867,0.2669,0.0204139,1.393252,-0.838046,0.020175
0.14,0.600202,-0.21018,0.334591,0.85979,-0.434867,0.2669,0.0204139,1.281782,-0.848499,0.165216
0.14,0.604863,-0.188125,0.329436,0.865525,-0.427806,0.260398,0.00642628,1.185361,-0.818879,0.040868
0.15,0.604863,-0.188125,0.329436,0.865525,-0.427806,0.260398,0.00642628,1.088939,-0.789259,-0.08348
0.16,0.609111,-0.164545,0.324526,0.870829,-0.42123,0.253264,-0.00894223,1.058119,-0.730051,-0.164801
0.16,0.609111,-0.164545,0.324526,0.870829,-0.42123,0.253264,-0.00894223,1.027299,-0.670842,-0.246121
0.16,0.609111,-0.164545,0.324526,0.870829,-0.42123,0.253264,-0.00894223,0.857399,-0.612516,-0.458213
0.17,0.613257,-0.139465,0.320446,0.875749,-0.414561,0.246073,-0.0255312,0.67821,-0.610502,-0.529676
0.18,0.613257,-0.139465,0.320446,0.875749,-0.414561,0.246073,-0.0255312,0.499022,-0.608488,-0.601139
0.18,0.616988,-0.114113,0.317378,0.879834,-0.408613,0.238935,-0.0428758,0.399459,-0.921835,-0.667841
0.18,0.616988,-0.114113,0.317378,0.879834,-0.408613,0.238935,-0.0428758,0.299896,-1.235181,-0.734543
0.19,0.616988,-0.114113,0.317378,0.879834,-0.408613,0.238935,-0.0428758,0.115291,-1.444982,-0.566872
0.2,0.620552,-0.087008,0.31535,0.883587,-0.402268,0.231676,-0.0614824,0.074716,-1.597174,-0.518215
0.2,0.620552,-0.087008,0.31535,0.883587,-0.402268,0.231676,-0.0614824,0.034141,-1.749366,-0.469558
0.2,0.620552,-0.087008,0.31535,0.883587,-0.402268,0.231676,-0.0614824,-0.150523,-1.746266,-0.37487
0.21,0.62352,-0.059071,0.313923,0.887071,-0.395534,0.224062,-0.0803393,-0.335186,-1.743166,-0.280182
0.22,0.62352,-0.059071,0.313923,0.887071,-0.395534,0.224062,-0.0803393,-0.346532,-1.407389,-0.401531
0.22,0.625558,-0.030865,0.313247,0.89008,-0.388844,0.21608,-0.0993345,-0.410299,-0.967762,-0.448365
0.22,0.625558,-0.030865,0.313247,0.89008,-0.388844,0.21608,-0.0993345,-0.460893,-0.605591,-0.53286
0.23,0.625558,-0.030865,0.313247,0.89008,-0.388844,0.21608,-0.0993345,-0.568288,-0.547351,-0.811682
0.24,0.626464,-0.001626,0.313222,0.89243,-0.382675,0.207038,-0.119434,-0.675682,-0.489111,-1.090503
0.24,0.626464,-0.001626,0.313222,0.89243,-0.382675,0.207038,-0.119434,-0.623388,-0.582317,-1.419188
0.24,0.626231,0.0281,0.314194,0.894076,-0.376894,0.197334,-0.140134,-0.571094,-0.675524,-1.747873
0.25,0.626231,0.0281,0.314194,0.894076,-0.376894,0.197334,-0.140134,-0.633233,-0.47159,-1.998522
0.26,0.626231,0.0281,0.314194,0.894076,-0.376894,0.197334,-0.140134,-0.475439,-0.177623,-2.098218
0.26,0.624908,0.057911,0.316519,0.895025,-0.371286,0.187356,-0.161169,-0.317646,0.116343,-2.197914
0.26,0.624908,0.057911,0.316519,0.895025,-0.371286,0.187356,-0.161169,-0.289949,0.13157,-2.195644
0.27,0.622589,0.087129,0.320123,0.895515,-0.365394,0.177538,-0.181716,-0.262252,0.146797,-2.193374
0.28,0.622589,0.087129,0.320123,0.895515,-0.365394,0.177538,-0.181716,-0.345107,-0.071565,-2.153648
0.28,0.622589,0.087129,0.320123,0.895515,-0.365394,0.177538,-0.181716,-0.557996,0.023023,-2.215628
0.29,0.619054,0.116128,0.324875,0.895488,-0.359452,0.167473,-0.202109,-0.770885,0.117611,-2.277608
0.29,0.619054,0.116128,0.324875,0.895488,-0.359452,0.167473,-0.202109,-1.061627,0.56418,-2.170964
0.3,0.614773,0.14352,0.330711,0.894946,-0.353607,0.157856,-0.221621,-1.35237,1.010749,-2.06432
0.3,0.614773,0.14352,0.330711,0.894946,-0.353607,0.157856,-0.221621,-1.749768,1.712119,-1.87368
0.3,0.614773,0.14352,0.330711,0.894946,-0.353607,0.157856,-0.221621,-2.163376,2.251196,-1.534295
0.31,0.610065,0.169517,0.337481,0.894075,-0.347474,0.148861,-0.240274,-2.386788,2.484144,-1.299667
0.32,0.610065,0.169517,0.337481,0.894075,-0.347474,0.148861,-0.240274,-2.7848,2.538164,-1.217905
0.32,0.6049,0.194529,0.345237,0.892956,-0.340829,0.140414,-0.258358,-3.182812,2.592184,-1.136143
0.32,0.6049,0.194529,0.345237,0.892956,-0.340829,0.140414,-0.258358,-3.299892,2.378724,-1.299842
0.33,0.6049,0.194529,0.345237,0.892956,-0.340829,0.140414,-0.258358,-3.416972,2.165264,-1.46354
0.34,0.600144,0.217132,0.35403,0.891281,-0.334532,0.133341,-0.275549,-3.796284,2.215978,-1.286297
0.34,0.600144,0.217132,0.35403,0.891281,-0.334532,0.133341,-0.275549,-3.984746,1.918291,-1.105822
0.34,0.59552,0.237656,0.363292,0.889741,-0.32754,0.127665,-0.29117,-4.173208,1.620604,-0.925347
0.35,0.59552,0.237656,0.363292,0.889741,-0.32754,0.127665,-0.29117,-4.129716,1.258428,-0.660715
0.36,0.59552,0.237656,0.363292,0.889741,-0.32754,0.127665,-0.29117,-4.086224,0.896252,-0.396084
0.36,0.590914,0.256735,0.37306,0.888264,-0.319879,0.12303,-0.305823,-3.94738,0.563239,-0.11829
0.36,0.590914,0.256735,0.37306,0.888264,-0.319879,0.12303,-0.305823,-3.956108,0.685958,0.12264
0.37,0.586306,0.273694,0.382238,0.886913,-0.312385,0.118982,-0.318818,-3.964836,0.808677,0.363571
0.38,0.586306,0.273694,0.382238,0.886913,-0.312385,0.118982,-0.318818,-3.983806,0.949155,0.626122
0.38,0.586306,0.273694,0.382238,0.886913,-0.312385,0.118982,-0.318818,-4.002776,1.089632,0.888673
0.38,0.581977,0.288372,0.390909,0.885483,-0.30559,0.115543,-0.33043,-4.115352,1.31547,1.042218
0.39,0.581977,0.288372,0.390909,0.885483,-0.30559,0.115543,-0.33043,-4.001466,1.314724,1.204703
0.4,0.577995,0.3004,0.398214,0.883923,-0.300463,0.112058,-0.34036,-3.878666,1.275162,1.447993
0.4,0.577995,0.3004,0.398214,0.883923,-0.300463,0.112058,-0.34036,-4.097594,1.470158,1.702039
0.4,0.577995,0.3004,0.398214,0.883923,-0.300463,0.112058,-0.34036,-4.316522,1.665154,1.956084
0.41,0.574433,0.310055,0.404001,0.882424,-0.29678,0.108616,-0.3485,-4.217372,1.639366,2.124506
0.42,0.574433,0.310055,0.404001,0.882424,-0.29678,0.108616,-0.3485,-4.118222,1.613578,2.292928
0.42,0.574433,0.310055,0.404001,0.882424,-0.29678,0.108616,-0.3485,-4.124964,1.680628,2.505858
0.42,0.571333,0.317717,0.408339,0.881148,-0.294198,0.105245,-0.354893,-3.994206,1.57282,2.623438
0.43,0.571333,0.317717,0.408339,0.881148,-0.294198,0.105245,-0.354893,-3.863448,1.465012,2.741018
0.44,0.568831,0.322729,0.410534,0.880052,-0.293511,0.101885,-0.359137,-3.887818,1.46957,2.65759
0.44,0.568831,0.322729,0.410534,0.880052,-0.293511,0.101885,-0.359137,-3.912188,1.474128,2.574162
0.44,0.568831,0.322729,0.410534,0.880052,-0.293511,0.101885,-0.359137,-3.8805,1.42464,2.337064
0.45,0.56692,0.325744,0.411255,0.879386,-0.293542,0.0990065,-0.361539,-3.891222,1.290154,2.172496
0.46,0.56692,0.325744,0.411255,0.879386,-0.293542,0.0990065,-0.361539,-3.901944,1.155668,2.007928
0.46,0.566293,0.326562,0.411239,0.879129,-0.293874,0.0978489,-0.362209,-3.972472,0.963774,2.03706
0.46,0.566293,0.326562,0.411239,0.879129,-0.293874,0.0978489,-0.362209,-4.043,0.77188,2.066192
0.47,0.566293,0.326562,0.411239,0.879129,-0.293874,0.0978489,-0.362209,-4.135444,0.552521,2.25103
0.48,0.566533,0.325975,0.410563,0.87913,-0.294458,0.0975834,-0.361804,-4.165426,0.431773,2.42579
0.48,0.566533,0.325975,0.410563,0.87913,-0.294458,0.0975834,-0.361804,-4.055372,0.201272,2.565264
0.48,0.567374,0.324538,0.409119,0.879041,-0.295889,0.0972079,-0.360954,-3.880892,0.0185,2.621386
0.49,0.567374,0.324538,0.409119,0.879041,-0.295889,0.0972079,-0.360954,-3.706412,-0.164272,2.677508
