time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.30972,-0.003865,0.393229,0.88844,-0.458041,-0.0148317,0.0255322,-6.59634,4.897074,-0.074373
0.0,0.310792,-0.00867,0.393384,0.887344,-0.459926,-0.0123556,0.030604,-6.709512,5.125362,-0.000322
0.01,0.310792,-0.00867,0.393384,0.887344,-0.459926,-0.0123556,0.030604,-6.905036,5.052118,0.130665
0.02,0.310792,-0.00867,0.393384,0.887344,-0.459926,-0.0123556,0.030604,-7.10056,4.978874,0.261653
0.02,0.312419,-0.014711,0.393777,0.886371,-0.461376,-0.00814999,0.0375861,-7.1836,4.991516,0.403073
0.02,0.312419,-0.014711,0.393777,0.886371,-0.461376,-0.00814999,0.0375861,-7.3324,4.839782,0.510424
0.03,0.314389,-0.021815,0.39423,0.885589,-0.462096,-0.00307911,0.0467868,-7.4812,4.688048,0.617775
0.04,0.314389,-0.021815,0.39423,0.885589,-0.462096,-0.00307911,0.0467868,-7.470016,4.571082,0.631197
0.04,0.314389,-0.021815,0.39423,0.885589,-0.462096,-0.00307911,0.0467868,-7.458832,4.454116,0.644618
0.04,0.316792,-0.029452,0.394724,0.885229,-0.461542,0.00326531,0.0577701,-7.403136,4.288158,0.589206
0.05,0.316792,-0.029452,0.394724,0.885229,-0.461542,0.00326531,0.0577701,-7.350706,4.155616,0.590559
0.06,0.319624,-0.037493,0.395492,0.885251,-0.459667,0.0104122,0.0702,-7.352056,4.002356,0.628264
0.06,0.319624,-0.037493,0.395492,0.885251,-0.459667,0.0104122,0.0702,-7.27146,4.026146,0.589261
0.06,0.319624,-0.037493,0.395492,0.885251,-0.459667,0.0104122,0.0702,-7.190864,4.049936,0.550259
0.07,0.322874,-0.04561,0.396281,0.885589,-0.456596,0.0181216,0.0832131,-7.314198,4.007916,0.599845
0.08,0.322874,-0.04561,0.396281,0.885589,-0.456596,0.0181216,0.0832131,-7.437532,3.965896,0.649432
0.08,0.322874,-0.04561,0.396281,0.885589,-0.456596,0.0181216,0.0832131,-7.567728,3.861586,0.527706
0.08,0.326524,-0.053596,0.397292,0.88595,-0.453125,0.0256284,0.0954597,-7.676756,3.732388,0.41283
0.09,0.326524,-0.053596,0.397292,0.88595,-0.453125,0.0256284,0.0954597,-7.785784,3.60319,0.297954
0.1,0.330852,-0.061184,0.398682,0.886409,-0.449293,0.0328138,0.106479,-7.802008,3.533276,0.119729
0.1,0.330852,-0.061184,0.398682,0.886409,-0.449293,0.0328138,0.106479,-7.818232,3.463362,-0.058496
0.1,0.330852,-0.061184,0.398682,0.886409,-0.449293,0.0328138,0.106479,-7.842608,3.595048,-0.185211
0.11,0.335703,-0.068552,0.400224,0.886737,-0.44582,0.0390235,0.115844,-8.11608,3.723226,-0.243854
0.12,0.335703,-0.068552,0.400224,0.886737,-0.44582,0.0390235,0.115844,-8.389552,3.851404,-0.302498
0.12,0.341281,-0.075828,0.402146,0.886841,-0.443146,0.0447008,0.123033,-8.64468,4.037606,-0.364495
0.12,0.341281,-0.075828,0.402146,0.886841,-0.443146,0.0447008,0.123033,-8.899808,4.223808,-0.426492
0.13,0.341281,-0.075828,0.402146,0.886841,-0.443146,0.0447008,0.123033,-8.629352,4.024286,-0.514088
0.14,0.347635,-0.08323,0.404534,0.886742,-0.441147,0.0495387,0.12893,-8.299056,3.86553,-0.59547
0.14,0.347635,-0.08323,0.404534,0.886742,-0.441147,0.0495387,0.12893,-7.910686,3.73489,-0.628581
0.14,0.354113,-0.090478,0.407177,0.88653,-0.43959,0.0532658,0.134121,-7.459722,3.507374,-0.549558
0.15,0.354113,-0.090478,0.407177,0.88653,-0.43959,0.0532658,0.134121,-7.008758,3.279858,-0.470534
0.16,0.354113,-0.090478,0.407177,0.88653,-0.43959,0.0532658,0.134121,-6.846362,3.18822,-0.426693
0.16,0.36048,-0.097735,0.409689,0.886434,-0.437659,0.0547117,0.140339,-6.683966,3.096582,-0.382851
0.16,0.36048,-0.097735,0.409689,0.886434,-0.437659,0.0547117,0.140339,-6.646852,2.975908,-0.323109
0.17,0.367428,-0.104992,0.412507,0.886591,-0.434755,0.0562725,0.147574,-6.767492,2.869096,-0.17148
0.18,0.367428,-0.104992,0.412507,0.886591,-0.434755,0.0562725,0.147574,-6.888132,2.762284,-0.019852
0.18,0.367428,-0.104992,0.412507,0.886591,-0.434755,0.0562725,0.147574,-6.909652,2.75952,0.154373
0.18,0.374779,-0.1117,0.415378,0.887075,-0.430891,0.0582775,0.155029,-6.931172,2.756756,0.328597
0.19,0.374779,-0.1117,0.415378,0.887075,-0.430891,0.0582775,0.155029,-6.836588,2.662288,0.418716
0.2,0.382696,-0.118018,0.418247,0.887802,-0.426406,0.0605338,0.162238,-6.826218,2.67021,0.382675
0.2,0.382696,-0.118018,0.418247,0.887802,-0.426406,0.0605338,0.162238,-6.815848,2.678132,0.346633
0.2,0.382696,-0.118018,0.418247,0.887802,-0.426406,0.0605338,0.162238,-7.099514,2.704072,0.424963
0.21,0.391284,-0.124073,0.420999,0.888635,-0.421535,0.0629177,0.169344,-7.38318,2.730012,0.503293
0.22,0.391284,-0.124073,0.420999,0.888635,-0.421535,0.0629177,0.169344,-7.51022,2.731602,0.633288
0.22,0.400192,-0.129765,0.423459,0.889367,-0.417112,0.0651239,0.175508,-7.331392,2.60544,0.657755
0.22,0.400192,-0.129765,0.423459,0.889367,-0.417112,0.0651239,0.175508,-7.015578,2.479634,0.605387
0.23,0.400192,-0.129765,0.423459,0.889367,-0.417112,0.0651239,0.175508,-6.791778,2.352974,0.680596
0.24,0.409687,-0.135331,0.425601,0.889996,-0.413239,0.067079,0.18067,-6.567978,2.226314,0.755804
0.24,0.409687,-0.135331,0.425601,0.889996,-0.413239,0.067079,0.18067,-6.630852,2.268216,0.842951
0.24,0.419517,-0.140681,0.427251,0.890578,-0.409772,0.0687158,0.185029,-6.693726,2.310118,0.930098
0.25,0.419517,-0.140681,0.427251,0.890578,-0.409772,0.0687158,0.185029,-6.905098,2.195442,1.057238
0.26,0.419517,-0.140681,0.427251,0.890578,-0.409772,0.0687158,0.185029,-6.960532,2.008336,1.095607
0.26,0.429469,-0.145368,0.428091,0.891308,-0.406272,0.0698292,0.188779,-7.015966,1.82123,1.133977
0.26,0.429469,-0.145368,0.428091,0.891308,-0.406272,0.0698292,0.188779,-6.873814,1.58332,1.209311
0.27,0.439882,-0.149267,0.427816,0.892409,-0.40206,0.0702893,0.192388,-6.731662,1.34541,1.284645
0.28,0.439882,-0.149267,0.427816,0.892409,-0.40206,0.0702893,0.192388,-6.588942,1.071444,1.507538
0.28,0.439882,-0.149267,0.427816,0.892409,-0.40206,0.0702893,0.192388,-6.407876,0.849382,1.681716
0.29,0.450463,-0.152225,0.426259,0.893857,-0.397574,0.0698416,0.195132,-6.22681,0.62732,1.855894
0.29,0.450463,-0.152225,0.426259,0.893857,-0.397574,0.0698416,0.195132,-6.032384,0.316306,1.845204
0.3,0.460964,-0.154234,0.423692,0.895596,-0.392737,0.0688088,0.197307,-5.837958,0.005292,1.834514
0.3,0.460964,-0.154234,0.423692,0.895596,-0.392737,0.0688088,0.197307,-5.906486,-0.092451,1.613746
0.3,0.460964,-0.154234,0.423692,0.895596,-0.392737,0.0688088,0.197307,-6.05059,-0.159627,1.41015
0.31,0.471734,-0.15529,0.419908,0.897607,-0.387981,0.0668743,0.198242,-6.021346,-0.240977,1.083091
0.32,0.471734,-0.15529,0.419908,0.897607,-0.387981,0.0668743,0.198242,-6.067678,-0.285965,0.922568
0.32,0.482579,-0.155532,0.415412,0.899761,-0.38352,0.0645419,0.197931,-6.11401,-0.330954,0.762046
0.32,0.482579,-0.155532,0.415412,0.899761,-0.38352,0.0645419,0.197931,-5.96201,-0.449742,0.651732
0.33,0.482579,-0.155532,0.415412,0.899761,-0.38352,0.0645419,0.197931,-5.81001,-0.568531,0.541418
0.34,0.49348,-0.154708,0.410724,0.902033,-0.379458,0.0622328,0.196149,-5.790608,-0.819632,0.375943
0.34,0.49348,-0.154708,0.410724,0.902033,-0.379458,0.0622328,0.196149,-5.961706,-1.105647,0.04974
0.34,0.49348,-0.154708,0.410724,0.902033,-0.379458,0.0622328,0.196149,-6.132804,-1.391662,-0.276463
0.35,0.504832,-0.152582,0.40569,0.904709,-0.37456,0.0601587,0.193874,-6.072576,-1.398541,-0.335121
0.36,0.504832,-0.152582,0.40569,0.904709,-0.37456,0.0601587,0.193874,-6.012348,-1.405421,-0.39378
0.36,0.516458,-0.149184,0.400589,0.907738,-0.368807,0.0585556,0.191218,-5.778554,-1.421565,-0.317197
0.36,0.516458,-0.149184,0.400589,0.907738,-0.368807,0.0585556,0.191218,-5.39676,-1.428429,-0.214818
0.37,0.516458,-0.149184,0.400589,0.907738,-0.368807,0.0585556,0.191218,-5.014966,-1.435293,-0.11244
0.38,0.527992,-0.144706,0.395452,0.910992,-0.362516,0.0573028,0.18813,-4.657244,-1.429425,-0.531929
0.38,0.527992,-0.144706,0.395452,0.910992,-0.362516,0.0573028,0.18813,-4.299522,-1.423557,-0.951418
0.38,0.539076,-0.139252,0.390569,0.914345,-0.356052,0.0564228,0.184435,-4.077098,-1.536437,-1.30363
0.39,0.539076,-0.139252,0.390569,0.914345,-0.356052,0.0564228,0.184435,-3.866392,-1.571875,-1.583211
0.4,0.539076,-0.139252,0.390569,0.914345,-0.356052,0.0564228,0.184435,-3.681126,-1.508781,-1.770648
0.4,0.549954,-0.132724,0.386019,0.917837,-0.349299,0.0559996,0.180083,-3.59976,-1.518334,-1.570874
0.4,0.549954,-0.132724,0.386019,0.917837,-0.349299,0.0559996,0.180083,-3.518394,-1.527887,-1.3711
0.41,0.560589,-0.125237,0.381464,0.921435,-0.342522,0.0555176,0.174794,-3.623234,-1.449385,-1.30485
0.42,0.560589,-0.125237,0.381464,0.921435,-0.342522,0.0555176,0.174794,-3.728074,-1.370883,-1.2386
0.42,0.560589,-0.125237,0.381464,0.921435,-0.342522,0.0555176,0.174794,-3.35143,-1.116695,-1.243744
0.42,0.570483,-0.116943,0.376737,0.925008,-0.336364,0.0543044,0.16814,-3.00385,-1.342628,-1.48291
0.43,0.570483,-0.116943,0.376737,0.925008,-0.336364,0.0543044,0.16814,-2.65627,-1.568562,-1.722076
0.44,0.57939,-0.108234,0.3719,0.928301,-0.331908,0.0520724,0.159319,-2.255892,-1.284733,-1.749408
0.44,0.57939,-0.108234,0.3719,0.928301,-0.331908,0.0520724,0.159319,-1.855514,-1.000903,-1.77674
0.44,0.57939,-0.108234,0.3719,0.928301,-0.331908,0.0520724,0.159319,-1.797536,-1.151324,-1.861286
0.45,0.587091,-0.099108,0.367062,0.931258,-0.329162,0.0485722,0.148497,-1.591196,-1.042198,-2.08116
0.46,0.587091,-0.099108,0.367062,0.931258,-0.329162,0.0485722,0.148497,-1.384856,-0.933072,-2.301034
0.46,0.593918,-0.08893,0.362086,0.933857,-0.328685,0.0431991,0.134206,-1.32988,-1.267103,-2.42085
0.46,0.593918,-0.08893,0.362086,0.933857,-0.328685,0.0431991,0.134206,-1.274904,-1.601134,-2.540666
0.47,0.593918,-0.08893,0.362086,0.933857,-0.328685,0.0431991,0.134206,-1.375876,-1.541152,-2.638428
0.48,0.599812,-0.077866,0.357632,0.935947,-0.33007,0.0366075,0.117116,-1.623934,-1.427007,-2.450574
0.48,0.599812,-0.077866,0.357632,0.935947,-0.33007,0.0366075,0.117116,-1.827618,-1.534979,-2.455784
0.48,0.604917,-0.066043,0.353626,0.937372,-0.333241,0.0285705,0.0973023,-1.809078,-1.291549,-2.660942
0.49,0.604917,-0.066043,0.353626,0.937372,-0.333241,0.0285705,0.0973023,-1.790538,-1.04812,-2.8661
0.5,0.604917,-0.066043,0.353626,0.937372,-0.333241,0.0285705,0.0973023,-1.72511,-1.275256,-3.086942
0.5,0.609424,-0.053363,0.3505,0.938303,-0.336684,0.0200492,0.0763467,-1.659682,-1.502392,-3.307784
0.5,0.609424,-0.053363,0.3505,0.938303,-0.336684,0.0200492,0.0763467,-1.781162,-1.181986,-3.312958
