time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.686944,-0.079368,0.338234,0.907086,-0.41692,0.0265575,0.0516486,13.40326,-0.558431,-2.442814
0.0,0.682074,-0.079534,0.339695,0.906809,-0.417628,0.0208861,0.0533602,13.9213,-0.506927,-2.411476
0.01,0.682074,-0.079534,0.339695,0.906809,-0.417628,0.0208861,0.0533602,14.43934,-0.455424,-2.380138
0.02,0.675597,-0.079901,0.341269,0.906379,-0.418577,0.0137658,0.0555107,14.58548,-0.475168,-2.570782
0.02,0.675597,-0.079901,0.341269,0.906379,-0.418577,0.0137658,0.0555107,14.73162,-0.494913,-2.761426
0.02,0.675597,-0.079901,0.341269,0.906379,-0.418577,0.0137658,0.0555107,14.61132,-0.444847,-2.595392
0.03,0.667355,-0.080374,0.343095,0.905778,-0.419726,0.00514139,0.0580464,14.40102,-0.529498,-2.624764
0.04,0.667355,-0.080374,0.343095,0.905778,-0.419726,0.00514139,0.0580464,14.19072,-0.61415,-2.654136
0.04,0.657939,-0.080889,0.345251,0.905088,-0.420932,-0.00319297,0.060173,14.12374,-0.579431,-2.551692
0.04,0.657939,-0.080889,0.345251,0.905088,-0.420932,-0.00319297,0.060173,14.05676,-0.544712,-2.449248
0.05,0.657939,-0.080889,0.345251,0.905088,-0.420932,-0.00319297,0.060173,14.1244,-0.634065,-2.516554
0.06,0.647924,-0.081297,0.347992,0.904437,-0.422035,-0.00987626,0.0615059,14.20156,-0.606647,-2.733212
0.06,0.647924,-0.081297,0.347992,0.904437,-0.422035,-0.00987626,0.0615059,14.08352,-0.661111,-2.648334
0.06,0.637413,-0.081535,0.351017,0.903925,-0.422969,-0.0141288,0.0617782,13.69158,-0.727653,-2.510596
0.07,0.637413,-0.081535,0.351017,0.903925,-0.422969,-0.0141288,0.0617782,13.29964,-0.794195,-2.372858
0.08,0.637413,-0.081535,0.351017,0.903925,-0.422969,-0.0141288,0.0617782,12.72438,-0.878657,-1.943968
0.08,0.625987,-0.081551,0.354442,0.903455,-0.42383,-0.017953,0.061764,12.14912,-0.963118,-1.515078
