time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.326031,-0.028262,0.38281,0.905833,-0.42338,-0.0107579,0.0100305,-11.731544,0.462441,0.689092
0.0,0.330029,-0.028601,0.384056,0.905825,-0.423381,-0.0111898,0.0102445,-12.30508,0.439939,0.674665
0.01,0.330029,-0.028601,0.384056,0.905825,-0.423381,-0.0111898,0.0102445,-12.76298,0.408014,0.675679
0.02,0.330029,-0.028601,0.384056,0.905825,-0.423381,-0.0111898,0.0102445,-12.89036,0.400471,0.737341
0.02,0.335247,-0.028934,0.38562,0.905878,-0.423243,-0.0117133,0.0106004,-13.01774,0.392927,0.799003
0.02,0.335247,-0.028934,0.38562,0.905878,-0.423243,-0.0117133,0.0106004,-13.36778,0.406397,0.800825
0.03,0.34189,-0.029392,0.387644,0.905922,-0.423129,-0.0121255,0.0109274,-13.71782,0.419866,0.802647
0.04,0.34189,-0.029392,0.387644,0.905922,-0.423129,-0.0121255,0.0109274,-13.72948,0.385556,0.994994
0.04,0.34189,-0.029392,0.387644,0.905922,-0.423129,-0.0121255,0.0109274,-13.25212,0.305075,0.989112
0.04,0.34982,-0.029869,0.389788,0.90601,-0.422912,-0.0126904,0.011369,-12.77476,0.224594,0.98323
0.05,0.34982,-0.029869,0.389788,0.90601,-0.422912,-0.0126904,0.011369,-11.94918,0.111832,0.864366
0.06,0.358848,-0.03033,0.391736,0.906147,-0.422575,-0.0135638,0.0119843,-11.1236,-0.00093,0.745502
0.06,0.358848,-0.03033,0.391736,0.906147,-0.422575,-0.0135638,0.0119843,-10.45638,-0.054847,0.73674
0.06,0.358848,-0.03033,0.391736,0.906147,-0.422575,-0.0135638,0.0119843,-10.30524,-0.124797,0.871639
0.07,0.368453,-0.030828,0.393234,0.906273,-0.422242,-0.0147629,0.0127608,-10.20304,-0.175102,1.045982
0.08,0.368453,-0.030828,0.393234,0.906273,-0.422242,-0.0147629,0.0127608,-10.036574,-0.148722,1.287815
0.08,0.368453,-0.030828,0.393234,0.906273,-0.422242,-0.0147629,0.0127608,-9.870108,-0.122342,1.529648
0.08,0.378488,-0.031266,0.394285,0.906433,-0.421818,-0.0161691,0.0136449,-9.860768,-0.149816,1.352111
0.09,0.378488,-0.031266,0.394285,0.906433,-0.421818,-0.0161691,0.0136449,-9.851428,-0.17729,1.174574
0.1,0.389459,-0.031622,0.394925,0.906656,-0.421242,-0.017756,0.0146245,-9.935028,-0.266704,0.947268
0.1,0.389459,-0.031622,0.394925,0.906656,-0.421242,-0.017756,0.0146245,-10.238774,-0.362645,0.632069
0.1,0.389459,-0.031622,0.394925,0.906656,-0.421242,-0.017756,0.0146245,-10.54252,-0.458585,0.316871
0.11,0.401566,-0.031785,0.395487,0.907012,-0.420384,-0.0190972,0.0155321,-10.649,-0.413388,0.22609
0.12,0.401566,-0.031785,0.395487,0.907012,-0.420384,-0.0190972,0.0155321,-10.75548,-0.368191,0.135309
0.12,0.41448,-0.031966,0.396059,0.907373,-0.419538,-0.0199396,0.016246,-10.6777,-0.198031,0.178986
0.12,0.41448,-0.031966,0.396059,0.907373,-0.419538,-0.0199396,0.016246,-10.434142,-0.055898,0.293232
0.13,0.41448,-0.031966,0.396059,0.907373,-0.419538,-0.0199396,0.016246,-10.190584,0.086235,0.407478
0.14,0.428076,-0.032405,0.396382,0.907627,-0.418944,-0.0205249,0.0166911,-9.873076,0.171389,0.470728
0.14,0.428076,-0.032405,0.396382,0.907627,-0.418944,-0.0205249,0.0166911,-9.555568,0.256543,0.533977
0.14,0.442336,-0.033029,0.396438,0.907818,-0.418506,-0.0208273,0.0169163,-9.185358,0.283331,0.590053
0.15,0.442336,-0.033029,0.396438,0.907818,-0.418506,-0.0208273,0.0169163,-9.016986,0.335655,0.766436
0.16,0.442336,-0.033029,0.396438,0.907818,-0.418506,-0.0208273,0.0169163,-8.80234,0.375389,0.884478
0.16,0.457419,-0.033969,0.396234,0.907888,-0.418359,-0.0207412,0.0168601,-8.750816,0.308879,0.845523
0.16,0.457419,-0.033969,0.396234,0.907888,-0.418359,-0.0207412,0.0168601,-8.699292,0.242369,0.806568
0.17,0.473015,-0.035028,0.395734,0.907939,-0.418286,-0.0202017,0.0166026,-8.674288,0.197823,0.683825
0.18,0.473015,-0.035028,0.395734,0.907939,-0.418286,-0.0202017,0.0166026,-8.649284,0.153277,0.561082
