time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.2443,-0.035792,0.436939,0.915018,-0.399367,-0.022421,0.0523996,-1.412456,3.003032,-5.631378
0.0,0.244359,-0.035226,0.436915,0.915475,-0.398307,-0.0224506,0.0524696,-1.367836,3.099298,-5.640028
0.01,0.244359,-0.035226,0.436915,0.915475,-0.398307,-0.0224506,0.0524696,-1.34039,3.148488,-5.649006
0.02,0.244359,-0.035226,0.436915,0.915475,-0.398307,-0.0224506,0.0524696,-1.301132,3.205604,-5.659834
0.02,0.244456,-0.034437,0.436899,0.916113,-0.39683,-0.0224221,0.0525358,-1.26881,3.290664,-5.674648
0.02,0.244456,-0.034437,0.436899,0.916113,-0.39683,-0.0224221,0.0525358,-1.236488,3.375724,-5.689462
0.03,0.244566,-0.033548,0.436887,0.916817,-0.395191,-0.0223606,0.0526427,-1.226656,3.387116,-5.700548
0.04,0.244566,-0.033548,0.436887,0.916817,-0.395191,-0.0223606,0.0526427,-1.216824,3.398508,-5.711634
0.04,0.244566,-0.033548,0.436887,0.916817,-0.395191,-0.0223606,0.0526427,-1.250602,3.428938,-5.709392
0.04,0.244691,-0.032519,0.436881,0.917617,-0.393314,-0.0222524,0.0527944,-1.248846,3.426524,-5.719686
0.05,0.244691,-0.032519,0.436881,0.917617,-0.393314,-0.0222524,0.0527944,-1.24709,3.42411,-5.72998
0.06,0.244843,-0.031226,0.436871,0.918623,-0.39095,-0.0221462,0.0529175,-1.262918,3.49263,-5.73957
0.06,0.244843,-0.031226,0.436871,0.918623,-0.39095,-0.0221462,0.0529175,-1.278746,3.56115,-5.74916
0.06,0.244843,-0.031226,0.436871,0.918623,-0.39095,-0.0221462,0.0529175,-1.232252,3.595846,-5.788872
0.07,0.244994,-0.029842,0.43685,0.919679,-0.388447,-0.0220513,0.0530416,-1.221956,3.621086,-5.826778
0.08,0.244994,-0.029842,0.43685,0.919679,-0.388447,-0.0220513,0.0530416,-1.21166,3.646326,-5.864684
0.08,0.24514,-0.028422,0.43683,0.920725,-0.385946,-0.0219076,0.0532117,-1.182312,3.675848,-5.899816
0.08,0.24514,-0.028422,0.43683,0.920725,-0.385946,-0.0219076,0.0532117,-1.152964,3.70537,-5.934948
0.09,0.24514,-0.028422,0.43683,0.920725,-0.385946,-0.0219076,0.0532117,-1.145404,3.75286,-5.962504
0.1,0.245284,-0.02686,0.436793,0.92185,-0.383231,-0.0217778,0.0534116,-1.142588,3.797982,-5.972874
0.1,0.245284,-0.02686,0.436793,0.92185,-0.383231,-0.0217778,0.0534116,-1.151012,3.83832,-6.008022
0.1,0.245424,-0.025247,0.436769,0.922979,-0.380481,-0.0216209,0.053629,-1.11274,3.856316,-6.058886
0.11,0.245424,-0.025247,0.436769,0.922979,-0.380481,-0.0216209,0.053629,-1.074467,3.874312,-6.10975
0.12,0.245424,-0.025247,0.436769,0.922979,-0.380481,-0.0216209,0.053629,-1.020115,3.852384,-6.160954
0.12,0.245562,-0.023484,0.436737,0.924195,-0.377509,-0.0215116,0.0537391,-0.965763,3.830456,-6.212158
0.12,0.245562,-0.023484,0.436737,0.924195,-0.377509,-0.0215116,0.0537391,-0.915549,3.825216,-6.259658
0.13,0.245688,-0.021651,0.436694,0.925406,-0.374533,-0.0214691,0.0537373,-0.888185,3.787118,-6.316334
0.14,0.245688,-0.021651,0.436694,0.925406,-0.374533,-0.0214691,0.0537373,-0.860821,3.74902,-6.37301
0.14,0.245688,-0.021651,0.436694,0.925406,-0.374533,-0.0214691,0.0537373,-0.876673,3.785716,-6.44047
0.14,0.245814,-0.01966,0.436638,0.92668,-0.371377,-0.0214607,0.0536838,-0.892526,3.822412,-6.50793
0.15,0.245814,-0.01966,0.436638,0.92668,-0.371377,-0.0214607,0.0536838,-0.879508,3.850364,-6.585622
0.16,0.245937,-0.017573,0.43658,0.927948,-0.368191,-0.0214303,0.0537473,-0.850731,3.904664,-6.684372
0.16,0.245937,-0.017573,0.43658,0.927948,-0.368191,-0.0214303,0.0537473,-0.821955,3.958964,-6.783122
0.16,0.245937,-0.017573,0.43658,0.927948,-0.368191,-0.0214303,0.0537473,-0.735776,3.936628,-6.8847
