time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.528813,-0.325653,0.388285,0.831003,-0.486253,0.247571,0.108171,-1.26027,1.11781,-0.043586
0.0401,0.528813,-0.325653,0.388285,0.831003,-0.486253,0.247571,0.108171,-1.2695,1.10215,-0.0343664
0.0601,0.528813,-0.325653,0.388284,0.831004,-0.48625,0.24757,0.108173,-1.2695,1.10215,-0.0343664
0.0801,0.528813,-0.325653,0.388284,0.831004,-0.48625,0.24757,0.108173,-1.28297,1.11367,-0.0357847
0.1001,0.528815,-0.325652,0.388282,0.831005,-0.48625,0.24757,0.108172,-1.28297,1.11367,-0.0357847
0.1201,0.528815,-0.325652,0.388282,0.831005,-0.48625,0.24757,0.108172,-1.29965,1.10026,-0.0422777
0.1401,0.528815,-0.325652,0.388282,0.831005,-0.48625,0.24757,0.108172,-1.29965,1.10026,-0.0422777
0.1601,0.528815,-0.32565,0.388282,0.831006,-0.486249,0.24757,0.108171,-1.2744,1.13304,-0.0585764
0.1801,0.528815,-0.32565,0.388282,0.831006,-0.486249,0.24757,0.108171,-1.29278,1.13982,-0.092705
0.2001,0.528817,-0.325649,0.388282,0.831003,-0.486253,0.24757,0.108169,-1.29278,1.13982,-0.092705
0.2201,0.528817,-0.325649,0.388282,0.831003,-0.486253,0.24757,0.108169,-1.27661,1.15347,-0.0720856
0.2401,0.528817,-0.325649,0.388282,0.831003,-0.486253,0.24757,0.108169,-1.27661,1.15347,-0.0720856
0.2601,0.528815,-0.325651,0.388282,0.831006,-0.486249,0.24757,0.108171,-1.2732,1.11337,-0.0489917
0.2801,0.528815,-0.325651,0.388282,0.831006,-0.486249,0.24757,0.108171,-1.27074,1.12702,-0.0568838
0.3001,0.528814,-0.325652,0.388282,0.831004,-0.486253,0.247569,0.108171,-1.27074,1.12702,-0.0568838
0.3201,0.528814,-0.325652,0.388282,0.831004,-0.486253,0.247569,0.108171,-1.25456,1.10521,-0.0505946
0.3401,0.528814,-0.325652,0.388282,0.831004,-0.486253,0.247569,0.108171,-1.25456,1.10521,-0.0505946
0.3601,0.528816,-0.325649,0.388281,0.831004,-0.486252,0.247569,0.10817,-1.27404,1.09371,-0.0397843
0.3801,0.528816,-0.325649,0.388281,0.831004,-0.486252,0.247569,0.10817,-1.2658,1.11853,-0.0620473
0.4001,0.528815,-0.32565,0.388279,0.831005,-0.486251,0.247567,0.108171,-1.2658,1.11853,-0.0620473
0.4201,0.528815,-0.32565,0.388279,0.831005,-0.486251,0.247567,0.108171,-1.26384,1.11255,-0.0526234
0.4401,0.528815,-0.32565,0.388279,0.831005,-0.486251,0.247567,0.108171,-1.26384,1.11255,-0.0526234
0.4601,0.528815,-0.32565,0.388285,0.831006,-0.486248,0.247572,0.108172,-1.24416,1.10401,-0.0709226
0.4801,0.528815,-0.32565,0.388285,0.831006,-0.486248,0.247572,0.108172,-1.24416,1.10401,-0.0709226
0.5001,0.528816,-0.32565,0.388282,0.831006,-0.486248,0.247569,0.108172,-1.24571,1.12945,-0.0735672
0.5201,0.528816,-0.32565,0.388282,0.831006,-0.486248,0.247569,0.108172,-1.27387,1.10665,-0.0491679
0.5401,0.528816,-0.32565,0.388282,0.831006,-0.486248,0.247569,0.108172,-1.27387,1.10665,-0.0491679
0.5601,0.528814,-0.325652,0.38828,0.831004,-0.486252,0.247568,0.108172,-1.25352,1.10409,-0.0735461
0.5801,0.528814,-0.325652,0.38828,0.831004,-0.486252,0.247568,0.108172,-1.25352,1.10409,-0.0735461
0.6001,0.528815,-0.32565,0.388281,0.831005,-0.486251,0.247568,0.108171,-1.25496,1.11254,-0.0361468
0.6201,0.528815,-0.32565,0.388281,0.831005,-0.486251,0.247568,0.108171,-1.24099,1.11927,-0.064378
0.6401,0.528815,-0.32565,0.388281,0.831005,-0.486251,0.247568,0.108171,-1.24099,1.11927,-0.064378
0.6601,0.528814,-0.325652,0.388282,0.831006,-0.486249,0.247568,0.108172,-1.27064,1.10134,-0.0570447
