time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.303838,-0.0119465,0.408347,0.907831,-0.41736,-0.0406712,0.00032505,-0.209603,0.315878,-0.979234
0.0401,0.303838,-0.0119465,0.408347,0.907831,-0.41736,-0.0406712,0.00032505,-0.21127,0.303659,-0.97649
0.0601,0.303839,-0.0119474,0.408348,0.90783,-0.417361,-0.0406709,0.000323594,-0.21127,0.303659,-0.97649
0.0801,0.303839,-0.0119474,0.408348,0.90783,-0.417361,-0.0406709,0.000323594,-0.196474,0.309215,-0.978037
0.1001,0.303839,-0.0119478,0.408348,0.907831,-0.41736,-0.0406711,0.000324848,-0.177519,0.308909,-0.976501
0.1201,0.303839,-0.0119478,0.408348,0.907831,-0.41736,-0.0406711,0.000324848,-0.177519,0.308909,-0.976501
0.1401,0.303839,-0.0119478,0.408348,0.907831,-0.41736,-0.0406711,0.000324848,-0.218113,0.319806,-0.99238
0.1601,0.303839,-0.011946,0.408349,0.90783,-0.417361,-0.0406691,0.000324607,-0.218113,0.319806,-0.99238
0.1801,0.303839,-0.011946,0.408349,0.90783,-0.417361,-0.0406691,0.000324607,-0.181991,0.3206,-1.01661
0.2001,0.303839,-0.011946,0.408349,0.90783,-0.417361,-0.0406691,0.000324607,-0.18153,0.297293,-1.00181
0.2201,0.303838,-0.0119457,0.408345,0.90783,-0.417361,-0.0406742,0.000326705,-0.18153,0.297293,-1.00181
0.2401,0.303838,-0.0119457,0.408345,0.90783,-0.417361,-0.0406742,0.000326705,-0.162039,0.328968,-1.00096
0.2601,0.303839,-0.0119467,0.408348,0.907829,-0.417363,-0.0406707,0.000324911,-0.162039,0.328968,-1.00096
0.2801,0.303839,-0.0119467,0.408348,0.907829,-0.417363,-0.0406707,0.000324911,-0.179954,0.317593,-1.00198
0.3001,0.303839,-0.0119467,0.408348,0.907829,-0.417363,-0.0406707,0.000324911,-0.179954,0.317593,-1.00198
0.3201,0.303839,-0.0119452,0.408348,0.907833,-0.417355,-0.0406713,0.000324915,-0.193926,0.302002,-1.00198
0.3401,0.303839,-0.0119452,0.408348,0.907833,-0.417355,-0.0406713,0.000324915,-0.208855,0.305131,-0.995323
0.3601,0.303837,-0.0119483,0.408346,0.90783,-0.417362,-0.0406743,0.000324811,-0.208855,0.305131,-0.995323
0.3801,0.303837,-0.0119483,0.408346,0.90783,-0.417362,-0.0406743,0.000324811,-0.2293,0.295216,-0.983198
0.4001,0.303837,-0.0119483,0.408346,0.90783,-0.417362,-0.0406743,0.000324811,-0.2293,0.295216,-0.983198
0.4201,0.303838,-0.011948,0.408347,0.90783,-0.417362,-0.0406711,0.000323787,-0.203399,0.310136,-0.997943
0.4402,0.303838,-0.011948,0.408347,0.90783,-0.417362,-0.0406711,0.000323787,-0.218191,0.319251,-1.00563
0.4602,0.303838,-0.0119476,0.408348,0.907832,-0.417358,-0.0406722,0.000324124,-0.218191,0.319251,-1.00563
0.4802,0.303838,-0.0119476,0.408348,0.907832,-0.417358,-0.0406722,0.000324124,-0.207378,0.322352,-1.01998
