time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.672151,-0.0623193,0.311894,0.89668,-0.442062,0.0214435,0.00925969,-1.22028,0.38855,0.444211
0.0401,0.672151,-0.0623193,0.311894,0.89668,-0.442062,0.0214435,0.00925969,-1.18499,0.379128,0.426205
0.0601,0.672152,-0.0623221,0.311899,0.896679,-0.442064,0.0214495,0.0092592,-1.18499,0.379128,0.426205
0.0801,0.672152,-0.0623221,0.311899,0.896679,-0.442064,0.0214495,0.0092592,-1.1922,0.359171,0.430786
0.1001,0.67215,-0.0623229,0.311897,0.896677,-0.442068,0.0214451,0.00925928,-1.1922,0.359171,0.430786
0.1201,0.67215,-0.0623229,0.311897,0.896677,-0.442068,0.0214451,0.00925928,-1.17954,0.370868,0.44229
0.1401,0.67215,-0.0623229,0.311897,0.896677,-0.442068,0.0214451,0.00925928,-1.18652,0.362348,0.426815
0.1601,0.672153,-0.0623179,0.311901,0.896682,-0.442058,0.0214506,0.0092571,-1.18652,0.362348,0.426815
0.1801,0.672153,-0.0623179,0.311901,0.896682,-0.442058,0.0214506,0.0092571,-1.19493,0.388887,0.451672
0.2001,0.672153,-0.0623179,0.311901,0.896682,-0.442058,0.0214506,0.0092571,-1.19493,0.388887,0.451672
0.2201,0.672151,-0.0623244,0.311898,0.896679,-0.442065,0.0214484,0.0092594,-1.221,0.333195,0.432626
0.2401,0.672151,-0.0623244,0.311898,0.896679,-0.442065,0.0214484,0.0092594,-1.19092,0.392528,0.426886
0.2601,0.672152,-0.0623244,0.311899,0.89668,-0.442063,0.021449,0.00925963,-1.19092,0.392528,0.426886
0.2801,0.672152,-0.0623244,0.311899,0.89668,-0.442063,0.021449,0.00925963,-1.19765,0.452674,0.441785
0.3001,0.672152,-0.0623244,0.311899,0.89668,-0.442063,0.021449,0.00925963,-1.19765,0.452674,0.441785
0.3201,0.672153,-0.0623195,0.311901,0.896679,-0.442065,0.0214503,0.00925712,-1.20168,0.351925,0.4402
0.3401,0.672153,-0.0623195,0.311901,0.896679,-0.442065,0.0214503,0.00925712,-1.20168,0.351925,0.4402
0.3601,0.672152,-0.0623225,0.311898,0.896679,-0.442064,0.0214484,0.0092598,-1.18579,0.355567,0.42148
0.3801,0.672152,-0.0623225,0.311898,0.896679,-0.442064,0.0214484,0.0092598,-1.17427,0.348973,0.453428
0.4001,0.672152,-0.0623225,0.311898,0.896679,-0.442064,0.0214484,0.0092598,-1.17427,0.348973,0.453428
0.4201,0.672151,-0.0623245,0.311893,0.896679,-0.442064,0.0214448,0.00926157,-1.18002,0.373599,0.441357
0.4401,0.672151,-0.0623245,0.311893,0.896679,-0.442064,0.0214448,0.00926157,-1.18002,0.373599,0.441357
0.4601,0.672153,-0.0623214,0.311902,0.896681,-0.442059,0.0214518,0.00925687,-1.16775,0.372798,0.424309
0.4801,0.672153,-0.0623214,0.311902,0.896681,-0.442059,0.0214518,0.00925687,-1.16266,0.37845,0.42338
0.5001,0.672153,-0.0623214,0.311902,0.896681,-0.442059,0.0214518,0.00925687,-1.16266,0.37845,0.42338
0.5201,0.672152,-0.0623226,0.311896,0.89668,-0.442062,0.0214481,0.00926059,-1.17577,0.382184,0.442288
0.5401,0.672152,-0.0623226,0.311896,0.89668,-0.442062,0.0214481,0.00926059,-1.17577,0.382184,0.442288
