time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.29005,-0.0216829,0.342284,0.913361,-0.4071,0.0035478,0.0054032,-0.935162,0.233155,-0.653186
0.0401,0.29005,-0.0216829,0.342284,0.913361,-0.4071,0.0035478,0.0054032,-0.938777,0.275844,-0.637843
0.0601,0.290052,-0.0216827,0.342288,0.913361,-0.4071,0.00355132,0.00540299,-0.938777,0.275844,-0.637843
0.0801,0.290052,-0.0216827,0.342288,0.913361,-0.4071,0.00355132,0.00540299,-0.922856,0.215466,-0.660125
0.1001,0.29005,-0.0216832,0.342286,0.913361,-0.4071,0.0035498,0.00540302,-0.939481,0.271307,-0.662027
0.1201,0.29005,-0.0216832,0.342286,0.913361,-0.4071,0.0035498,0.00540302,-0.939481,0.271307,-0.662027
0.1401,0.29005,-0.0216832,0.342286,0.913361,-0.4071,0.0035498,0.00540302,-0.941533,0.210342,-0.648293
0.1601,0.29005,-0.0216833,0.342287,0.913362,-0.407098,0.00355206,0.00540247,-0.941533,0.210342,-0.648293
0.1801,0.29005,-0.0216833,0.342287,0.913362,-0.407098,0.00355206,0.00540247,-0.908575,0.253661,-0.644514
0.2001,0.29005,-0.0216831,0.342286,0.913359,-0.407103,0.00354928,0.0054018,-0.947747,0.283388,-0.613775
0.2201,0.29005,-0.0216831,0.342286,0.913359,-0.407103,0.00354928,0.0054018,-0.947747,0.283388,-0.613775
0.2401,0.29005,-0.0216831,0.342286,0.913359,-0.407103,0.00354928,0.0054018,-0.94425,0.227234,-0.635437
0.2601,0.290052,-0.021682,0.342288,0.913362,-0.407096,0.00355184,0.0054032,-0.94425,0.227234,-0.635437
0.2801,0.290052,-0.021682,0.342288,0.913362,-0.407096,0.00355184,0.0054032,-0.899814,0.27359,-0.64967
0.3001,0.29005,-0.0216825,0.342287,0.913363,-0.407095,0.00355176,0.00540322,-0.893709,0.258729,-0.652511
0.3201,0.29005,-0.0216825,0.342287,0.913363,-0.407095,0.00355176,0.00540322,-0.893709,0.258729,-0.652511
0.3401,0.29005,-0.0216825,0.342287,0.913363,-0.407095,0.00355176,0.00540322,-0.921584,0.234707,-0.652164
0.3601,0.290051,-0.0216831,0.342287,0.913362,-0.407098,0.003551,0.00540132,-0.921584,0.234707,-0.652164
0.3801,0.290051,-0.0216831,0.342287,0.913362,-0.407098,0.003551,0.00540132,-0.942723,0.240622,-0.626998
0.4000,0.290051,-0.021682,0.342286,0.913362,-0.407096,0.00355002,0.00540352,-0.942723,0.240622,-0.626998
0.4201,0.290051,-0.021682,0.342286,0.913362,-0.407096,0.00355002,0.00540352,-0.953412,0.297509,-0.637398
0.4401,0.290051,-0.021682,0.342286,0.913362,-0.407096,0.00355002,0.00540352,-0.921718,0.237277,-0.64553
0.4601,0.29005,-0.0216827,0.342286,0.913361,-0.407099,0.00354918,0.00540386,-0.921718,0.237277,-0.64553
0.4801,0.29005,-0.0216827,0.342286,0.913361,-0.407099,0.00354918,0.00540386,-0.947641,0.255523,-0.634606
0.5001,0.29005,-0.0216827,0.342287,0.913361,-0.4071,0.00355243,0.00540331,-0.947641,0.255523,-0.634606
0.5201,0.29005,-0.0216827,0.342287,0.913361,-0.4071,0.00355243,0.00540331,-0.925377,0.267897,-0.629041
0.5401,0.29005,-0.0216827,0.342287,0.913361,-0.4071,0.00355243,0.00540331,-0.956137,0.226232,-0.620716
0.5601,0.290051,-0.0216842,0.342286,0.91336,-0.407101,0.00354962,0.00540447,-0.956137,0.226232,-0.620716
0.5801,0.290051,-0.0216842,0.342286,0.91336,-0.407101,0.00354962,0.00540447,-0.950061,0.279612,-0.639596
0.6001,0.29005,-0.0216832,0.342288,0.913361,-0.4071,0.00355362,0.00540107,-0.950061,0.279612,-0.639596
0.6201,0.29005,-0.0216832,0.342288,0.913361,-0.4071,0.00355362,0.00540107,-0.950445,0.246626,-0.645355
0.6401,0.29005,-0.0216832,0.342288,0.913361,-0.4071,0.00355362,0.00540107,-0.951321,0.302252,-0.640122
0.6601,0.290051,-0.0216827,0.342288,0.913359,-0.407103,0.003553,0.00540132,-0.951321,0.302252,-0.640122
0.6801,0.290051,-0.0216827,0.342288,0.913359,-0.407103,0.003553,0.00540132,-0.935571,0.253951,-0.637034
0.7001,0.290052,-0.021683,0.342286,0.91336,-0.407103,0.00355023,0.00540384,-0.935571,0.253951,-0.637034
0.7201,0.290052,-0.021683,0.342286,0.91336,-0.407103,0.00355023,0.00540384,-0.989868,0.248729,-0.644265
0.7401,0.290052,-0.021683,0.342286,0.91336,-0.407103,0.00355023,0.00540384,-0.989868,0.248729,-0.644265
0.7601,0.29005,-0.0216818,0.342286,0.913362,-0.407097,0.00354926,0.00540402,-0.985871,0.25613,-0.674201
0.7801,0.29005,-0.0216818,0.342286,0.913362,-0.407097,0.00354926,0.00540402,-1.00411,0.218639,-0.648013
0.8001,0.290052,-0.0216834,0.34229,0.913361,-0.4071,0.00355443,0.00540123,-1.00411,0.218639,-0.648013
0.8201,0.290052,-0.0216834,0.34229,0.913361,-0.4071,0.00355443,0.00540123,-0.994654,0.273472,-0.653535
0.8401,0.290052,-0.0216834,0.34229,0.913361,-0.4071,0.00355443,0.00540123,-0.994654,0.273472,-0.653535
0.8601,0.29005,-0.0216825,0.342286,0.91336,-0.407102,0.00355082,0.00540261,-1.00083,0.248173,-0.669072
0.8801,0.29005,-0.0216825,0.342286,0.91336,-0.407102,0.00355082,0.00540261,-0.969496,0.25172,-0.67559
0.9001,0.290051,-0.0216848,0.342287,0.913358,-0.407106,0.00355108,0.00540147,-0.969496,0.25172,-0.67559
0.9201,0.290051,-0.0216848,0.342287,0.913358,-0.407106,0.00355108,0.00540147,-0.983003,0.261193,-0.670109
0.9401,0.290051,-0.0216848,0.342287,0.913358,-0.407106,0.00355108,0.00540147,-0.983003,0.261193,-0.670109
0.9601,0.290051,-0.0216809,0.342287,0.913361,-0.4071,0.00355109,0.00540364,-0.942463,0.256278,-0.673016
0.9801,0.290051,-0.0216809,0.342287,0.913361,-0.4071,0.00355109,0.00540364,-0.972809,0.263126,-0.690703
1.0001,0.290051,-0.0216809,0.342287,0.913361,-0.4071,0.00355109,0.00540364,-0.972809,0.263126,-0.690703
1.0201,0.29005,-0.0216837,0.342285,0.913359,-0.407103,0.00354767,0.00540313,-0.980642,0.268311,-0.688076
1.0401,0.29005,-0.0216837,0.342285,0.913359,-0.407103,0.00354767,0.00540313,-0.980642,0.268311,-0.688076
1.0601,0.290051,-0.0216828,0.342287,0.913361,-0.407099,0.00355125,0.00540339,-0.968791,0.2365,-0.671328
1.0801,0.290051,-0.0216828,0.342287,0.913361,-0.407099,0.00355125,0.00540339,-0.968791,0.2365,-0.671328
1.1001,0.290051,-0.0216828,0.342287,0.913361,-0.407099,0.00355125,0.00540339,-0.961417,0.261883,-0.666841
1.1201,0.290052,-0.0216812,0.342288,0.913362,-0.407097,0.00355126,0.00540293,-0.942567,0.275177,-0.66442
1.1401,0.290052,-0.0216812,0.342288,0.913362,-0.407097,0.00355126,0.00540293,-0.942567,0.275177,-0.66442
1.1601,0.290051,-0.0216815,0.342287,0.913362,-0.407097,0.00355183,0.00540404,-0.956973,0.26809,-0.650378
1.1801,0.290051,-0.0216815,0.342287,0.913362,-0.407097,0.00355183,0.00540404,-0.956973,0.26809,-0.650378
1.2001,0.290051,-0.0216815,0.342287,0.913362,-0.407097,0.00355183,0.00540404,-0.949188,0.247821,-0.668882
1.2201,0.29005,-0.0216836,0.342285,0.913359,-0.407103,0.00354854,0.0054048,-0.935722,0.248976,-0.663684
1.2401,0.29005,-0.0216836,0.342285,0.913359,-0.407103,0.00354854,0.0054048,-0.935722,0.248976,-0.663684
1.2601,0.290051,-0.0216846,0.342285,0.913359,-0.407103,0.00354777,0.0054033,-0.99536,0.248206,-0.640562
1.2801,0.290051,-0.0216846,0.342285,0.913359,-0.407103,0.00354777,0.0054033,-0.99536,0.248206,-0.640562
1.3001,0.290051,-0.0216846,0.342285,0.913359,-0.407103,0.00354777,0.0054033,-0.992915,0.233792,-0.66708
1.3201,0.29005,-0.0216835,0.342287,0.913361,-0.4071,0.003552,0.00540302,-0.964917,0.264622,-0.676049
1.3401,0.29005,-0.0216835,0.342287,0.913361,-0.4071,0.003552,0.00540302,-0.964917,0.264622,-0.676049
1.3601,0.290051,-0.0216841,0.342285,0.913361,-0.407099,0.00354846,0.00540314,-0.994008,0.241548,-0.648142
1.3801,0.290051,-0.0216841,0.342285,0.913361,-0.407099,0.00354846,0.00540314,-0.994008,0.241548,-0.648142
1.4001,0.290051,-0.0216841,0.342285,0.913361,-0.407099,0.00354846,0.00540314,-0.954239,0.252426,-0.648326
1.4201,0.290051,-0.0216826,0.342287,0.913361,-0.407099,0.00355069,0.00540272,-0.954239,0.252426,-0.648326
1.4401,0.290051,-0.0216826,0.342287,0.913361,-0.407099,0.00355069,0.00540272,-0.950244,0.24643,-0.65769
1.4601,0.290051,-0.0216822,0.342288,0.913362,-0.407097,0.00355328,0.0054039,-0.979532,0.274958,-0.655922
1.4801,0.290051,-0.0216822,0.342288,0.913362,-0.407097,0.00355328,0.0054039,-0.979532,0.274958,-0.655922
1.5001,0.290051,-0.0216822,0.342288,0.913362,-0.407097,0.00355328,0.0054039,-0.95655,0.265875,-0.657838
1.5201,0.29005,-0.0216822,0.342286,0.913362,-0.407098,0.00354905,0.00540347,-0.95655,0.265875,-0.657838
1.5401,0.29005,-0.0216822,0.342286,0.913362,-0.407098,0.00354905,0.00540347,-0.918991,0.238025,-0.668874
1.5601,0.290051,-0.0216834,0.342287,0.913361,-0.4071,0.0035525,0.00540281,-0.96484,0.256499,-0.656076
1.5801,0.290051,-0.0216834,0.342287,0.913361,-0.4071,0.0035525,0.00540281,-0.96484,0.256499,-0.656076
1.6001,0.290051,-0.0216834,0.342287,0.913361,-0.4071,0.0035525,0.00540281,-0.98085,0.237233,-0.65428
1.6201,0.29005,-0.021683,0.342286,0.913361,-0.4071,0.00354873,0.0054027,-0.98085,0.237233,-0.65428
1.6401,0.29005,-0.021683,0.342286,0.913361,-0.4071,0.00354873,0.0054027,-0.936901,0.233166,-0.681232
1.6601,0.290051,-0.0216811,0.342286,0.913363,-0.407096,0.00355018,0.0054038,-0.962674,0.237209,-0.660177
1.6801,0.290051,-0.0216811,0.342286,0.913363,-0.407096,0.00355018,0.0054038,-0.962674,0.237209,-0.660177
1.7001,0.290051,-0.0216811,0.342286,0.913363,-0.407096,0.00355018,0.0054038,-0.961984,0.255479,-0.653439
1.7201,0.290051,-0.0216836,0.342287,0.913362,-0.407097,0.00355068,0.0054036,-0.961984,0.255479,-0.653439
1.7401,0.290051,-0.0216836,0.342287,0.913362,-0.407097,0.00355068,0.0054036,-0.919066,0.267345,-0.673927
