time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.204302,-0.0418786,0.440166,0.911176,-0.411258,0.0103051,0.0227646,0.145354,-1.02477,-1.86693
0.0401,0.204302,-0.0418786,0.440166,0.911176,-0.411258,0.0103051,0.0227646,0.145354,-1.02477,-1.86693
0.0601,0.204301,-0.0418786,0.440169,0.911178,-0.411255,0.0103101,0.0227627,0.13551,-1.02459,-1.86392
0.0801,0.204301,-0.0418786,0.440169,0.911178,-0.411255,0.0103101,0.0227627,0.1285,-1.01387,-1.85574
0.1001,0.204302,-0.041879,0.440169,0.911174,-0.411262,0.0103092,0.0227636,0.1285,-1.01387,-1.85574
0.1201,0.204302,-0.041879,0.440169,0.911174,-0.411262,0.0103092,0.0227636,0.142403,-1.01583,-1.84283
0.1401,0.204302,-0.041879,0.440169,0.911174,-0.411262,0.0103092,0.0227636,0.142403,-1.01583,-1.84283
0.1601,0.204301,-0.0418793,0.440165,0.911175,-0.411262,0.0103063,0.0227665,0.150032,-1.0078,-1.86016
0.1801,0.204301,-0.0418793,0.440165,0.911175,-0.411262,0.0103063,0.0227665,0.152243,-0.996008,-1.8644
0.2001,0.204303,-0.0418785,0.440168,0.911176,-0.41126,0.0103091,0.0227658,0.152243,-0.996008,-1.8644
0.2201,0.204303,-0.0418785,0.440168,0.911176,-0.41126,0.0103091,0.0227658,0.146461,-1.03684,-1.85566
0.2401,0.204303,-0.0418785,0.440168,0.911176,-0.41126,0.0103091,0.0227658,0.146461,-1.03684,-1.85566
0.2601,0.204302,-0.0418791,0.440167,0.911175,-0.41126,0.0103075,0.0227624,0.140952,-1.03778,-1.85896
0.2801,0.204302,-0.0418791,0.440167,0.911175,-0.41126,0.0103075,0.0227624,0.140952,-1.03778,-1.85896
0.3001,0.204302,-0.0418766,0.440167,0.911178,-0.411255,0.0103109,0.0227663,0.134349,-1.01578,-1.8699
0.3201,0.204302,-0.0418766,0.440167,0.911178,-0.411255,0.0103109,0.0227663,0.153713,-1.01872,-1.85411
0.3401,0.204302,-0.0418766,0.440167,0.911178,-0.411255,0.0103109,0.0227663,0.153713,-1.01872,-1.85411
0.3601,0.204303,-0.0418779,0.440169,0.911178,-0.411254,0.0103114,0.0227649,0.128506,-1.03091,-1.86752
0.3801,0.204303,-0.0418779,0.440169,0.911178,-0.411254,0.0103114,0.0227649,0.128506,-1.03091,-1.86752
0.4001,0.204303,-0.0418779,0.440169,0.911178,-0.411254,0.0103114,0.0227649,0.133825,-1.02627,-1.87481
0.4201,0.204303,-0.0418778,0.440169,0.911176,-0.411259,0.010313,0.022766,0.132024,-1.01463,-1.88293
0.4401,0.204303,-0.0418778,0.440169,0.911176,-0.411259,0.010313,0.022766,0.132024,-1.01463,-1.88293
0.4601,0.204303,-0.0418773,0.440167,0.911176,-0.411259,0.0103086,0.0227666,0.149677,-1.01174,-1.86029
0.4801,0.204303,-0.0418773,0.440167,0.911176,-0.411259,0.0103086,0.0227666,0.149677,-1.01174,-1.86029
0.5001,0.204303,-0.0418773,0.440167,0.911176,-0.411259,0.0103086,0.0227666,0.167804,-1.02131,-1.86103
0.5201,0.204302,-0.041878,0.440168,0.911175,-0.411261,0.0103138,0.0227641,0.201289,-1.00258,-1.84666
0.5401,0.204302,-0.041878,0.440168,0.911175,-0.411261,0.0103138,0.0227641,0.201289,-1.00258,-1.84666
0.5601,0.204303,-0.0418775,0.440166,0.911176,-0.411258,0.0103088,0.0227682,0.165724,-1.02027,-1.84763
0.5801,0.204303,-0.0418775,0.440166,0.911176,-0.411258,0.0103088,0.0227682,0.165724,-1.02027,-1.84763
0.6001,0.204303,-0.0418775,0.440166,0.911176,-0.411258,0.0103088,0.0227682,0.175638,-1.02606,-1.85791
0.6201,0.204302,-0.0418772,0.440167,0.911177,-0.411257,0.0103112,0.0227673,0.175638,-1.02606,-1.85791
0.6401,0.204302,-0.0418772,0.440167,0.911177,-0.411257,0.0103112,0.0227673,0.170414,-1.01539,-1.85212
0.6601,0.204303,-0.0418768,0.440169,0.911178,-0.411253,0.0103126,0.0227638,0.177569,-1.01809,-1.86173
0.6801,0.204303,-0.0418768,0.440169,0.911178,-0.411253,0.0103126,0.0227638,0.177569,-1.01809,-1.86173
0.7001,0.204303,-0.0418768,0.440169,0.911178,-0.411253,0.0103126,0.0227638,0.184125,-1.02106,-1.85388
0.7201,0.204303,-0.0418772,0.440165,0.911177,-0.411257,0.0103078,0.0227647,0.184125,-1.02106,-1.85388
