time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.399526,-0.238878,0.666594,0.817364,-0.359432,0.289535,0.344812,1.050452,-1.635196,1.91309
0.0,0.400151,-0.23781,0.665588,0.818473,-0.359001,0.289013,0.343062,1.102456,-1.81341,2.119964
0.01,0.400151,-0.23781,0.665588,0.818473,-0.359001,0.289013,0.343062,1.133848,-2.028332,2.353882
0.02,0.400151,-0.23781,0.665588,0.818473,-0.359001,0.289013,0.343062,1.16524,-2.243254,2.5878
0.02,0.401093,-0.236054,0.663689,0.82057,-0.358947,0.287845,0.339069,1.190092,-2.473718,2.71576
0.02,0.401093,-0.236054,0.663689,0.82057,-0.358947,0.287845,0.339069,1.276954,-2.623624,2.901228
0.03,0.402476,-0.233315,0.66014,0.823947,-0.358767,0.285532,0.33297,1.363816,-2.77353,3.086696
0.04,0.402476,-0.233315,0.66014,0.823947,-0.358767,0.285532,0.33297,1.6286,-2.750598,3.21855
0.04,0.402476,-0.233315,0.66014,0.823947,-0.358767,0.285532,0.33297,1.893384,-2.727666,3.350404
0.04,0.404117,-0.229787,0.654811,0.828526,-0.358862,0.281476,0.324862,2.204876,-2.656174,3.511504
0.05,0.404117,-0.229787,0.654811,0.828526,-0.358862,0.281476,0.324862,2.412542,-2.640526,3.542124
0.06,0.405805,-0.225667,0.647919,0.834106,-0.359273,0.275985,0.314677,2.59474,-2.58378,3.479706
0.06,0.405805,-0.225667,0.647919,0.834106,-0.359273,0.275985,0.314677,2.57646,-2.634418,3.417512
0.06,0.405805,-0.225667,0.647919,0.834106,-0.359273,0.275985,0.314677,2.55818,-2.685056,3.355318
0.07,0.40761,-0.22092,0.639984,0.840318,-0.359661,0.269503,0.303112,2.596262,-2.694976,3.14345
0.08,0.40761,-0.22092,0.639984,0.840318,-0.359661,0.269503,0.303112,2.634344,-2.704896,2.931582
0.08,0.409638,-0.215202,0.630811,0.847257,-0.35976,0.261917,0.290047,2.678004,-2.721838,2.86667
0.08,0.409638,-0.215202,0.630811,0.847257,-0.35976,0.261917,0.290047,2.861496,-2.668428,2.718748
