time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.261705,-0.000439,0.435555,0.930639,-0.365682,0.00827545,0.0109663,-6.76542,-0.892013,0.089155
0.0,0.262967,-0.000379,0.435466,0.930665,-0.365602,0.0092271,0.0105682,-7.137846,-0.926965,0.179567
0.01,0.262967,-0.000379,0.435466,0.930665,-0.365602,0.0092271,0.0105682,-7.510272,-0.961917,0.269979
0.02,0.264849,-0.000287,0.43509,0.930708,-0.365468,0.0108662,0.009865,-7.449744,-0.974265,0.440133
0.02,0.264849,-0.000287,0.43509,0.930708,-0.365468,0.0108662,0.009865,-7.389216,-0.986614,0.610288
0.02,0.264849,-0.000287,0.43509,0.930708,-0.365468,0.0108662,0.009865,-7.126678,-0.997105,0.657958
0.03,0.266687,-0.000181,0.43403,0.930768,-0.365312,0.0111251,0.00975519,-7.019152,-1.002003,0.681454
0.04,0.266687,-0.000181,0.43403,0.930768,-0.365312,0.0111251,0.00975519,-6.911626,-1.006901,0.70495
0.04,0.268905,-5.4e-05,0.432844,0.930841,-0.365122,0.0112895,0.00967837,-6.935122,-1.000851,0.662967
0.04,0.268905,-5.4e-05,0.432844,0.930841,-0.365122,0.0112895,0.00967837,-6.958618,-0.9948,0.620985
0.05,0.268905,-5.4e-05,0.432844,0.930841,-0.365122,0.0112895,0.00967837,-7.280164,-1.011484,0.539535
0.06,0.271562,5.3e-05,0.431672,0.930895,-0.364978,0.011563,0.00957808,-7.562002,-1.028792,0.30913
0.06,0.271562,5.3e-05,0.431672,0.930895,-0.364978,0.011563,0.00957808,-7.84384,-1.0461,0.078725
0.06,0.27471,0.00019,0.43082,0.930973,-0.364776,0.0117124,0.00953172,-8.243662,-1.078331,-0.168727
0.07,0.27471,0.00019,0.43082,0.930973,-0.364776,0.0117124,0.00953172,-8.643484,-1.110562,-0.416179
0.08,0.27471,0.00019,0.43082,0.930973,-0.364776,0.0117124,0.00953172,-8.704312,-1.236842,-0.573888
0.08,0.278148,0.000366,0.429807,0.931081,-0.364516,0.0107744,0.00998351,-8.84138,-1.3618,-0.597645
0.08,0.278148,0.000366,0.429807,0.931081,-0.364516,0.0107744,0.00998351,-8.738102,-1.38408,-0.683201
0.09,0.281811,0.000669,0.429045,0.931264,-0.364077,0.00863537,0.0109955,-8.419754,-1.363262,-0.615378
0.1,0.281811,0.000669,0.429045,0.931264,-0.364077,0.00863537,0.0109955,-8.101406,-1.342444,-0.547556
0.1,0.281811,0.000669,0.429045,0.931264,-0.364077,0.00863537,0.0109955,-7.589724,-1.206506,-0.521003
0.1,0.285873,0.000893,0.428448,0.931384,-0.36378,0.00743614,0.0115581,-7.078042,-1.070568,-0.49445
0.11,0.285873,0.000893,0.428448,0.931384,-0.36378,0.00743614,0.0115581,-6.970678,-1.012486,-0.515665
0.12,0.285873,0.000893,0.428448,0.931384,-0.36378,0.00743614,0.0115581,-6.764568,-1.029668,-0.695161
0.12,0.290345,0.001088,0.428156,0.931479,-0.363538,0.00670146,0.0119245,-6.558458,-1.04685,-0.874656
0.12,0.290345,0.001088,0.428156,0.931479,-0.363538,0.00670146,0.0119245,-6.694158,-1.02127,-0.822625
0.13,0.295206,0.001319,0.428413,0.931587,-0.36326,0.00662717,0.0120298,-6.829858,-0.99569,-0.770594
0.14,0.295206,0.001319,0.428413,0.931587,-0.36326,0.00662717,0.0120298,-6.847234,-1.009548,-0.705612
0.14,0.295206,0.001319,0.428413,0.931587,-0.36326,0.00662717,0.0120298,-7.075976,-0.99769,-0.738542
0.14,0.300338,0.001582,0.428614,0.93171,-0.362943,0.00599278,0.0123884,-7.304718,-0.985832,-0.771472
0.15,0.300338,0.001582,0.428614,0.93171,-0.362943,0.00599278,0.0123884,-7.405512,-0.942511,-0.595524
0.16,0.305707,0.001904,0.429044,0.931861,-0.36255,0.00425912,0.0132466,-7.506306,-0.89919,-0.419577
0.16,0.305707,0.001904,0.429044,0.931861,-0.36255,0.00425912,0.0132466,-7.141986,-0.852696,-0.435081
0.16,0.305707,0.001904,0.429044,0.931861,-0.36255,0.00425912,0.0132466,-6.728344,-0.803421,-0.334502
0.17,0.311166,0.002137,0.429134,0.931944,-0.362312,0.00192964,0.0143671,-6.62989,-0.713767,0.013128
0.18,0.311166,0.002137,0.429134,0.931944,-0.362312,0.00192964,0.0143671,-6.210402,-0.651887,-0.127531
0.18,0.317112,0.002252,0.429247,0.931955,-0.362263,0.000691468,0.0150042,-5.790914,-0.590006,-0.26819
0.18,0.317112,0.002252,0.429247,0.931955,-0.362263,0.000691468,0.0150042,-5.826634,-0.531363,-0.245925
0.19,0.317112,0.002252,0.429247,0.931955,-0.362263,0.000691468,0.0150042,-5.862354,-0.472721,-0.223659
0.2,0.323202,0.002353,0.429273,0.931951,-0.362246,-0.000484845,0.0156317,-5.842184,-0.509289,-0.159693
0.2,0.323202,0.002353,0.429273,0.931951,-0.362246,-0.000484845,0.0156317,-5.798616,-0.557486,-0.389341
0.2,0.329323,0.002446,0.429131,0.931938,-0.362231,-0.00232836,0.0165525,-5.755048,-0.605682,-0.618989
0.21,0.329323,0.002446,0.429131,0.931938,-0.362231,-0.00232836,0.0165525,-5.853314,-0.639616,-0.500862
0.22,0.329323,0.002446,0.429131,0.931938,-0.362231,-0.00232836,0.0165525,-5.95158,-0.67355,-0.382735
0.22,0.335774,0.002545,0.429278,0.931941,-0.362194,-0.0031804,0.017061,-5.856826,-0.644104,-0.439004
0.22,0.335774,0.002545,0.429278,0.931941,-0.362194,-0.0031804,0.017061,-5.643134,-0.628258,-0.273505
0.23,0.342325,0.002625,0.429045,0.931919,-0.362199,-0.0046758,0.0178324,-5.429442,-0.612412,-0.108006
0.24,0.342325,0.002625,0.429045,0.931919,-0.362199,-0.0046758,0.0178324,-5.23334,-0.609292,-0.082322
0.24,0.342325,0.002625,0.429045,0.931919,-0.362199,-0.0046758,0.0178324,-5.037238,-0.606172,-0.056638
0.24,0.348781,0.002723,0.428654,0.93189,-0.36219,-0.00667079,0.0188414,-4.902802,-0.600563,-0.025221
0.25,0.348781,0.002723,0.428654,0.93189,-0.36219,-0.00667079,0.0188414,-5.225912,-0.60267,0.177687
0.26,0.355139,0.002789,0.428,0.93183,-0.362231,-0.00906577,0.020001,-4.989062,-0.569554,0.264627
0.26,0.355139,0.002789,0.428,0.93183,-0.362231,-0.00906577,0.020001,-4.993528,-0.576485,0.170468
0.26,0.355139,0.002789,0.428,0.93183,-0.362231,-0.00906577,0.020001,-4.997994,-0.583417,0.076309
