time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.263038,-0.006215,0.486644,0.919592,-0.392585,0.00166978,-0.0149728,1.503772,-2.521232,0.023939
0.0,0.263065,-0.00515,0.486675,0.920039,-0.391542,0.0017412,-0.0148435,1.333878,-3.04984,-0.129084
0.01,0.263065,-0.00515,0.486675,0.920039,-0.391542,0.0017412,-0.0148435,1.27921,-3.453724,-0.273898
0.02,0.263094,-0.003209,0.486746,0.920867,-0.389598,0.00191189,-0.0145903,1.224542,-3.857608,-0.418712
0.02,0.263094,-0.003209,0.486746,0.920867,-0.389598,0.00191189,-0.0145903,1.295316,-4.18956,-0.523301
0.02,0.263094,-0.003209,0.486746,0.920867,-0.389598,0.00191189,-0.0145903,1.304782,-4.459408,-0.596021
0.03,0.263115,-0.000103,0.486929,0.922227,-0.386382,0.00227424,-0.0141965,1.314248,-4.729256,-0.668742
0.04,0.263115,-0.000103,0.486929,0.922227,-0.386382,0.00227424,-0.0141965,1.259476,-4.960968,-0.703239
0.04,0.263115,0.004617,0.487139,0.924041,-0.381977,0.00196703,-0.0154048,1.204704,-5.19268,-0.737737
0.04,0.263115,0.004617,0.487139,0.924041,-0.381977,0.00196703,-0.0154048,1.082927,-5.373978,-0.79579
0.05,0.263115,0.004617,0.487139,0.924041,-0.381977,0.00196703,-0.0154048,1.017847,-5.441172,-0.840104
0.06,0.263025,0.01113,0.487385,0.926092,-0.37679,0.000384335,-0.0195909,0.891553,-5.52341,-0.896778
0.06,0.263025,0.01113,0.487385,0.926092,-0.37679,0.000384335,-0.0195909,0.701922,-5.642448,-0.958142
0.06,0.262791,0.019466,0.487706,0.928244,-0.370976,-0.00255914,-0.0270888,0.51229,-5.761486,-1.019506
0.07,0.262791,0.019466,0.487706,0.928244,-0.370976,-0.00255914,-0.0270888,0.337156,-5.763966,-1.054965
0.08,0.262791,0.019466,0.487706,0.928244,-0.370976,-0.00255914,-0.0270888,0.162021,-5.766446,-1.090424
0.08,0.262351,0.029244,0.488256,0.930156,-0.365117,-0.00689616,-0.0380897,-0.004045,-5.75493,-1.146162
0.08,0.262351,0.029244,0.488256,0.930156,-0.365117,-0.00689616,-0.0380897,-0.186318,-5.848896,-1.123594
0.09,0.261542,0.040642,0.489005,0.931676,-0.359173,-0.0132982,-0.052883,-0.368592,-5.942862,-1.101026
0.1,0.261542,0.040642,0.489005,0.931676,-0.359173,-0.0132982,-0.052883,-0.678532,-5.877652,-1.058407
0.1,0.261542,0.040642,0.489005,0.931676,-0.359173,-0.0132982,-0.052883,-0.988472,-5.812442,-1.015788
0.1,0.260387,0.053288,0.489904,0.932696,-0.353149,-0.0212403,-0.0700872,-1.24613,-5.878934,-0.880748
0.11,0.260387,0.053288,0.489904,0.932696,-0.353149,-0.0212403,-0.0700872,-1.430907,-5.633702,-0.836612
0.12,0.258861,0.066963,0.490968,0.933207,-0.346886,-0.0303651,-0.0887339,-1.615684,-5.38847,-0.792476
0.12,0.258861,0.066963,0.490968,0.933207,-0.346886,-0.0303651,-0.0887339,-1.66927,-5.537692,-0.693186
0.12,0.258861,0.066963,0.490968,0.933207,-0.346886,-0.0303651,-0.0887339,-1.722856,-5.686914,-0.593896
0.13,0.256998,0.081341,0.49244,0.933097,-0.340577,-0.0401756,-0.108277,-1.910596,-5.593352,-0.585177
0.14,0.256998,0.081341,0.49244,0.933097,-0.340577,-0.0401756,-0.108277,-2.06113,-5.64908,-0.552527
0.14,0.254866,0.095864,0.494131,0.932394,-0.334403,-0.0502485,-0.127638,-2.130728,-5.74157,-0.506721
0.14,0.254866,0.095864,0.494131,0.932394,-0.334403,-0.0502485,-0.127638,-2.309242,-5.78433,-0.517329
0.15,0.254866,0.095864,0.494131,0.932394,-0.334403,-0.0502485,-0.127638,-2.487756,-5.82709,-0.527937
0.16,0.25236,0.110707,0.495827,0.93121,-0.328131,-0.0606407,-0.146631,-2.630796,-5.791578,-0.564924
0.16,0.25236,0.110707,0.495827,0.93121,-0.328131,-0.0606407,-0.146631,-2.773836,-5.756066,-0.601911
0.16,0.249595,0.126035,0.497982,0.929563,-0.321727,-0.0710704,-0.165388,-2.817054,-5.692344,-0.56908
0.17,0.249595,0.126035,0.497982,0.929563,-0.321727,-0.0710704,-0.165388,-2.844438,-5.835808,-0.405167
0.18,0.249595,0.126035,0.497982,0.929563,-0.321727,-0.0710704,-0.165388,-2.871822,-5.979272,-0.241254
0.18,0.24662,0.141292,0.500204,0.927601,-0.315368,-0.0812776,-0.183014,-2.777648,-6.162046,-0.070676
0.18,0.24662,0.141292,0.500204,0.927601,-0.315368,-0.0812776,-0.183014,-2.683474,-6.34482,0.099901
0.19,0.24662,0.141292,0.500204,0.927601,-0.315368,-0.0812776,-0.183014,-2.853608,-6.319254,0.126844
0.2,0.243328,0.157133,0.502577,0.925346,-0.308611,-0.0917726,-0.200178,-2.776004,-6.015028,0.011965
0.2,0.243328,0.157133,0.502577,0.925346,-0.308611,-0.0917726,-0.200178,-2.6984,-5.710802,-0.102914
0.2,0.239739,0.173165,0.505018,0.922744,-0.301786,-0.102316,-0.216795,-2.672272,-5.818802,0.043946
0.21,0.239739,0.173165,0.505018,0.922744,-0.301786,-0.102316,-0.216795,-2.646144,-5.926802,0.190806
0.22,0.239739,0.173165,0.505018,0.922744,-0.301786,-0.102316,-0.216795,-2.667076,-6.323014,0.443788
0.22,0.235987,0.18906,0.507269,0.919846,-0.295096,-0.112964,-0.232468,-2.826148,-6.674668,0.700486
0.22,0.235987,0.18906,0.507269,0.919846,-0.295096,-0.112964,-0.232468,-3.009024,-6.977964,0.964318
0.23,0.23204,0.204829,0.50915,0.916778,-0.288479,-0.123736,-0.246955,-3.221838,-6.82399,1.045129
0.24,0.23204,0.204829,0.50915,0.916778,-0.288479,-0.123736,-0.246955,-3.434652,-6.670016,1.12594
0.24,0.23204,0.204829,0.50915,0.916778,-0.288479,-0.123736,-0.246955,-3.679588,-6.234456,1.214644
0.24,0.227715,0.221355,0.510801,0.913337,-0.281674,-0.134758,-0.261374,-3.924524,-5.798896,1.303348
0.25,0.227715,0.221355,0.510801,0.913337,-0.281674,-0.134758,-0.261374,-4.15366,-5.065964,1.340266
0.26,0.224182,0.236022,0.511845,0.909674,-0.276726,-0.143582,-0.274407,-4.084932,-4.223062,1.263581
0.26,0.224182,0.236022,0.511845,0.909674,-0.276726,-0.143582,-0.274407,-4.016204,-3.38016,1.186895
0.26,0.224182,0.236022,0.511845,0.909674,-0.276726,-0.143582,-0.274407,-3.811368,-2.519195,1.107805
0.27,0.221709,0.248716,0.512263,0.906092,-0.273881,-0.148847,-0.286063,-3.606532,-1.658231,1.028715
0.28,0.221709,0.248716,0.512263,0.906092,-0.273881,-0.148847,-0.286063,-3.31123,-1.088909,1.050413
0.28,0.2205,0.25877,0.512038,0.902892,-0.273271,-0.150164,-0.295906,-3.442976,-0.381595,0.884039
0.29,0.2205,0.25877,0.512038,0.902892,-0.273271,-0.150164,-0.295906,-3.574722,0.325719,0.717664
