time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.401215,-0.23766,0.665114,0.818363,-0.357473,0.288633,0.345234,0.438306,-0.79202,0.380954
0.0401,0.401215,-0.23766,0.665114,0.818363,-0.357473,0.288633,0.345234,0.428171,-0.844754,0.370327
0.0601,0.401217,-0.23766,0.665112,0.818364,-0.357472,0.288631,0.345235,0.428171,-0.844754,0.370327
0.0801,0.401217,-0.23766,0.665112,0.818364,-0.357472,0.288631,0.345235,0.55533,-0.801567,0.347608
0.1001,0.401214,-0.237662,0.665112,0.818362,-0.357477,0.288629,0.345234,0.387559,-0.777981,0.432089
0.1201,0.401214,-0.237662,0.665112,0.818362,-0.357477,0.288629,0.345234,0.387559,-0.777981,0.432089
0.1401,0.401214,-0.237662,0.665112,0.818362,-0.357477,0.288629,0.345234,0.298189,-0.79556,0.497719
0.1601,0.401212,-0.237661,0.665117,0.818361,-0.357478,0.288635,0.345231,0.298189,-0.79556,0.497719
0.1801,0.401212,-0.237661,0.665117,0.818361,-0.357478,0.288635,0.345231,0.403582,-0.917348,0.414723
0.2001,0.401214,-0.23766,0.665117,0.818362,-0.357473,0.288636,0.345233,0.403582,-0.917348,0.414723
0.2201,0.401214,-0.23766,0.665117,0.818362,-0.357473,0.288636,0.345233,0.430251,-0.780182,0.408298
0.2401,0.401214,-0.23766,0.665117,0.818362,-0.357473,0.288636,0.345233,0.37948,-0.884414,0.389451
0.2601,0.401217,-0.237658,0.665114,0.818363,-0.357473,0.288633,0.345233,0.37948,-0.884414,0.389451
0.2801,0.401217,-0.237658,0.665114,0.818363,-0.357473,0.288633,0.345233,0.456916,-0.810742,0.410258
0.3001,0.401215,-0.23766,0.665113,0.818363,-0.357476,0.288631,0.345231,0.456916,-0.810742,0.410258
0.3201,0.401215,-0.23766,0.665113,0.818363,-0.357476,0.288631,0.345231,0.604883,-0.857813,0.339457
0.3401,0.401215,-0.23766,0.665113,0.818363,-0.357476,0.288631,0.345231,0.33754,-0.769512,0.50975
0.3601,0.401215,-0.237661,0.665114,0.818362,-0.357476,0.288632,0.345234,0.33754,-0.769512,0.50975
0.3801,0.401215,-0.237661,0.665114,0.818362,-0.357476,0.288632,0.345234,0.304367,-0.775393,0.49372
0.4001,0.401215,-0.237661,0.665111,0.818364,-0.357474,0.288629,0.345233,0.304367,-0.775393,0.49372
0.4201,0.401215,-0.237661,0.665111,0.818364,-0.357474,0.288629,0.345233,0.46066,-0.822019,0.443662
0.4401,0.401215,-0.237661,0.665111,0.818364,-0.357474,0.288629,0.345233,0.437461,-0.805427,0.437454
0.4601,0.401214,-0.237663,0.665114,0.818363,-0.357476,0.288631,0.345233,0.437461,-0.805427,0.437454
0.4801,0.401214,-0.237663,0.665114,0.818363,-0.357476,0.288631,0.345233,0.437491,-0.792054,0.403833
0.5001,0.401213,-0.237662,0.665116,0.818361,-0.357479,0.288633,0.345232,0.437491,-0.792054,0.403833
