time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.359791,-0.00634215,0.526927,0.922167,-0.38524,-0.0342717,0.00490816,0.905804,0.310056,0.406756
0.0401,0.359791,-0.00634215,0.526927,0.922167,-0.38524,-0.0342717,0.00490816,0.905804,0.310056,0.406756
0.0601,0.35979,-0.00634695,0.526927,0.922165,-0.385244,-0.0342726,0.00490605,0.903734,0.301295,0.419354
0.0801,0.35979,-0.00634695,0.526927,0.922165,-0.385244,-0.0342726,0.00490605,0.90559,0.301381,0.406801
0.1001,0.35979,-0.00634126,0.526929,0.922167,-0.38524,-0.0342687,0.00490676,0.90559,0.301381,0.406801
0.1201,0.35979,-0.00634126,0.526929,0.922167,-0.38524,-0.0342687,0.00490676,0.898665,0.298583,0.384777
0.1401,0.35979,-0.00634126,0.526929,0.922167,-0.38524,-0.0342687,0.00490676,0.898665,0.298583,0.384777
0.1601,0.359792,-0.00634496,0.526925,0.922165,-0.385245,-0.0342751,0.00490679,0.8881,0.357931,0.399545
0.1801,0.359792,-0.00634496,0.526925,0.922165,-0.385245,-0.0342751,0.00490679,0.8881,0.357931,0.399545
0.2001,0.35979,-0.00634519,0.526928,0.922165,-0.385243,-0.0342708,0.00490468,0.888683,0.292384,0.399728
0.2201,0.35979,-0.00634519,0.526928,0.922165,-0.385243,-0.0342708,0.00490468,0.773198,0.295951,0.440807
0.2401,0.35979,-0.00634519,0.526928,0.922165,-0.385243,-0.0342708,0.00490468,0.773198,0.295951,0.440807
0.2601,0.359791,-0.00634655,0.526929,0.922165,-0.385245,-0.0342706,0.00490609,0.901504,0.305789,0.37275
0.2801,0.359791,-0.00634655,0.526929,0.922165,-0.385245,-0.0342706,0.00490609,0.901504,0.305789,0.37275
0.3001,0.359789,-0.00634193,0.526925,0.922167,-0.38524,-0.034273,0.00490971,0.921092,0.305651,0.3818
0.3201,0.359789,-0.00634193,0.526925,0.922167,-0.38524,-0.034273,0.00490971,0.912404,0.297823,0.403799
0.3401,0.359789,-0.00634193,0.526925,0.922167,-0.38524,-0.034273,0.00490971,0.912404,0.297823,0.403799
0.3601,0.35979,-0.00634431,0.526929,0.922165,-0.385244,-0.0342687,0.00490602,0.91019,0.304971,0.372418
0.3801,0.35979,-0.00634431,0.526929,0.922165,-0.385244,-0.0342687,0.00490602,0.91019,0.304971,0.372418
0.4001,0.359791,-0.00634503,0.526926,0.922165,-0.385243,-0.0342741,0.0049051,0.885516,0.298112,0.380017
0.4201,0.359791,-0.00634503,0.526926,0.922165,-0.385243,-0.0342741,0.0049051,0.90944,0.288547,0.383402
0.4401,0.359791,-0.00634503,0.526926,0.922165,-0.385243,-0.0342741,0.0049051,0.90944,0.288547,0.383402
0.4601,0.35979,-0.0063442,0.526929,0.922165,-0.385245,-0.0342692,0.00490551,0.920369,0.287702,0.377006
0.4801,0.35979,-0.0063442,0.526929,0.922165,-0.385245,-0.0342692,0.00490551,0.920369,0.287702,0.377006
0.5001,0.35979,-0.0063442,0.526929,0.922165,-0.385245,-0.0342692,0.00490551,0.929552,0.304861,0.395912
0.5201,0.359789,-0.00634252,0.526926,0.922165,-0.385244,-0.0342738,0.00490658,0.929552,0.304861,0.395912
0.5401,0.359789,-0.00634252,0.526926,0.922165,-0.385244,-0.0342738,0.00490658,0.944654,0.302944,0.396295
