time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.258385,-0.005312,0.493787,0.923272,-0.383777,-0.00237986,0.0166707,1.428626,2.89476,2.243812
0.0,0.258355,-0.006656,0.493569,0.922562,-0.385508,-0.0029463,0.0159678,1.029017,3.183642,2.240874
0.01,0.258355,-0.006656,0.493569,0.922562,-0.385508,-0.0029463,0.0159678,0.434955,3.396742,2.179432
0.02,0.258462,-0.008865,0.493397,0.92149,-0.388106,-0.00343361,0.0147761,-0.159107,3.609842,2.11799
0.02,0.258462,-0.008865,0.493397,0.92149,-0.388106,-0.00343361,0.0147761,-0.713633,3.89416,2.03609
0.02,0.258462,-0.008865,0.493397,0.92149,-0.388106,-0.00343361,0.0147761,-1.154338,4.168334,1.989142
0.03,0.258746,-0.011976,0.49323,0.92018,-0.391245,-0.00364194,0.0135034,-1.595042,4.442508,1.942194
0.04,0.258746,-0.011976,0.49323,0.92018,-0.391245,-0.00364194,0.0135034,-1.818448,4.716054,1.922488
0.04,0.259214,-0.016547,0.492966,0.918609,-0.394917,-0.00285421,0.0137812,-2.041854,4.9896,1.902782
0.04,0.259214,-0.016547,0.492966,0.918609,-0.394917,-0.00285421,0.0137812,-2.337652,5.192068,1.876686
0.05,0.259214,-0.016547,0.492966,0.918609,-0.394917,-0.00285421,0.0137812,-2.556872,5.517744,1.826558
0.06,0.259984,-0.022808,0.492736,0.916836,-0.398915,0.000209242,0.0167138,-2.776092,5.84342,1.77643
0.06,0.259984,-0.022808,0.492736,0.916836,-0.398915,0.000209242,0.0167138,-2.897296,5.991458,1.694122
0.06,0.261324,-0.031031,0.492841,0.914929,-0.402923,0.00737319,0.0224254,-3.0185,6.139496,1.611814
0.07,0.261324,-0.031031,0.492841,0.914929,-0.402923,0.00737319,0.0224254,-3.062334,6.217792,1.53806
0.08,0.261324,-0.031031,0.492841,0.914929,-0.402923,0.00737319,0.0224254,-3.051306,6.139254,1.470714
0.08,0.26291,-0.040845,0.493295,0.912916,-0.406599,0.0175112,0.0309023,-3.136662,5.981306,1.303169
0.08,0.26291,-0.040845,0.493295,0.912916,-0.406599,0.0175112,0.0309023,-3.462374,6.054244,1.127218
0.09,0.264887,-0.052505,0.494384,0.910677,-0.4097,0.031183,0.0429021,-3.788086,6.127182,0.951267
0.1,0.264887,-0.052505,0.494384,0.910677,-0.4097,0.031183,0.0429021,-3.995868,6.013374,0.747309
0.1,0.264887,-0.052505,0.494384,0.910677,-0.4097,0.031183,0.0429021,-4.20365,5.899566,0.54335
0.1,0.267133,-0.065292,0.496065,0.908301,-0.411593,0.0474848,0.0576703,-4.407182,5.870194,0.400215
0.11,0.267133,-0.065292,0.496065,0.908301,-0.411593,0.0474848,0.0576703,-4.480648,5.761218,0.223631
0.12,0.269245,-0.078418,0.497831,0.905809,-0.412173,0.0638692,0.0744624,-4.554114,5.652242,0.047048
0.12,0.269245,-0.078418,0.497831,0.905809,-0.412173,0.0638692,0.0744624,-4.743174,5.379458,-0.275796
0.12,0.269245,-0.078418,0.497831,0.905809,-0.412173,0.0638692,0.0744624,-4.932234,5.106674,-0.598639
0.13,0.271412,-0.092173,0.500318,0.902936,-0.411651,0.0811405,0.0930882,-5.256348,4.998404,-0.947392
0.14,0.271412,-0.092173,0.500318,0.902936,-0.411651,0.0811405,0.0930882,-5.546676,4.90639,-1.276202
0.14,0.273766,-0.10571,0.503863,0.899813,-0.40994,0.0984667,0.112202,-5.837004,4.814376,-1.605012
0.14,0.273766,-0.10571,0.503863,0.899813,-0.40994,0.0984667,0.112202,-6.086916,4.766642,-1.797948
0.15,0.273766,-0.10571,0.503863,0.899813,-0.40994,0.0984667,0.112202,-6.336828,4.718908,-1.990884
0.16,0.276034,-0.119302,0.508432,0.896119,-0.407886,0.114883,0.131912,-6.131232,4.597486,-2.19472
0.16,0.276034,-0.119302,0.508432,0.896119,-0.407886,0.114883,0.131912,-5.924256,4.396906,-2.339634
0.16,0.278112,-0.132842,0.513988,0.891754,-0.405957,0.130393,0.151564,-5.71297,4.191636,-2.634514
0.17,0.278112,-0.132842,0.513988,0.891754,-0.405957,0.130393,0.151564,-5.60473,3.980106,-2.865634
0.18,0.278112,-0.132842,0.513988,0.891754,-0.405957,0.130393,0.151564,-5.49649,3.768576,-3.096754
