time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.358555,-0.005092,0.528782,0.922665,-0.384275,-0.031721,0.00407628,-0.03593,-2.374928,-0.533433
0.0,0.358684,-0.002594,0.529549,0.923827,-0.381549,-0.0307419,0.00433457,-0.218282,-2.527566,-0.489589
0.01,0.358684,-0.002594,0.529549,0.923827,-0.381549,-0.0307419,0.00433457,-0.35404,-2.65879,-0.443192
0.02,0.358878,0.000793,0.530426,0.925413,-0.377772,-0.029612,0.00472943,-0.628738,-2.833822,-0.437698
0.02,0.358878,0.000793,0.530426,0.925413,-0.377772,-0.029612,0.00472943,-0.903435,-3.008854,-0.432204
0.02,0.358878,0.000793,0.530426,0.925413,-0.377772,-0.029612,0.00472943,-1.287543,-3.12477,-0.482676
0.03,0.359042,0.005104,0.531225,0.927336,-0.373117,-0.028301,0.00553703,-1.67165,-3.240686,-0.533147
0.04,0.359042,0.005104,0.531225,0.927336,-0.373117,-0.028301,0.00553703,-2.007184,-3.257172,-0.625168
0.04,0.359169,0.010198,0.531901,0.929516,-0.367746,-0.0268409,0.00652102,-2.171774,-3.252754,-0.758662
0.04,0.359169,0.010198,0.531901,0.929516,-0.367746,-0.0268409,0.00652102,-2.336364,-3.248336,-0.892156
0.05,0.359169,0.010198,0.531901,0.929516,-0.367746,-0.0268409,0.00652102,-2.647242,-3.352182,-0.995725
0.06,0.359181,0.015979,0.532456,0.931795,-0.361992,-0.0257772,0.00747827,-2.95812,-3.456028,-1.099294
0.06,0.359181,0.015979,0.532456,0.931795,-0.361992,-0.0257772,0.00747827,-3.363666,-3.52464,-1.181018
0.06,0.359267,0.022883,0.532964,0.934311,-0.355498,-0.0249655,0.00784074,-3.726146,-3.532318,-1.18786
0.07,0.359267,0.022883,0.532964,0.934311,-0.355498,-0.0249655,0.00784074,-4.109144,-3.539666,-1.187024
0.08,0.359267,0.022883,0.532964,0.934311,-0.355498,-0.0249655,0.00784074,-4.388754,-3.406518,-1.149101
0.08,0.359596,0.030209,0.533492,0.936779,-0.34899,-0.0242819,0.00787945,-4.668364,-3.27337,-1.111178
0.08,0.359596,0.030209,0.533492,0.936779,-0.34899,-0.0242819,0.00787945,-4.607052,-3.26862,-1.12667
0.09,0.360298,0.038018,0.534229,0.939214,-0.342431,-0.0236626,0.00759737,-4.54574,-3.26387,-1.142162
0.1,0.360298,0.038018,0.534229,0.939214,-0.342431,-0.0236626,0.00759737,-4.756136,-3.247852,-1.097439
0.1,0.360298,0.038018,0.534229,0.939214,-0.342431,-0.0236626,0.00759737,-4.879224,-3.288942,-1.128972
0.1,0.361177,0.046396,0.534821,0.941589,-0.335859,-0.0237151,0.00678985,-5.002312,-3.330032,-1.160505
0.11,0.361177,0.046396,0.534821,0.941589,-0.335859,-0.0237151,0.00678985,-5.185282,-3.355132,-1.099583
0.12,0.362262,0.055323,0.535228,0.943862,-0.329373,-0.0247421,0.00498589,-5.368252,-3.380232,-1.038662
0.12,0.362262,0.055323,0.535228,0.943862,-0.329373,-0.0247421,0.00498589,-5.516622,-3.302774,-0.966853
0.12,0.362262,0.055323,0.535228,0.943862,-0.329373,-0.0247421,0.00498589,-5.781646,-3.271712,-0.818834
0.13,0.363673,0.064806,0.53544,0.946055,-0.322889,-0.026773,0.00234218,-6.04667,-3.24065,-0.670814
0.14,0.363673,0.064806,0.53544,0.946055,-0.322889,-0.026773,0.00234218,-6.442504,-2.946976,-0.704634
0.14,0.365607,0.074246,0.535187,0.948067,-0.316716,-0.0293394,-0.000288497,-6.838338,-2.653302,-0.738454
0.14,0.365607,0.074246,0.535187,0.948067,-0.316716,-0.0293394,-0.000288497,-6.914284,-2.485664,-0.855069
0.15,0.365607,0.074246,0.535187,0.948067,-0.316716,-0.0293394,-0.000288497,-6.819144,-2.289712,-1.008668
0.16,0.368153,0.082889,0.534968,0.949704,-0.311519,-0.0317424,-0.00333695,-6.81817,-2.244012,-1.008068
0.16,0.368153,0.082889,0.534968,0.949704,-0.311519,-0.0317424,-0.00333695,-6.926474,-2.083686,-0.999768
0.16,0.371738,0.091238,0.534461,0.951149,-0.306815,-0.0336908,-0.00673173,-7.034778,-1.92336,-0.991468
0.17,0.371738,0.091238,0.534461,0.951149,-0.306815,-0.0336908,-0.00673173,-7.391138,-1.70583,-0.973188
0.18,0.371738,0.091238,0.534461,0.951149,-0.306815,-0.0336908,-0.00673173,-7.747498,-1.4883,-0.954908
0.18,0.376107,0.098478,0.533916,0.952292,-0.30297,-0.0352525,-0.0102991,-7.78753,-1.248252,-1.031098
0.18,0.376107,0.098478,0.533916,0.952292,-0.30297,-0.0352525,-0.0102991,-8.022868,-1.251864,-0.865916
0.19,0.376107,0.098478,0.533916,0.952292,-0.30297,-0.0352525,-0.0102991,-8.258206,-1.255476,-0.700733
0.2,0.380819,0.104826,0.532954,0.953226,-0.299566,-0.0382523,-0.012557,-7.984746,-1.144094,-0.814811
0.2,0.380819,0.104826,0.532954,0.953226,-0.299566,-0.0382523,-0.012557,-7.711286,-1.032712,-0.928889
0.2,0.38618,0.109727,0.531624,0.953983,-0.296662,-0.0417829,-0.0127401,-7.984194,-0.800296,-0.811325
0.21,0.38618,0.109727,0.531624,0.953983,-0.296662,-0.0417829,-0.0127401,-7.354026,-0.562973,-1.141361
0.22,0.38618,0.109727,0.531624,0.953983,-0.296662,-0.0417829,-0.0127401,-6.723858,-0.32565,-1.471398
0.22,0.392308,0.113316,0.53007,0.954592,-0.294274,-0.0450057,-0.01145,-6.786922,-0.233467,-1.324294
0.22,0.392308,0.113316,0.53007,0.954592,-0.294274,-0.0450057,-0.01145,-6.849986,-0.141284,-1.17719
0.23,0.398501,0.115568,0.528668,0.954843,-0.293001,-0.0480815,-0.0106742,-6.327638,-0.059058,-1.360256
0.24,0.398501,0.115568,0.528668,0.954843,-0.293001,-0.0480815,-0.0106742,-6.43666,-0.060536,-1.19521
0.24,0.398501,0.115568,0.528668,0.954843,-0.293001,-0.0480815,-0.0106742,-6.139378,0.046962,-0.99985
