time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.323419,-0.00539635,0.471799,0.921133,-0.388237,-0.0193541,0.0203132,0.765873,0.0223879,0.258784
0.0401,0.323419,-0.00539635,0.471799,0.921133,-0.388237,-0.0193541,0.0203132,0.765873,0.0223879,0.258784
0.0601,0.323419,-0.00539825,0.471796,0.921131,-0.38824,-0.0193569,0.0203128,0.761997,0.0354702,0.267194
0.0801,0.323419,-0.00539825,0.471796,0.921131,-0.38824,-0.0193569,0.0203128,0.761997,0.0354702,0.267194
0.1001,0.323419,-0.00540074,0.471798,0.921131,-0.388241,-0.0193572,0.02031,0.737182,0.0373439,0.286971
0.1201,0.323419,-0.00540074,0.471798,0.921131,-0.388241,-0.0193572,0.02031,0.737182,0.0373439,0.286971
0.1401,0.323419,-0.00540074,0.471798,0.921131,-0.388241,-0.0193572,0.02031,0.750834,0.0336007,0.303857
0.1601,0.32342,-0.00539884,0.471799,0.92113,-0.388242,-0.0193531,0.0203112,0.748492,0.0226443,0.249421
0.1801,0.32342,-0.00539884,0.471799,0.92113,-0.388242,-0.0193531,0.0203112,0.748492,0.0226443,0.249421
0.2001,0.323421,-0.00539904,0.471799,0.921131,-0.388241,-0.0193557,0.0203105,0.742097,0.0181316,0.26715
0.2201,0.323421,-0.00539904,0.471799,0.921131,-0.388241,-0.0193557,0.0203105,0.742097,0.0181316,0.26715
0.2401,0.323421,-0.00539904,0.471799,0.921131,-0.388241,-0.0193557,0.0203105,0.803809,0.0218041,0.221525
0.2601,0.323419,-0.00540022,0.4718,0.921131,-0.388241,-0.0193542,0.0203108,0.722157,0.0333715,0.154731
0.2801,0.323419,-0.00540022,0.4718,0.921131,-0.388241,-0.0193542,0.0203108,0.722157,0.0333715,0.154731
0.3001,0.32342,-0.00539935,0.471801,0.92113,-0.388243,-0.0193533,0.0203095,0.82185,0.0344096,0.237083
0.3201,0.32342,-0.00539935,0.471801,0.92113,-0.388243,-0.0193533,0.0203095,0.82185,0.0344096,0.237083
0.3401,0.32342,-0.00539935,0.471801,0.92113,-0.388243,-0.0193533,0.0203095,0.894462,0.0272935,0.241576
0.3601,0.323419,-0.00539631,0.471801,0.921133,-0.388236,-0.0193524,0.0203113,0.719139,0.0875654,0.289125
0.3801,0.323419,-0.00539631,0.471801,0.921133,-0.388236,-0.0193524,0.0203113,0.719139,0.0875654,0.289125
0.4001,0.323421,-0.00539675,0.471797,0.921131,-0.38824,-0.019358,0.0203108,0.755174,0.0223083,0.257641
0.4201,0.323421,-0.00539675,0.471797,0.921131,-0.38824,-0.019358,0.0203108,0.755174,0.0223083,0.257641
0.4401,0.323421,-0.00539675,0.471797,0.921131,-0.38824,-0.019358,0.0203108,0.773407,0.0234737,0.241573
0.4601,0.32342,-0.00540065,0.4718,0.92113,-0.388242,-0.0193542,0.0203096,0.773407,0.0234737,0.241573
0.4801,0.32342,-0.00540065,0.4718,0.92113,-0.388242,-0.0193542,0.0203096,0.761622,0.053395,0.261262
0.5001,0.32342,-0.00539976,0.471798,0.92113,-0.388242,-0.0193563,0.0203108,0.624345,0.0217989,0.301458
0.5201,0.32342,-0.00539976,0.471798,0.92113,-0.388242,-0.0193563,0.0203108,0.624345,0.0217989,0.301458
0.5401,0.32342,-0.00539976,0.471798,0.92113,-0.388242,-0.0193563,0.0203108,0.744152,0.0326008,0.271214
0.5601,0.32342,-0.00539627,0.471798,0.921132,-0.388237,-0.0193557,0.0203137,0.744152,0.0326008,0.271214
