time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.270422,-0.00175318,0.459365,0.924155,-0.380366,0.0354194,0.0021072,1.34866,0.0366387,0.0883812
0.0401,0.270422,-0.00175318,0.459365,0.924155,-0.380366,0.0354194,0.0021072,1.34451,0.0352964,0.0856071
0.0601,0.270421,-0.00175244,0.459366,0.924155,-0.380365,0.0354215,0.00210599,1.34451,0.0352964,0.0856071
0.0801,0.270421,-0.00175244,0.459366,0.924155,-0.380365,0.0354215,0.00210599,1.3282,0.0531426,0.0893486
0.1001,0.270421,-0.00175152,0.459365,0.924156,-0.380364,0.0354186,0.00210674,1.31863,0.0490292,0.0752032
0.1201,0.270421,-0.00175152,0.459365,0.924156,-0.380364,0.0354186,0.00210674,1.31863,0.0490292,0.0752032
0.1401,0.270421,-0.00175152,0.459365,0.924156,-0.380364,0.0354186,0.00210674,1.36884,0.0401125,0.0798819
0.1601,0.27042,-0.00175262,0.459364,0.924156,-0.380364,0.0354185,0.00210699,1.36884,0.0401125,0.0798819
0.1801,0.27042,-0.00175262,0.459364,0.924156,-0.380364,0.0354185,0.00210699,1.20763,0.0563137,0.13916
0.2001,0.27042,-0.00175474,0.459367,0.924153,-0.38037,0.0354224,0.00210246,1.20763,0.0563137,0.13916
0.2201,0.27042,-0.00175474,0.459367,0.924153,-0.38037,0.0354224,0.00210246,1.4199,0.0503966,0.0925226
0.2401,0.27042,-0.00175474,0.459367,0.924153,-0.38037,0.0354224,0.00210246,1.3586,0.0404276,0.0842495
0.2601,0.27042,-0.00175266,0.459369,0.924154,-0.380368,0.035425,0.00210562,1.3586,0.0404276,0.0842495
0.2801,0.27042,-0.00175266,0.459369,0.924154,-0.380368,0.035425,0.00210562,1.37666,0.0329761,0.0839032
0.3001,0.27042,-0.0017532,0.459369,0.924155,-0.380366,0.0354249,0.00210539,1.37666,0.0329761,0.0839032
0.3201,0.27042,-0.0017532,0.459369,0.924155,-0.380366,0.0354249,0.00210539,1.38401,0.0249906,0.0615597
0.3401,0.27042,-0.0017532,0.459369,0.924155,-0.380366,0.0354249,0.00210539,1.33039,0.0246767,0.0815333
0.3601,0.270419,-0.0017532,0.459371,0.924155,-0.380366,0.0354284,0.00210119,1.33039,0.0246767,0.0815333
