time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.249975,0.00143993,0.457646,0.917908,-0.395684,-0.0281025,0.00944195,1.54872,-0.0393136,0.354868
0.0401,0.249975,0.00143993,0.457646,0.917908,-0.395684,-0.0281025,0.00944195,1.54307,0.0182099,0.354866
0.0601,0.249975,0.0014423,0.457645,0.917908,-0.395684,-0.028103,0.00944089,1.53795,-0.0438455,0.326135
0.0801,0.249975,0.0014423,0.457645,0.917908,-0.395684,-0.028103,0.00944089,1.53795,-0.0438455,0.326135
0.1001,0.249976,0.00144114,0.457646,0.91791,-0.395681,-0.0281024,0.00944128,1.54213,-0.0320408,0.334589
0.1201,0.249976,0.00144114,0.457646,0.91791,-0.395681,-0.0281024,0.00944128,1.54213,-0.0320408,0.334589
0.1401,0.249976,0.00144114,0.457646,0.91791,-0.395681,-0.0281024,0.00944128,1.55363,-0.0315291,0.328687
0.1601,0.249974,0.00144211,0.457646,0.91791,-0.395679,-0.0281009,0.00944227,1.4603,-0.0398841,0.317535
0.1801,0.249974,0.00144211,0.457646,0.91791,-0.395679,-0.0281009,0.00944227,1.4603,-0.0398841,0.317535
0.2001,0.249974,0.00144211,0.457646,0.91791,-0.395679,-0.0281009,0.00944227,1.57931,-0.00378493,0.280239
0.2201,0.249975,0.00144248,0.457646,0.917909,-0.395681,-0.0281014,0.00944064,1.57931,-0.00378493,0.280239
0.2401,0.249975,0.00144248,0.457646,0.917909,-0.395681,-0.0281014,0.00944064,1.53338,-0.0328388,0.306923
0.2601,0.249975,0.00144048,0.457647,0.917908,-0.395683,-0.0281007,0.00944111,1.53338,-0.0328388,0.306923
0.2801,0.249975,0.00144048,0.457647,0.917908,-0.395683,-0.0281007,0.00944111,1.52037,-0.032118,0.322695
0.3001,0.249975,0.00144048,0.457647,0.917908,-0.395683,-0.0281007,0.00944111,1.53983,-0.0432925,0.330568
0.3201,0.249975,0.00144045,0.457644,0.917908,-0.395684,-0.0281039,0.00944125,1.53983,-0.0432925,0.330568
0.3401,0.249975,0.00144045,0.457644,0.917908,-0.395684,-0.0281039,0.00944125,1.53283,-0.0426319,0.314442
0.3601,0.249976,0.00144175,0.457644,0.917908,-0.395684,-0.0281042,0.00944346,1.53283,-0.0426319,0.314442
0.3801,0.249976,0.00144175,0.457644,0.917908,-0.395684,-0.0281042,0.00944346,1.53618,-0.0023451,0.305015
0.4001,0.249976,0.00144175,0.457644,0.917908,-0.395684,-0.0281042,0.00944346,1.5325,-0.0398621,0.34899
0.4201,0.249975,0.00144191,0.457646,0.917909,-0.395681,-0.0281027,0.00944251,1.5325,-0.0398621,0.34899
0.4401,0.249975,0.00144191,0.457646,0.917909,-0.395681,-0.0281027,0.00944251,1.54347,-0.0472346,0.326125
0.4601,0.249975,0.00143985,0.457645,0.917907,-0.395686,-0.0281037,0.00944335,1.54347,-0.0472346,0.326125
0.4801,0.249975,0.00143985,0.457645,0.917907,-0.395686,-0.0281037,0.00944335,1.51538,-0.0466231,0.320196
0.5001,0.249975,0.00143985,0.457645,0.917907,-0.395686,-0.0281037,0.00944335,1.52623,0.00781189,0.330477
0.5201,0.249976,0.00144183,0.457646,0.917909,-0.395682,-0.028101,0.0094424,1.52623,0.00781189,0.330477
0.5401,0.249976,0.00144183,0.457646,0.917909,-0.395682,-0.028101,0.0094424,1.5616,-0.0207961,0.31789
0.5601,0.249975,0.00143942,0.457644,0.917908,-0.395685,-0.0281044,0.00944121,1.5616,-0.0207961,0.31789
0.5801,0.249975,0.00143942,0.457644,0.917908,-0.395685,-0.0281044,0.00944121,1.56375,-0.0328988,0.305516
0.6001,0.249975,0.00143942,0.457644,0.917908,-0.395685,-0.0281044,0.00944121,1.56375,-0.0328988,0.305516
0.6201,0.249975,0.00144058,0.457644,0.917908,-0.395683,-0.0281041,0.00944176,1.71916,-0.00829281,0.283318
0.6401,0.249975,0.00144058,0.457644,0.917908,-0.395683,-0.0281041,0.00944176,1.5308,-0.047349,0.337101
0.6601,0.249975,0.00144064,0.457647,0.917907,-0.395686,-0.028101,0.00944104,1.5308,-0.047349,0.337101
0.6801,0.249975,0.00144064,0.457647,0.917907,-0.395686,-0.028101,0.00944104,1.54916,-0.0506278,0.347876
0.7001,0.249975,0.00144064,0.457647,0.917907,-0.395686,-0.028101,0.00944104,1.54916,-0.0506278,0.347876
0.7201,0.249976,0.00144044,0.457646,0.917907,-0.395686,-0.0281024,0.00944135,1.57381,-0.0147219,0.400096
0.7401,0.249976,0.00144044,0.457646,0.917907,-0.395686,-0.0281024,0.00944135,1.55408,-0.00930715,0.316183
0.7601,0.249975,0.00144071,0.457644,0.917908,-0.395683,-0.0281042,0.00944162,1.55408,-0.00930715,0.316183
0.7801,0.249975,0.00144071,0.457644,0.917908,-0.395683,-0.0281042,0.00944162,1.56194,-0.00194089,0.310391
0.8001,0.249975,0.00144071,0.457644,0.917908,-0.395683,-0.0281042,0.00944162,1.56194,-0.00194089,0.310391
