time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.353222,-0.0226538,0.605015,0.911837,-0.410357,0.0094532,-0.00842469,0.712238,0.0283986,0.803141
0.0401,0.353222,-0.0226538,0.605015,0.911837,-0.410357,0.0094532,-0.00842469,0.724686,0.0272336,0.768214
0.0601,0.353223,-0.0226541,0.605011,0.911837,-0.410357,0.00944906,-0.00842005,0.698918,0.0361913,0.782874
0.0801,0.353223,-0.0226541,0.605011,0.911837,-0.410357,0.00944906,-0.00842005,0.698918,0.0361913,0.782874
0.1001,0.353222,-0.0226554,0.605013,0.911836,-0.410359,0.00945064,-0.00842585,0.709902,-0.0265502,0.786449
0.1201,0.353222,-0.0226554,0.605013,0.911836,-0.410359,0.00945064,-0.00842585,0.709902,-0.0265502,0.786449
0.1401,0.353222,-0.0226554,0.605013,0.911836,-0.410359,0.00945064,-0.00842585,0.721528,-0.0397366,0.790951
0.1601,0.353221,-0.0226549,0.605017,0.911837,-0.410357,0.00945448,-0.00842387,0.721528,-0.0397366,0.790951
0.1801,0.353221,-0.0226549,0.605017,0.911837,-0.410357,0.00945448,-0.00842387,0.753507,0.176283,0.747816
0.2001,0.353222,-0.0226532,0.605016,0.911837,-0.410356,0.00945477,-0.00842217,0.683562,0.00974604,0.751069
0.2201,0.353222,-0.0226532,0.605016,0.911837,-0.410356,0.00945477,-0.00842217,0.683562,0.00974604,0.751069
0.2401,0.353222,-0.0226532,0.605016,0.911837,-0.410356,0.00945477,-0.00842217,0.701401,0.0235367,0.751858
0.2601,0.35322,-0.0226554,0.605016,0.911836,-0.41036,0.0094547,-0.00842396,0.701401,0.0235367,0.751858
0.2801,0.35322,-0.0226554,0.605016,0.911836,-0.41036,0.0094547,-0.00842396,0.70221,0.0365576,0.765814
0.3001,0.353222,-0.022657,0.605014,0.911835,-0.410361,0.00945188,-0.00842536,0.708031,0.04548,0.791795
0.3201,0.353222,-0.022657,0.605014,0.911835,-0.410361,0.00945188,-0.00842536,0.708031,0.04548,0.791795
0.3401,0.353222,-0.022657,0.605014,0.911835,-0.410361,0.00945188,-0.00842536,0.71548,0.0397551,0.688348
0.3601,0.353222,-0.0226529,0.605016,0.911837,-0.410357,0.00945407,-0.0084236,0.71548,0.0397551,0.688348
0.3801,0.353222,-0.0226529,0.605016,0.911837,-0.410357,0.00945407,-0.0084236,0.706101,0.0686,0.779519
0.4001,0.353222,-0.0226568,0.605015,0.911836,-0.410359,0.00945281,-0.00842435,0.697884,0.0356202,0.773577
0.4201,0.353222,-0.0226568,0.605015,0.911836,-0.410359,0.00945281,-0.00842435,0.697884,0.0356202,0.773577
0.4401,0.353222,-0.0226568,0.605015,0.911836,-0.410359,0.00945281,-0.00842435,0.865598,0.0135453,0.72369
0.4601,0.353221,-0.0226568,0.605017,0.911836,-0.410359,0.00945541,-0.00842519,0.865598,0.0135453,0.72369
0.4801,0.353221,-0.0226568,0.605017,0.911836,-0.410359,0.00945541,-0.00842519,0.69468,0.113015,0.769705
0.5001,0.353222,-0.0226545,0.605016,0.911837,-0.410356,0.00945448,-0.00842456,0.69468,0.113015,0.769705
0.5201,0.353222,-0.0226545,0.605016,0.911837,-0.410356,0.00945448,-0.00842456,0.708802,0.0140019,0.771251
0.5401,0.353222,-0.0226545,0.605016,0.911837,-0.410356,0.00945448,-0.00842456,0.717295,0.0254988,0.775815
0.5601,0.353222,-0.0226516,0.605017,0.911839,-0.410353,0.00945745,-0.00842162,0.717295,0.0254988,0.775815
0.5801,0.353222,-0.0226516,0.605017,0.911839,-0.410353,0.00945745,-0.00842162,0.690391,0.0383856,0.782369
0.6001,0.353222,-0.0226516,0.605017,0.911839,-0.410353,0.00945745,-0.00842162,0.690391,0.0383856,0.782369
0.6201,0.353222,-0.0226552,0.605015,0.911836,-0.41036,0.00945341,-0.00842415,0.695672,0.0377649,0.776692
0.6401,0.353222,-0.0226552,0.605015,0.911836,-0.41036,0.00945341,-0.00842415,0.687266,0.0683833,0.773171
0.6601,0.353222,-0.0226554,0.605013,0.911836,-0.41036,0.00944876,-0.0084249,0.687266,0.0683833,0.773171
0.6801,0.353222,-0.0226554,0.605013,0.911836,-0.41036,0.00944876,-0.0084249,0.869022,0.0161932,0.661224
0.7001,0.353222,-0.0226554,0.605013,0.911836,-0.41036,0.00944876,-0.0084249,0.869022,0.0161932,0.661224
0.7201,0.353222,-0.0226539,0.605016,0.911837,-0.410358,0.00945413,-0.00842426,0.659431,0.0492961,0.806091
0.7401,0.353222,-0.0226539,0.605016,0.911837,-0.410358,0.00945413,-0.00842426,0.829866,0.0253627,0.747587
0.7601,0.35322,-0.0226559,0.605015,0.911836,-0.410359,0.00945284,-0.00842569,0.829866,0.0253627,0.747587
0.7801,0.35322,-0.0226559,0.605015,0.911836,-0.410359,0.00945284,-0.00842569,0.656127,0.043227,0.787701
0.8001,0.35322,-0.0226559,0.605015,0.911836,-0.410359,0.00945284,-0.00842569,0.656127,0.043227,0.787701
0.8201,0.353222,-0.0226555,0.605016,0.911837,-0.410358,0.00945435,-0.00842562,0.702705,0.0372041,0.765776
0.8401,0.353222,-0.0226555,0.605016,0.911837,-0.410358,0.00945435,-0.00842562,0.702705,0.0372041,0.765776
0.8601,0.353223,-0.0226537,0.605015,0.911838,-0.410356,0.00945265,-0.00842489,0.818453,0.0331427,0.732716
0.8801,0.353223,-0.0226537,0.605015,0.911838,-0.410356,0.00945265,-0.00842489,0.633677,0.00629622,0.752697
0.9001,0.353223,-0.0226537,0.605015,0.911838,-0.410356,0.00945265,-0.00842489,0.633677,0.00629622,0.752697
0.9201,0.353223,-0.0226539,0.605013,0.911837,-0.410356,0.00945078,-0.00842421,0.651472,0.0329034,0.764666
0.9401,0.353223,-0.0226539,0.605013,0.911837,-0.410356,0.00945078,-0.00842421,0.651472,0.0329034,0.764666
0.9601,0.353221,-0.0226532,0.605016,0.911837,-0.410357,0.00945507,-0.00842345,0.851314,-0.0560016,0.769953
0.9801,0.353221,-0.0226532,0.605016,0.911837,-0.410357,0.00945507,-0.00842345,0.542896,0.0870625,0.763568
1.0001,0.353221,-0.0226532,0.605016,0.911837,-0.410357,0.00945507,-0.00842345,0.542896,0.0870625,0.763568
1.0201,0.353221,-0.0226575,0.605015,0.911835,-0.410361,0.00945269,-0.00842705,0.646656,0.19257,0.736161
1.0401,0.353221,-0.0226575,0.605015,0.911835,-0.410361,0.00945269,-0.00842705,0.646656,0.19257,0.736161
1.0601,0.353222,-0.0226536,0.605016,0.911836,-0.410359,0.00945445,-0.00842498,0.753662,0.0121673,0.731404
1.0801,0.353222,-0.0226536,0.605016,0.911836,-0.410359,0.00945445,-0.00842498,0.646476,0.04192,0.770065
1.1001,0.353222,-0.0226536,0.605016,0.911836,-0.410359,0.00945445,-0.00842498,0.646476,0.04192,0.770065
1.1201,0.353223,-0.022654,0.605012,0.911837,-0.410358,0.00945088,-0.00842115,0.684178,0.0449245,0.806896
1.1401,0.353223,-0.022654,0.605012,0.911837,-0.410358,0.00945088,-0.00842115,0.684178,0.0449245,0.806896
1.1601,0.353222,-0.0226529,0.605012,0.911838,-0.410355,0.00945046,-0.00842213,0.629242,0.0567872,0.778014
1.1801,0.353222,-0.0226529,0.605012,0.911838,-0.410355,0.00945046,-0.00842213,0.629242,0.0567872,0.778014
1.2001,0.353222,-0.0226529,0.605012,0.911838,-0.410355,0.00945046,-0.00842213,0.72046,0.0447506,0.77117
1.2201,0.353221,-0.0226504,0.605013,0.911839,-0.410353,0.00945265,-0.00842111,0.679423,0.0452129,0.783939
1.2401,0.353221,-0.0226504,0.605013,0.911839,-0.410353,0.00945265,-0.00842111,0.679423,0.0452129,0.783939
1.2601,0.353222,-0.0226498,0.605014,0.91184,-0.410351,0.00945331,-0.00842176,0.703399,-0.0184963,0.798023
1.2801,0.353222,-0.0226498,0.605014,0.91184,-0.410351,0.00945331,-0.00842176,0.703399,-0.0184963,0.798023
1.3001,0.353222,-0.0226498,0.605014,0.91184,-0.410351,0.00945331,-0.00842176,0.669298,0.0474495,0.797498
1.3201,0.353221,-0.0226559,0.605016,0.911836,-0.410358,0.00945412,-0.0084262,0.726848,0.0448963,0.771631
1.3401,0.353221,-0.0226559,0.605016,0.911836,-0.410358,0.00945412,-0.0084262,0.726848,0.0448963,0.771631
1.3601,0.353221,-0.0226559,0.605016,0.911836,-0.410358,0.00945412,-0.0084262,0.685125,0.0301869,0.7687
1.3801,0.353222,-0.0226506,0.605015,0.911839,-0.410353,0.00945332,-0.0084233,0.685125,0.0301869,0.7687
1.4001,0.353222,-0.0226506,0.605015,0.911839,-0.410353,0.00945332,-0.0084233,0.714996,0.0396827,0.699027
1.4201,0.353221,-0.0226541,0.605014,0.911837,-0.410357,0.00945324,-0.00842461,0.81723,0.0364803,0.754794
1.4401,0.353221,-0.0226541,0.605014,0.911837,-0.410357,0.00945324,-0.00842461,0.81723,0.0364803,0.754794
1.4601,0.353221,-0.0226541,0.605014,0.911837,-0.410357,0.00945324,-0.00842461,0.596863,0.134328,0.805402
1.4801,0.353222,-0.0226536,0.605015,0.911838,-0.410356,0.00945348,-0.00842273,0.596863,0.134328,0.805402
1.5001,0.353222,-0.0226536,0.605015,0.911838,-0.410356,0.00945348,-0.00842273,0.738695,0.0134782,0.792587
1.5201,0.353222,-0.0226539,0.605015,0.911838,-0.410356,0.00945316,-0.00842343,0.738695,0.0134782,0.792587
1.5401,0.353222,-0.0226539,0.605015,0.911838,-0.410356,0.00945316,-0.00842343,0.705772,0.0359853,0.786379
1.5601,0.353222,-0.0226539,0.605015,0.911838,-0.410356,0.00945316,-0.00842343,0.693321,0.0474144,0.823128
1.5801,0.353222,-0.0226541,0.605017,0.911836,-0.410359,0.00945562,-0.00842486,0.693321,0.0474144,0.823128
1.6001,0.353222,-0.0226541,0.605017,0.911836,-0.410359,0.00945562,-0.00842486,0.703391,0.0368029,0.749189
1.6201,0.353222,-0.0226532,0.605014,0.911838,-0.410354,0.00945246,-0.00842141,0.703391,0.0368029,0.749189
1.6401,0.353222,-0.0226532,0.605014,0.911838,-0.410354,0.00945246,-0.00842141,0.701115,-0.0281647,0.756108
1.6601,0.353222,-0.0226532,0.605014,0.911838,-0.410354,0.00945246,-0.00842141,0.679955,0.0419657,0.758348
1.6801,0.353221,-0.0226546,0.605017,0.911837,-0.410356,0.00945563,-0.00842458,0.679955,0.0419657,0.758348
1.7001,0.353221,-0.0226546,0.605017,0.911837,-0.410356,0.00945563,-0.00842458,0.665748,0.0459293,0.739599
1.7201,0.353223,-0.0226519,0.605014,0.911839,-0.410353,0.00945122,-0.00842442,0.665748,0.0459293,0.739599
1.7401,0.353223,-0.0226519,0.605014,0.911839,-0.410353,0.00945122,-0.00842442,0.640483,0.0327177,0.79293
1.7601,0.353223,-0.0226519,0.605014,0.911839,-0.410353,0.00945122,-0.00842442,0.655623,0.0395634,0.781206
1.7801,0.353221,-0.0226531,0.605017,0.911838,-0.410355,0.00945625,-0.00842333,0.655623,0.0395634,0.781206
1.8001,0.353221,-0.0226531,0.605017,0.911838,-0.410355,0.00945625,-0.00842333,0.662822,0.0304145,0.758873
1.8201,0.353222,-0.0226554,0.605013,0.911837,-0.410357,0.00945203,-0.00842395,0.662822,0.0304145,0.758873
1.8401,0.353222,-0.0226554,0.605013,0.911837,-0.410357,0.00945203,-0.00842395,0.690015,0.0222672,0.850643
1.8601,0.353222,-0.0226554,0.605013,0.911837,-0.410357,0.00945203,-0.00842395,0.690015,0.0222672,0.850643
1.8801,0.35322,-0.0226549,0.605017,0.911837,-0.410356,0.00945567,-0.00842533,0.803752,0.0218631,0.745545
1.9001,0.35322,-0.0226549,0.605017,0.911837,-0.410356,0.00945567,-0.00842533,0.677791,0.0198086,0.828969
1.9201,0.353223,-0.0226546,0.605014,0.911837,-0.410357,0.0094522,-0.0084232,0.677791,0.0198086,0.828969
1.9401,0.353223,-0.0226546,0.605014,0.911837,-0.410357,0.0094522,-0.0084232,0.564067,0.0418851,0.846296
1.9601,0.353223,-0.0226546,0.605014,0.911837,-0.410357,0.0094522,-0.0084232,0.564067,0.0418851,0.846296
1.9801,0.353222,-0.0226493,0.605014,0.911838,-0.410354,0.00945328,-0.00842237,0.863813,0.0432129,0.72219
2.0001,0.353222,-0.0226493,0.605014,0.911838,-0.410354,0.00945328,-0.00842237,0.665169,0.0394209,0.789819
2.0201,0.353223,-0.0226549,0.605015,0.911837,-0.410357,0.00945302,-0.00842462,0.665169,0.0394209,0.789819
2.0401,0.353223,-0.0226549,0.605015,0.911837,-0.410357,0.00945302,-0.00842462,0.690853,0.0527327,0.760363
2.0601,0.353223,-0.0226549,0.605015,0.911837,-0.410357,0.00945302,-0.00842462,0.690853,0.0527327,0.760363
2.0801,0.353222,-0.0226543,0.605016,0.911838,-0.410355,0.00945473,-0.00842328,0.689283,0.079363,0.744721
2.1001,0.353222,-0.0226543,0.605016,0.911838,-0.410355,0.00945473,-0.00842328,0.645641,0.0399066,0.765049
2.1201,0.353222,-0.0226511,0.605013,0.911838,-0.410354,0.0094503,-0.00842251,0.645641,0.0399066,0.765049
2.1401,0.353222,-0.0226511,0.605013,0.911838,-0.410354,0.0094503,-0.00842251,0.827484,-0.000387625,0.755327
2.1601,0.353222,-0.0226511,0.605013,0.911838,-0.410354,0.0094503,-0.00842251,0.827484,-0.000387625,0.755327
2.1801,0.353222,-0.0226551,0.605016,0.911836,-0.41036,0.0094536,-0.00842573,0.679575,0.045195,0.810221
2.2001,0.353222,-0.0226551,0.605016,0.911836,-0.41036,0.0094536,-0.00842573,0.679575,0.045195,0.810221
2.2201,0.353221,-0.0226565,0.605017,0.911835,-0.410361,0.00945512,-0.00842611,0.718454,0.0219207,0.698722
2.2401,0.353221,-0.0226565,0.605017,0.911835,-0.410361,0.00945512,-0.00842611,0.685698,0.0558641,0.778466
2.2601,0.353221,-0.0226565,0.605017,0.911835,-0.410361,0.00945512,-0.00842611,0.685698,0.0558641,0.778466
2.2801,0.353222,-0.0226549,0.605019,0.911837,-0.410357,0.00945708,-0.00842578,0.650832,0.0316309,0.776687
2.3001,0.353222,-0.0226549,0.605019,0.911837,-0.410357,0.00945708,-0.00842578,0.650832,0.0316309,0.776687
2.3201,0.353222,-0.0226549,0.605019,0.911837,-0.410357,0.00945708,-0.00842578,0.664641,0.0446355,0.76367
2.3401,0.353222,-0.0226557,0.605014,0.911835,-0.410361,0.00945037,-0.00842534,0.485869,0.0444737,0.866857
2.3601,0.353222,-0.0226557,0.605014,0.911835,-0.410361,0.00945037,-0.00842534,0.485869,0.0444737,0.866857
2.3801,0.353222,-0.0226554,0.605017,0.911838,-0.410355,0.00945613,-0.00842487,0.830113,0.0355332,0.698671
2.4001,0.353222,-0.0226554,0.605017,0.911838,-0.410355,0.00945613,-0.00842487,0.830113,0.0355332,0.698671
2.4201,0.353222,-0.0226554,0.605017,0.911838,-0.410355,0.00945613,-0.00842487,0.655943,0.0307483,0.734262
2.4401,0.353221,-0.0226548,0.605014,0.911837,-0.410357,0.00945312,-0.00842343,0.691035,0.0498754,0.715118
2.4601,0.353221,-0.0226548,0.605014,0.911837,-0.410357,0.00945312,-0.00842343,0.691035,0.0498754,0.715118
2.4801,0.353222,-0.022656,0.605012,0.911836,-0.410359,0.00944977,-0.00842442,0.696609,0.057405,0.692244
2.5001,0.353222,-0.022656,0.605012,0.911836,-0.410359,0.00944977,-0.00842442,0.696609,0.057405,0.692244
2.5201,0.353222,-0.022656,0.605012,0.911836,-0.410359,0.00944977,-0.00842442,0.675412,0.0562831,0.789566
2.5401,0.353222,-0.0226558,0.605014,0.911836,-0.410359,0.00945138,-0.00842425,0.675412,0.0562831,0.789566
2.5601,0.353222,-0.0226558,0.605014,0.911836,-0.410359,0.00945138,-0.00842425,0.678599,0.0394281,0.832707
2.5801,0.353223,-0.0226555,0.605013,0.911837,-0.410356,0.00944993,-0.00842299,0.664723,0.040241,0.721875
2.6001,0.353223,-0.0226555,0.605013,0.911837,-0.410356,0.00944993,-0.00842299,0.664723,0.040241,0.721875
2.6201,0.353223,-0.0226555,0.605013,0.911837,-0.410356,0.00944993,-0.00842299,0.700595,0.0535981,0.738056
2.6401,0.353221,-0.0226539,0.605017,0.911838,-0.410356,0.00945586,-0.00842555,0.700595,0.0535981,0.738056
2.6601,0.353221,-0.0226539,0.605017,0.911838,-0.410356,0.00945586,-0.00842555,0.66673,0.0649564,0.785819
2.6801,0.353223,-0.0226579,0.605013,0.911836,-0.41036,0.00944943,-0.00842386,0.660291,0.0445902,0.761476
2.7001,0.353223,-0.0226579,0.605013,0.911836,-0.41036,0.00944943,-0.00842386,0.660291,0.0445902,0.761476
2.7201,0.353223,-0.0226579,0.605013,0.911836,-0.41036,0.00944943,-0.00842386,0.67188,0.0386917,0.688573
2.7401,0.353221,-0.0226572,0.605016,0.911836,-0.410359,0.0094538,-0.0084269,0.67188,0.0386917,0.688573
2.7601,0.353221,-0.0226572,0.605016,0.911836,-0.410359,0.0094538,-0.0084269,0.68962,0.0172752,0.785594
2.7801,0.353223,-0.0226556,0.605013,0.911836,-0.410358,0.00944989,-0.00842329,0.830805,0.0380641,0.754414
2.8001,0.353223,-0.0226556,0.605013,0.911836,-0.410358,0.00944989,-0.00842329,0.830805,0.0380641,0.754414
2.8201,0.353223,-0.0226556,0.605013,0.911836,-0.410358,0.00944989,-0.00842329,0.74564,0.0539633,0.758077
2.8401,0.353223,-0.0226551,0.605013,0.911836,-0.410359,0.0094505,-0.00842504,0.74564,0.0539633,0.758077
2.8601,0.353223,-0.0226551,0.605013,0.911836,-0.410359,0.0094505,-0.00842504,0.667635,0.0386125,0.7737
2.8801,0.353222,-0.022653,0.605017,0.911837,-0.410357,0.00945423,-0.00842387,0.667635,0.0386125,0.7737
2.9001,0.353222,-0.022653,0.605017,0.911837,-0.410357,0.00945423,-0.00842387,0.662261,0.0314797,0.764956
2.9201,0.353222,-0.022653,0.605017,0.911837,-0.410357,0.00945423,-0.00842387,0.883016,0.0652021,0.708929
2.9401,0.353194,-0.0226753,0.605056,0.911826,-0.410379,0.00950226,-0.00845236,0.883016,0.0652021,0.708929
2.9601,0.353194,-0.0226753,0.605056,0.911826,-0.410379,0.00950226,-0.00845236,2.30403,0.333445,0.389871
2.9801,0.352858,-0.0227849,0.605453,0.911773,-0.41048,0.00999455,-0.00873073,2.30403,0.333445,0.389871
3.0001,0.352858,-0.0227849,0.605453,0.911773,-0.41048,0.00999455,-0.00873073,3.68926,0.328543,0.525784
3.0201,0.352858,-0.0227849,0.605453,0.911773,-0.41048,0.00999455,-0.00873073,4.4109,0.619876,1.3529
3.0401,0.352191,-0.0231145,0.60622,0.911598,-0.410832,0.0109611,-0.00926705,4.4109,0.619876,1.3529
3.0601,0.352191,-0.0231145,0.60622,0.911598,-0.410832,0.0109611,-0.00926705,3.38741,0.95907,1.30106
3.0801,0.351553,-0.0235613,0.607039,0.911371,-0.411293,0.0119732,-0.00987971,3.38741,0.95907,1.30106
