time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.2604,-0.000505879,0.435862,0.930619,-0.36574,0.00741211,0.0113346,1.13054,-0.300629,-0.0455795
0.0401,0.2604,-0.000505879,0.435862,0.930619,-0.36574,0.00741211,0.0113346,1.16715,-0.305062,-0.0613357
0.0601,0.260401,-0.000504964,0.435864,0.930619,-0.365738,0.00741374,0.0113347,1.0756,-0.303173,-0.0450012
0.0801,0.260401,-0.000504964,0.435864,0.930619,-0.365738,0.00741374,0.0113347,1.0756,-0.303173,-0.0450012
0.1001,0.2604,-0.000506598,0.435864,0.930618,-0.365741,0.00741242,0.0113354,1.06598,-0.300518,-0.0160249
0.1201,0.2604,-0.000506598,0.435864,0.930618,-0.365741,0.00741242,0.0113354,1.06598,-0.300518,-0.0160249
0.1401,0.2604,-0.000506598,0.435864,0.930618,-0.365741,0.00741242,0.0113354,1.19959,-0.288524,-0.0728957
0.1601,0.2604,-0.000505696,0.435862,0.930618,-0.36574,0.00741079,0.0113362,1.16848,-0.265724,-0.0673508
0.1801,0.2604,-0.000505696,0.435862,0.930618,-0.36574,0.00741079,0.0113362,1.16848,-0.265724,-0.0673508
0.2001,0.2604,-0.000504223,0.435865,0.93062,-0.365736,0.00741479,0.0113368,1.13073,-0.307818,-0.0700528
0.2201,0.2604,-0.000504223,0.435865,0.93062,-0.365736,0.00741479,0.0113368,1.13073,-0.307818,-0.0700528
0.2401,0.2604,-0.000504223,0.435865,0.93062,-0.365736,0.00741479,0.0113368,1.13933,-0.309396,-0.0590618
0.2601,0.2604,-0.000504585,0.435865,0.93062,-0.365737,0.00741399,0.0113336,1.13933,-0.309396,-0.0590618
0.2801,0.2604,-0.000504585,0.435865,0.93062,-0.365737,0.00741399,0.0113336,1.10219,-0.31023,-0.0559992
0.3001,0.260401,-0.000505698,0.435864,0.930619,-0.365738,0.00741354,0.0113352,1.18954,-0.313464,-0.0490677
0.3201,0.260401,-0.000505698,0.435864,0.930619,-0.365738,0.00741354,0.0113352,1.18954,-0.313464,-0.0490677
0.3401,0.260401,-0.000505698,0.435864,0.930619,-0.365738,0.00741354,0.0113352,1.12159,-0.306577,-0.0396832
0.3601,0.260401,-0.000505802,0.435863,0.930618,-0.365742,0.00741277,0.0113355,1.12159,-0.306577,-0.0396832
0.3801,0.260401,-0.000505802,0.435863,0.930618,-0.365742,0.00741277,0.0113355,1.17896,-0.324606,-0.0649728
0.4001,0.260401,-0.000506177,0.435864,0.93062,-0.365737,0.00741414,0.011334,1.20598,-0.298343,-0.0722398
0.4201,0.260401,-0.000506177,0.435864,0.93062,-0.365737,0.00741414,0.011334,1.20598,-0.298343,-0.0722398
0.4402,0.260401,-0.000506177,0.435864,0.93062,-0.365737,0.00741414,0.011334,1.18661,-0.297299,-0.0666129
0.4601,0.260401,-0.000505687,0.435863,0.930619,-0.365738,0.00741051,0.011336,1.18661,-0.297299,-0.0666129
0.4801,0.260401,-0.000505687,0.435863,0.930619,-0.365738,0.00741051,0.011336,1.17311,-0.303548,-0.0689278
0.5001,0.2604,-0.000506525,0.435863,0.930617,-0.365743,0.00741175,0.0113318,0.996279,-0.305689,-0.0295815
0.5201,0.2604,-0.000506525,0.435863,0.930617,-0.365743,0.00741175,0.0113318,0.996279,-0.305689,-0.0295815
0.5401,0.2604,-0.000506525,0.435863,0.930617,-0.365743,0.00741175,0.0113318,1.24928,-0.327317,-0.112547
0.5601,0.2604,-0.000506794,0.435864,0.930617,-0.365743,0.00741259,0.0113334,1.24928,-0.327317,-0.112547
0.5801,0.2604,-0.000506794,0.435864,0.930617,-0.365743,0.00741259,0.0113334,1.18007,-0.311233,-0.080416
0.6001,0.2604,-0.000505549,0.435866,0.930618,-0.365741,0.00741479,0.0113333,1.18007,-0.311233,-0.080416
0.6201,0.2604,-0.000505549,0.435866,0.930618,-0.365741,0.00741479,0.0113333,1.19582,-0.316605,-0.0729322
0.6401,0.2604,-0.000505549,0.435866,0.930618,-0.365741,0.00741479,0.0113333,1.18604,-0.318468,-0.0810352
0.6601,0.2604,-0.000504047,0.435866,0.930619,-0.36574,0.00741441,0.011333,1.18604,-0.318468,-0.0810352
0.6801,0.2604,-0.000504047,0.435866,0.930619,-0.36574,0.00741441,0.011333,1.17527,-0.320065,-0.0745322
0.7001,0.2604,-0.000504047,0.435866,0.930619,-0.36574,0.00741441,0.011333,1.17527,-0.320065,-0.0745322
0.7201,0.2604,-0.000506803,0.435863,0.930617,-0.365744,0.00741068,0.0113334,1.13629,-0.304132,-0.0636677
0.7401,0.2604,-0.000506803,0.435863,0.930617,-0.365744,0.00741068,0.0113334,1.10016,-0.310465,-0.0809501
0.7601,0.2604,-0.000505158,0.435863,0.930619,-0.365739,0.00741295,0.0113313,1.10016,-0.310465,-0.0809501
