time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.263704,-0.0063333,0.485498,0.91962,-0.392564,-0.000230256,-0.0138811,0.603225,0.341787,0.221565
0.0401,0.263704,-0.0063333,0.485498,0.91962,-0.392564,-0.000230256,-0.0138811,0.611002,0.311991,0.211043
0.0601,0.263704,-0.00633445,0.485499,0.91962,-0.392563,-0.000228282,-0.013884,0.611002,0.311991,0.211043
0.0801,0.263704,-0.00633445,0.485499,0.91962,-0.392563,-0.000228282,-0.013884,0.593834,0.290818,0.207551
0.1001,0.263703,-0.00633414,0.485497,0.919621,-0.392561,-0.000230106,-0.0138815,0.593834,0.290818,0.207551
0.1201,0.263703,-0.00633414,0.485497,0.919621,-0.392561,-0.000230106,-0.0138815,0.586795,0.306063,0.207613
0.1401,0.263703,-0.00633414,0.485497,0.919621,-0.392561,-0.000230106,-0.0138815,0.566468,0.337569,0.189058
0.1601,0.263704,-0.00633505,0.4855,0.919621,-0.392562,-0.000228288,-0.0138831,0.566468,0.337569,0.189058
0.1801,0.263704,-0.00633505,0.4855,0.919621,-0.392562,-0.000228288,-0.0138831,0.595508,0.347279,0.200442
0.2001,0.263703,-0.00633268,0.4855,0.919622,-0.392558,-0.00022516,-0.0138823,0.595508,0.347279,0.200442
0.2201,0.263703,-0.00633268,0.4855,0.919622,-0.392558,-0.00022516,-0.0138823,0.594869,0.335485,0.214054
0.2401,0.263703,-0.00633268,0.4855,0.919622,-0.392558,-0.00022516,-0.0138823,0.604898,0.350146,0.201791
0.2601,0.263703,-0.00633366,0.485503,0.919621,-0.39256,-0.000223249,-0.0138835,0.604898,0.350146,0.201791
0.2801,0.263703,-0.00633366,0.485503,0.919621,-0.39256,-0.000223249,-0.0138835,0.614922,0.319179,0.222196
0.3001,0.263703,-0.00633366,0.485503,0.919621,-0.39256,-0.000223249,-0.0138835,0.614922,0.319179,0.222196
0.3201,0.263703,-0.00633369,0.485502,0.919621,-0.392561,-0.000223377,-0.0138847,0.611362,0.34962,0.213993
0.3401,0.263703,-0.00633369,0.485502,0.919621,-0.392561,-0.000223377,-0.0138847,0.60104,0.34202,0.192614
0.3601,0.263703,-0.00633385,0.485498,0.919621,-0.392561,-0.000228645,-0.0138841,0.60104,0.34202,0.192614
0.3801,0.263703,-0.00633385,0.485498,0.919621,-0.392561,-0.000228645,-0.0138841,0.626608,0.33121,0.201882
0.4001,0.263703,-0.00633385,0.485498,0.919621,-0.392561,-0.000228645,-0.0138841,0.626608,0.33121,0.201882
0.4201,0.263705,-0.00633378,0.485497,0.91962,-0.392564,-0.000232511,-0.0138793,0.630226,0.335068,0.19593
0.4401,0.263705,-0.00633378,0.485497,0.91962,-0.392564,-0.000232511,-0.0138793,0.630226,0.335068,0.19593
0.4601,0.263704,-0.00633277,0.4855,0.91962,-0.392563,-0.000227339,-0.0138814,0.603842,0.337495,0.208962
0.4801,0.263704,-0.00633277,0.4855,0.91962,-0.392563,-0.000227339,-0.0138814,0.59288,0.332839,0.228783
0.5001,0.263704,-0.00633277,0.4855,0.91962,-0.392563,-0.000227339,-0.0138814,0.59288,0.332839,0.228783
0.5201,0.263704,-0.00633366,0.485496,0.919621,-0.392561,-0.000230278,-0.01388,0.585503,0.326865,0.215082
0.5401,0.263704,-0.00633366,0.485496,0.919621,-0.392561,-0.000230278,-0.01388,0.585503,0.326865,0.215082
0.5601,0.263703,-0.00633388,0.485499,0.919622,-0.392559,-0.000227346,-0.0138831,0.587156,0.329378,0.200689
0.5801,0.263703,-0.00633388,0.485499,0.919622,-0.392559,-0.000227346,-0.0138831,0.611689,0.337408,0.198497
0.6001,0.263703,-0.00633388,0.485499,0.919622,-0.392559,-0.000227346,-0.0138831,0.611689,0.337408,0.198497
0.6201,0.263704,-0.00633229,0.485502,0.919621,-0.392561,-0.000223339,-0.0138807,0.646361,0.319209,0.214441
0.6401,0.263704,-0.00633229,0.485502,0.919621,-0.392561,-0.000223339,-0.0138807,0.646361,0.319209,0.214441
0.6601,0.263704,-0.00633496,0.4855,0.919621,-0.392561,-0.000227075,-0.0138839,0.6433,0.319053,0.205331
0.6801,0.263704,-0.00633496,0.4855,0.919621,-0.392561,-0.000227075,-0.0138839,0.611626,0.344354,0.197665
0.7001,0.263704,-0.00633496,0.4855,0.919621,-0.392561,-0.000227075,-0.0138839,0.611626,0.344354,0.197665
0.7201,0.263705,-0.00633583,0.485501,0.919619,-0.392565,-0.000228094,-0.0138861,0.63017,0.345035,0.195205
0.7401,0.263705,-0.00633583,0.485501,0.919619,-0.392565,-0.000228094,-0.0138861,0.63017,0.345035,0.195205
0.7601,0.263703,-0.00633418,0.485497,0.919621,-0.392561,-0.000230521,-0.0138828,0.619544,0.371166,0.207567
0.7801,0.263703,-0.00633418,0.485497,0.919621,-0.392561,-0.000230521,-0.0138828,0.619544,0.371166,0.207567
0.8001,0.263703,-0.00633418,0.485497,0.919621,-0.392561,-0.000230521,-0.0138828,0.6108,0.340039,0.217384
0.8201,0.263703,-0.0063348,0.485499,0.919622,-0.39256,-0.000229091,-0.0138841,0.604229,0.410032,0.20292
0.8401,0.263703,-0.0063348,0.485499,0.919622,-0.39256,-0.000229091,-0.0138841,0.604229,0.410032,0.20292
0.8601,0.263703,-0.00633253,0.485498,0.919622,-0.39256,-0.00023083,-0.0138822,0.567852,0.337135,0.200656
0.8801,0.263703,-0.00633253,0.485498,0.919622,-0.39256,-0.00023083,-0.0138822,0.567852,0.337135,0.200656
0.9001,0.263703,-0.00633253,0.485498,0.919622,-0.39256,-0.00023083,-0.0138822,0.597514,0.335401,0.207708
0.9201,0.263704,-0.00633447,0.4855,0.919621,-0.392562,-0.000228123,-0.0138825,0.617692,0.340025,0.201743
0.9401,0.263704,-0.00633447,0.4855,0.919621,-0.392562,-0.000228123,-0.0138825,0.617692,0.340025,0.201743
0.9601,0.263703,-0.00633489,0.485499,0.91962,-0.392564,-0.000230409,-0.0138847,0.6047,0.335441,0.205373
0.9801,0.263703,-0.00633489,0.485499,0.91962,-0.392564,-0.000230409,-0.0138847,0.6047,0.335441,0.205373
1.0001,0.263703,-0.00633489,0.485499,0.91962,-0.392564,-0.000230409,-0.0138847,0.600773,0.340031,0.188324
1.0201,0.263704,-0.0063343,0.4855,0.919619,-0.392565,-0.000228401,-0.0138834,0.599394,0.344217,0.192473
1.0401,0.263704,-0.0063343,0.4855,0.919619,-0.392565,-0.000228401,-0.0138834,0.599394,0.344217,0.192473
1.0601,0.263704,-0.00633298,0.485498,0.919622,-0.39256,-0.000228448,-0.0138816,0.577388,0.375939,0.191042
