time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.359815,-0.014692,0.411724,0.912907,-0.407725,-0.00299788,-0.0187812,0.851146,1.840509,-5.36371
0.0,0.359782,-0.013628,0.411492,0.913621,-0.406145,-0.00310171,-0.0182375,0.906162,1.96834,-5.544289
0.01,0.359782,-0.013628,0.411492,0.913621,-0.406145,-0.00310171,-0.0182375,0.958835,2.091235,-5.719759
0.02,0.359731,-0.012201,0.411277,0.91449,-0.404215,-0.00313255,-0.0175772,1.007955,2.209284,-5.888958
0.02,0.359731,-0.012201,0.411277,0.91449,-0.404215,-0.00313255,-0.0175772,1.056003,2.319047,-6.050733
0.02,0.359731,-0.012201,0.411277,0.91449,-0.404215,-0.00313255,-0.0175772,1.104226,2.421291,-6.206023
0.03,0.359699,-0.010252,0.411073,0.915585,-0.40176,-0.00312192,-0.016814,1.14939,2.516779,-6.349851
0.04,0.359699,-0.010252,0.411073,0.915585,-0.40176,-0.00312192,-0.016814,1.192526,2.602923,-6.481297
0.04,0.359675,-0.007735,0.410896,0.916962,-0.398644,-0.00306001,-0.0159404,1.234201,2.678589,-6.599251
0.04,0.359675,-0.007735,0.410896,0.916962,-0.398644,-0.00306001,-0.0159404,1.276726,2.7473,-6.702674
0.05,0.359675,-0.007735,0.410896,0.916962,-0.398644,-0.00306001,-0.0159404,1.320101,2.809057,-6.791564
0.06,0.359686,-0.004631,0.410801,0.918602,-0.39489,-0.00289829,-0.0149625,1.363214,2.865653,-6.862303
0.06,0.359686,-0.004631,0.410801,0.918602,-0.39489,-0.00289829,-0.0149625,1.407165,2.918316,-6.917288
0.06,0.359715,-0.001008,0.410785,0.920484,-0.390529,-0.0025083,-0.0137847,1.452746,2.965348,-6.954191
0.07,0.359715,-0.001008,0.410785,0.920484,-0.390529,-0.0025083,-0.0137847,1.500093,3.00666,-6.974101
0.08,0.359715,-0.001008,0.410785,0.920484,-0.390529,-0.0025083,-0.0137847,1.548549,3.041263,-6.976561
0.08,0.359708,0.002985,0.410772,0.922517,-0.385746,-0.00208271,-0.0125542,1.595213,3.069872,-6.960833
0.08,0.359708,0.002985,0.410772,0.922517,-0.385746,-0.00208271,-0.0125542,1.6407,3.092935,-6.928881
0.09,0.359658,0.007462,0.410764,0.924712,-0.380503,-0.00152883,-0.0110639,1.690332,3.109483,-6.883036
0.1,0.359658,0.007462,0.410764,0.924712,-0.380503,-0.00152883,-0.0110639,1.740161,3.122189,-6.823652
0.1,0.359658,0.007462,0.410764,0.924712,-0.380503,-0.00152883,-0.0110639,1.790532,3.132077,-6.750057
0.1,0.35956,0.01226,0.410805,0.92702,-0.374889,-0.000884653,-0.00954725,1.84143,3.136737,-6.665338
