time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.321985,-0.000513558,0.414179,0.911426,-0.410903,0.0135034,-0.016689,1.70041,0.291306,-1.99552
0.0401,0.321985,-0.000513558,0.414179,0.911426,-0.410903,0.0135034,-0.016689,1.64672,0.291453,-1.96454
0.0601,0.321985,-0.000510955,0.414175,0.911427,-0.410902,0.0135014,-0.0166877,1.64672,0.291453,-1.96454
0.0801,0.321985,-0.000510955,0.414175,0.911427,-0.410902,0.0135014,-0.0166877,1.61634,0.286877,-1.96944
0.1001,0.321985,-0.000513813,0.414179,0.911426,-0.410904,0.0135038,-0.0166916,1.61634,0.286877,-1.96944
0.1201,0.321985,-0.000513813,0.414179,0.911426,-0.410904,0.0135038,-0.0166916,1.77798,0.304373,-2.05572
0.1401,0.321985,-0.000513813,0.414179,0.911426,-0.410904,0.0135038,-0.0166916,1.77798,0.304373,-2.05572
0.1601,0.321986,-0.00051425,0.414178,0.911425,-0.410905,0.0135025,-0.0166913,1.64235,0.310342,-1.96667
0.1801,0.321986,-0.00051425,0.414178,0.911425,-0.410905,0.0135025,-0.0166913,1.6087,0.312371,-1.95746
0.2001,0.321985,-0.000513231,0.414179,0.911427,-0.410902,0.0135055,-0.016692,1.6087,0.312371,-1.95746
0.2201,0.321985,-0.000513231,0.414179,0.911427,-0.410902,0.0135055,-0.016692,1.81894,0.31669,-2.04486
0.2401,0.321985,-0.000513231,0.414179,0.911427,-0.410902,0.0135055,-0.016692,1.81894,0.31669,-2.04486
0.2601,0.321985,-0.000509324,0.414179,0.911428,-0.410899,0.0135044,-0.01669,1.65479,0.302295,-1.94508
0.2801,0.321985,-0.000509324,0.414179,0.911428,-0.410899,0.0135044,-0.01669,1.66474,0.315283,-1.94123
0.3001,0.321985,-0.000510103,0.414178,0.911427,-0.4109,0.0135051,-0.0166904,1.66474,0.315283,-1.94123
0.3201,0.321985,-0.000510103,0.414178,0.911427,-0.4109,0.0135051,-0.0166904,1.67689,0.352402,-1.94269
0.3401,0.321985,-0.000510103,0.414178,0.911427,-0.4109,0.0135051,-0.0166904,1.67689,0.352402,-1.94269
0.3601,0.321986,-0.000512319,0.414177,0.911425,-0.410905,0.0135012,-0.0166913,1.67917,0.329314,-1.95995
0.3801,0.321986,-0.000512319,0.414177,0.911425,-0.410905,0.0135012,-0.0166913,1.68244,0.303082,-1.98636
0.4001,0.321984,-0.000512536,0.414175,0.911426,-0.410904,0.0135002,-0.0166925,1.68244,0.303082,-1.98636
0.4200,0.321984,-0.000512536,0.414175,0.911426,-0.410904,0.0135002,-0.0166925,1.69843,0.30355,-1.97647
0.4401,0.321984,-0.000512536,0.414175,0.911426,-0.410904,0.0135002,-0.0166925,1.69843,0.30355,-1.97647
0.4601,0.321985,-0.000511364,0.41418,0.911427,-0.410902,0.0135078,-0.0166927,1.67305,0.279145,-1.98052
0.4801,0.321985,-0.000511364,0.41418,0.911427,-0.410902,0.0135078,-0.0166927,1.67305,0.279145,-1.98052
0.5001,0.321985,-0.000515001,0.414177,0.911423,-0.410909,0.0135021,-0.0166958,1.63008,0.308037,-1.95401
0.5201,0.321985,-0.000515001,0.414177,0.911423,-0.410909,0.0135021,-0.0166958,1.62702,0.318297,-1.95137
0.5401,0.321985,-0.000515001,0.414177,0.911423,-0.410909,0.0135021,-0.0166958,1.62702,0.318297,-1.95137
0.5601,0.321986,-0.00051257,0.414179,0.911426,-0.410903,0.0135059,-0.016693,1.65306,0.293771,-1.9778
0.5801,0.321986,-0.00051257,0.414179,0.911426,-0.410903,0.0135059,-0.016693,1.65306,0.293771,-1.9778
0.6001,0.321986,-0.000509631,0.414179,0.911427,-0.410901,0.013504,-0.0166949,1.63124,0.310729,-1.9547
0.6201,0.321986,-0.000509631,0.414179,0.911427,-0.410901,0.013504,-0.0166949,1.57833,0.301194,-1.90951
0.6401,0.321986,-0.000509631,0.414179,0.911427,-0.410901,0.013504,-0.0166949,1.57833,0.301194,-1.90951
0.6601,0.321986,-0.0005104,0.414179,0.911427,-0.4109,0.0135049,-0.016695,1.68872,0.314251,-1.99347
0.6801,0.321986,-0.0005104,0.414179,0.911427,-0.4109,0.0135049,-0.016695,1.68872,0.314251,-1.99347
0.7001,0.321985,-0.000513782,0.414178,0.911426,-0.410903,0.013504,-0.0166956,1.67118,0.307098,-1.97757
0.7201,0.321985,-0.000513782,0.414178,0.911426,-0.410903,0.013504,-0.0166956,1.66614,0.323925,-1.99075
0.7401,0.321985,-0.000513782,0.414178,0.911426,-0.410903,0.013504,-0.0166956,1.66614,0.323925,-1.99075
0.7601,0.321986,-0.000511851,0.414177,0.911428,-0.410898,0.0135041,-0.016694,1.6758,0.291613,-1.978
0.7801,0.321986,-0.000511851,0.414177,0.911428,-0.410898,0.0135041,-0.016694,1.6758,0.291613,-1.978
0.8001,0.321986,-0.000511851,0.414177,0.911428,-0.410898,0.0135041,-0.016694,1.67343,0.31092,-1.97201
