time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.351394,-0.00295617,0.41339,0.923178,-0.383298,-0.00867692,-0.0273837,-0.481566,-0.0552236,-2.10273
0.0401,0.351394,-0.00295617,0.41339,0.923178,-0.383298,-0.00867692,-0.0273837,-0.481566,-0.0552236,-2.10273
0.0601,0.351394,-0.00295691,0.41339,0.923178,-0.383297,-0.00867676,-0.0273836,-0.513042,-0.0804224,-2.10601
0.0801,0.351394,-0.00295691,0.41339,0.923178,-0.383297,-0.00867676,-0.0273836,-0.513042,-0.0804224,-2.10601
0.1001,0.351394,-0.00295612,0.41339,0.923178,-0.383298,-0.00867649,-0.0273836,-0.536062,-0.11215,-2.10113
0.1201,0.351394,-0.00295612,0.41339,0.923178,-0.383298,-0.00867649,-0.0273836,-0.534016,-0.037521,-2.08828
0.1401,0.351394,-0.00295612,0.41339,0.923178,-0.383298,-0.00867649,-0.0273836,-0.534016,-0.037521,-2.08828
0.1601,0.351394,-0.00295533,0.41339,0.923179,-0.383296,-0.0086751,-0.0273831,-0.50121,-0.0534594,-2.09708
0.1801,0.351394,-0.00295533,0.41339,0.923179,-0.383296,-0.0086751,-0.0273831,-0.50121,-0.0534594,-2.09708
0.2001,0.351394,-0.00295703,0.41339,0.923177,-0.3833,-0.00867632,-0.027384,-0.486933,-0.103998,-2.09688
0.2201,0.351394,-0.00295703,0.41339,0.923177,-0.3833,-0.00867632,-0.027384,-0.501812,-0.11707,-2.11361
0.2401,0.351394,-0.00295703,0.41339,0.923177,-0.3833,-0.00867632,-0.027384,-0.501812,-0.11707,-2.11361
0.2601,0.351395,-0.00295615,0.41339,0.923178,-0.383297,-0.00867655,-0.027384,-0.499014,0.0340204,-2.11435
0.2801,0.351395,-0.00295615,0.41339,0.923178,-0.383297,-0.00867655,-0.027384,-0.499014,0.0340204,-2.11435
0.3001,0.351395,-0.00295281,0.413389,0.923179,-0.383295,-0.00867762,-0.0273819,-0.477239,-0.117623,-2.02893
