time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.352625,0.0046312,0.414222,0.901089,-0.433598,0.00474119,-0.00285996,1.07004,0.310216,-0.722485
0.0401,0.352625,0.0046312,0.414222,0.901089,-0.433598,0.00474119,-0.00285996,1.07004,0.310216,-0.722485
0.0601,0.352626,0.00462937,0.414221,0.901086,-0.433606,0.00473955,-0.00285837,1.05772,0.283045,-0.74627
0.0801,0.352626,0.00462937,0.414221,0.901086,-0.433606,0.00473955,-0.00285837,1.02773,0.30699,-0.697715
0.1001,0.352624,0.00462956,0.41422,0.901085,-0.433607,0.00474073,-0.0028601,1.02773,0.30699,-0.697715
0.1201,0.352624,0.00462956,0.41422,0.901085,-0.433607,0.00474073,-0.0028601,0.996889,0.33651,-0.700474
0.1401,0.352624,0.00462956,0.41422,0.901085,-0.433607,0.00474073,-0.0028601,0.996889,0.33651,-0.700474
0.1601,0.352626,0.00462846,0.414225,0.901082,-0.433613,0.00474648,-0.00286304,1.03242,0.344034,-0.735298
0.1801,0.352626,0.00462846,0.414225,0.901082,-0.433613,0.00474648,-0.00286304,1.03041,0.277754,-0.810403
0.2001,0.352627,0.00463097,0.414222,0.90108,-0.433618,0.00474571,-0.00286067,1.03041,0.277754,-0.810403
0.2201,0.352627,0.00463097,0.414222,0.90108,-0.433618,0.00474571,-0.00286067,1.04743,0.332944,-0.73276
0.2401,0.352627,0.00463097,0.414222,0.90108,-0.433618,0.00474571,-0.00286067,1.04743,0.332944,-0.73276
0.2601,0.352627,0.00463196,0.414224,0.90108,-0.433618,0.00474902,-0.00286214,0.99725,0.395349,-0.78922
0.2801,0.352627,0.00463196,0.414224,0.90108,-0.433618,0.00474902,-0.00286214,1.03907,0.314055,-0.702133
0.3001,0.352625,0.00463431,0.414221,0.90108,-0.433618,0.00474525,-0.00285864,1.03907,0.314055,-0.702133
0.3201,0.352625,0.00463431,0.414221,0.90108,-0.433618,0.00474525,-0.00285864,1.05752,0.317604,-0.713251
0.3401,0.352625,0.00463431,0.414221,0.90108,-0.433618,0.00474525,-0.00285864,1.05752,0.317604,-0.713251
0.3601,0.352627,0.00463118,0.414223,0.901075,-0.433628,0.00474741,-0.00286243,1.08189,0.327577,-0.714568
0.3801,0.352627,0.00463118,0.414223,0.901075,-0.433628,0.00474741,-0.00286243,1.08189,0.327577,-0.714568
0.4001,0.352628,0.00462925,0.414223,0.90107,-0.433638,0.0047466,-0.00286253,1.05364,0.364197,-0.729237
0.4201,0.352628,0.00462925,0.414223,0.90107,-0.433638,0.0047466,-0.00286253,1.04774,0.31119,-0.718672
0.4401,0.352628,0.00462925,0.414223,0.90107,-0.433638,0.0047466,-0.00286253,1.04774,0.31119,-0.718672
0.4601,0.352627,0.00463061,0.41422,0.901067,-0.433644,0.00474538,-0.00286085,1.05173,0.450841,-0.714446
0.4801,0.352627,0.00463061,0.41422,0.901067,-0.433644,0.00474538,-0.00286085,1.05173,0.450841,-0.714446
0.5001,0.352627,0.00463061,0.41422,0.901067,-0.433644,0.00474538,-0.00286085,1.0484,0.393109,-0.706995
0.5201,0.352626,0.00463098,0.414221,0.901066,-0.433647,0.00474846,-0.00286151,1.03958,0.317214,-0.702795
