time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.321885,0.001121,0.413792,0.912552,-0.408433,0.013328,-0.0159457,1.151257,0.838517,-3.148582
0.0,0.321825,0.002715,0.41368,0.913479,-0.406376,0.0134577,-0.0153182,1.143768,0.895462,-3.226538
0.01,0.321825,0.002715,0.41368,0.913479,-0.406376,0.0134577,-0.0153182,1.134972,0.957034,-3.308686
0.02,0.321742,0.004964,0.413553,0.914781,-0.403459,0.013649,-0.0145132,1.128486,1.024557,-3.397085
0.02,0.321742,0.004964,0.413553,0.914781,-0.403459,0.013649,-0.0145132,1.122198,1.096024,-3.491055
0.02,0.321742,0.004964,0.413553,0.914781,-0.403459,0.013649,-0.0145132,1.115379,1.172635,-3.591535
0.03,0.321604,0.007789,0.413375,0.916373,-0.399856,0.0138702,-0.0135168,1.106868,1.255706,-3.697496
0.04,0.321604,0.007789,0.413375,0.916373,-0.399856,0.0138702,-0.0135168,1.096663,1.345237,-3.808938
0.04,0.321426,0.011256,0.413188,0.918286,-0.395471,0.0141743,-0.0123208,1.08813,1.440479,-3.928386
0.04,0.321426,0.011256,0.413188,0.918286,-0.395471,0.0141743,-0.0123208,1.081445,1.542615,-4.055971
0.05,0.321426,0.011256,0.413188,0.918286,-0.395471,0.0141743,-0.0123208,1.078783,1.648821,-4.191587
0.06,0.321193,0.015235,0.412997,0.920421,-0.390506,0.014635,-0.0107834,1.076021,1.756779,-4.332435
0.06,0.321193,0.015235,0.412997,0.920421,-0.390506,0.014635,-0.0107834,1.074098,1.867436,-4.479085
0.06,0.320852,0.019729,0.412731,0.922787,-0.384908,0.0151218,-0.00906997,1.073746,1.98057,-4.63006
0.07,0.320852,0.019729,0.412731,0.922787,-0.384908,0.0151218,-0.00906997,1.075311,2.096221,-4.785699
0.08,0.320852,0.019729,0.412731,0.922787,-0.384908,0.0151218,-0.00906997,1.078649,2.214807,-4.943227
0.08,0.320457,0.024451,0.412442,0.925235,-0.379003,0.0157107,-0.00708483,1.088466,2.332468,-5.099692
0.08,0.320457,0.024451,0.412442,0.925235,-0.379003,0.0157107,-0.00708483,1.107087,2.449026,-5.253389
0.09,0.320457,0.024451,0.412442,0.925235,-0.379003,0.0157107,-0.00708483,1.13203,2.559749,-5.397985
0.1,0.319972,0.029417,0.412161,0.92781,-0.372659,0.0164255,-0.0049404,1.163468,2.665708,-5.534
0.1,0.319972,0.029417,0.412161,0.92781,-0.372659,0.0164255,-0.0049404,1.20211,2.762072,-5.655009
0.1,0.319466,0.034448,0.411962,0.930378,-0.366183,0.0173271,-0.00266114,1.249078,2.846823,-5.759059
0.11,0.319466,0.034448,0.411962,0.930378,-0.366183,0.0173271,-0.00266114,1.304469,2.919465,-5.842626
0.12,0.319466,0.034448,0.411962,0.930378,-0.366183,0.0173271,-0.00266114,1.365929,2.977408,-5.899383
0.12,0.318929,0.039436,0.411805,0.932883,-0.359713,0.0183061,-0.000384685,1.433458,3.020653,-5.92933
0.12,0.318929,0.039436,0.411805,0.932883,-0.359713,0.0183061,-0.000384685,1.506363,3.050499,-5.92764
0.13,0.318341,0.044134,0.411721,0.935223,-0.353526,0.0193271,0.00164977,1.586345,3.067938,-5.895737
0.14,0.318341,0.044134,0.411721,0.935223,-0.353526,0.0193271,0.00164977,1.671481,3.06973,-5.829694
0.14,0.318341,0.044134,0.411721,0.935223,-0.353526,0.0193271,0.00164977,1.76019,3.055634,-5.731495
0.14,0.317758,0.048729,0.411771,0.937515,-0.347322,0.0204981,0.003585,1.854054,3.025538,-5.59961
0.15,0.317758,0.048729,0.411771,0.937515,-0.347322,0.0204981,0.003585,1.952502,2.97854,-5.437146
0.16,0.317231,0.053073,0.412003,0.939637,-0.341437,0.0218004,0.00528247,2.053449,2.916671,-5.245726
0.16,0.317231,0.053073,0.412003,0.939637,-0.341437,0.0218004,0.00528247,2.149772,2.840604,-5.029716
0.16,0.317231,0.053073,0.412003,0.939637,-0.341437,0.0218004,0.00528247,2.238865,2.754873,-4.794029
0.17,0.316772,0.05742,0.412377,0.941698,-0.335591,0.0231723,0.00683534,2.324104,2.661548,-4.542692
0.18,0.316772,0.05742,0.412377,0.941698,-0.335591,0.0231723,0.00683534,2.40613,2.568157,-4.288479
0.18,0.316444,0.06183,0.412861,0.943682,-0.329846,0.0244947,0.00811045,2.484512,2.475489,-4.033183
0.18,0.316444,0.06183,0.412861,0.943682,-0.329846,0.0244947,0.00811045,2.558269,2.386123,-3.787035
