time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.350676,-0.000929,0.411627,0.924425,-0.380314,-0.0104304,-0.02629,-0.492064,1.971253,-5.904251
0.0,0.350605,0.00045,0.411505,0.925179,-0.378508,-0.0104398,-0.0258259,-0.428926,2.073428,-5.97071
0.01,0.350605,0.00045,0.411505,0.925179,-0.378508,-0.0104398,-0.0258259,-0.365798,2.169655,-6.035947
0.02,0.350543,0.002574,0.411411,0.926273,-0.375868,-0.0103726,-0.0251671,-0.306772,2.260218,-6.099849
0.02,0.350543,0.002574,0.411411,0.926273,-0.375868,-0.0103726,-0.0251671,-0.250523,2.346127,-6.163195
0.02,0.350543,0.002574,0.411411,0.926273,-0.375868,-0.0103726,-0.0251671,-0.197197,2.426638,-6.227023
0.03,0.350474,0.005547,0.411365,0.927759,-0.372254,-0.0101558,-0.0242231,-0.1461,2.503948,-6.290613
0.04,0.350474,0.005547,0.411365,0.927759,-0.372254,-0.0101558,-0.0242231,-0.096921,2.578985,-6.356537
0.04,0.350344,0.009151,0.411282,0.929472,-0.368051,-0.00983718,-0.0228758,-0.052551,2.656508,-6.427281
0.04,0.350344,0.009151,0.411282,0.929472,-0.368051,-0.00983718,-0.0228758,-0.011448,2.738735,-6.503579
0.05,0.350344,0.009151,0.411282,0.929472,-0.368051,-0.00983718,-0.0228758,0.026082,2.823308,-6.586714
0.06,0.350148,0.013442,0.411192,0.931512,-0.362962,-0.00952294,-0.0212709,0.062375,2.911427,-6.676625
0.06,0.350148,0.013442,0.411192,0.931512,-0.362962,-0.00952294,-0.0212709,0.099593,3.00421,-6.774685
0.06,0.349877,0.018138,0.411062,0.933705,-0.3574,-0.00908358,-0.019421,0.137991,3.105086,-6.88255
0.07,0.349877,0.018138,0.411062,0.933705,-0.3574,-0.00908358,-0.019421,0.178581,3.214705,-7.001355
0.08,0.349877,0.018138,0.411062,0.933705,-0.3574,-0.00908358,-0.019421,0.222336,3.331799,-7.128003
0.08,0.349486,0.023184,0.410803,0.936029,-0.351386,-0.00869304,-0.0173545,0.268212,3.452666,-7.259915
0.08,0.349486,0.023184,0.410803,0.936029,-0.351386,-0.00869304,-0.0173545,0.314322,3.57789,-7.394923
0.09,0.349058,0.028384,0.410467,0.938389,-0.345152,-0.00828711,-0.0151028,0.366145,3.704045,-7.527653
0.1,0.349058,0.028384,0.410467,0.938389,-0.345152,-0.00828711,-0.0151028,0.423681,3.831129,-7.658103
0.1,0.349058,0.028384,0.410467,0.938389,-0.345152,-0.00828711,-0.0151028,0.486576,3.956078,-7.779949
0.1,0.348609,0.033603,0.410173,0.940721,-0.338849,-0.00779617,-0.0128517,0.554413,4.078319,-7.893796
0.11,0.348609,0.033603,0.410173,0.940721,-0.338849,-0.00779617,-0.0128517,0.625632,4.194257,-7.990925
0.12,0.34812,0.038963,0.40988,0.943085,-0.332306,-0.00725781,-0.0105113,0.698985,4.297212,-8.066897
0.12,0.34812,0.038963,0.40988,0.943085,-0.332306,-0.00725781,-0.0105113,0.777117,4.385357,-8.12059
0.12,0.34812,0.038963,0.40988,0.943085,-0.332306,-0.00725781,-0.0105113,0.861889,4.46009,-8.147296
0.13,0.347581,0.044121,0.409668,0.945332,-0.325935,-0.006613,-0.00830676,0.952241,4.521411,-8.147171
0.14,0.347581,0.044121,0.409668,0.945332,-0.325935,-0.006613,-0.00830676,1.045045,4.565773,-8.1166
0.14,0.346988,0.0494,0.409657,0.947595,-0.319363,-0.0057056,-0.00620796,1.135657,4.590962,-8.053968
0.14,0.346988,0.0494,0.409657,0.947595,-0.319363,-0.0057056,-0.00620796,1.223995,4.595774,-7.957066
0.15,0.346988,0.0494,0.409657,0.947595,-0.319363,-0.0057056,-0.00620796,1.311442,4.580123,-7.828179
0.16,0.346558,0.054512,0.409963,0.949706,-0.313082,-0.00450276,-0.00431303,1.398851,4.545965,-7.668917
0.16,0.346558,0.054512,0.409963,0.949706,-0.313082,-0.00450276,-0.00431303,1.487989,4.491593,-7.48424
0.16,0.346268,0.059742,0.410415,0.951764,-0.306805,-0.00309872,-0.00255637,1.574146,4.423233,-7.282407
0.17,0.346268,0.059742,0.410415,0.951764,-0.306805,-0.00309872,-0.00255637,1.667778,4.343995,-7.071644
0.18,0.346268,0.059742,0.410415,0.951764,-0.306805,-0.00309872,-0.00255637,1.76443,4.259258,-6.861918
0.18,0.346122,0.064863,0.410753,0.953576,-0.301146,-0.00172194,-0.000795962,1.864102,4.169021,-6.653227
0.18,0.346122,0.064863,0.410753,0.953576,-0.301146,-0.00172194,-0.000795962,1.975983,4.078426,-6.46215
0.19,0.346125,0.069615,0.410932,0.955184,-0.296012,-0.000536441,0.000814198,2.101684,3.990799,-6.291011
0.2,0.346125,0.069615,0.410932,0.955184,-0.296012,-0.000536441,0.000814198,2.235733,3.909243,-6.144664
0.2,0.346125,0.069615,0.410932,0.955184,-0.296012,-0.000536441,0.000814198,2.37718,3.832609,-6.02961
0.2,0.346477,0.073895,0.411156,0.956575,-0.291476,0.000552259,0.00225157,2.531775,3.762711,-5.950195
0.21,0.346477,0.073895,0.411156,0.956575,-0.291476,0.000552259,0.00225157,2.698489,3.703469,-5.911745
0.22,0.34733,0.077727,0.411282,0.957819,-0.287349,0.001065,0.00353432,2.880293,3.656064,-5.915047
0.22,0.34733,0.077727,0.411282,0.957819,-0.287349,0.001065,0.00353432,3.081231,3.621981,-5.968825
0.22,0.34733,0.077727,0.411282,0.957819,-0.287349,0.001065,0.00353432,3.29692,3.602364,-6.073263
0.23,0.348467,0.08102,0.410959,0.958884,-0.283753,0.000902948,0.0050191,3.523124,3.597519,-6.228536
0.24,0.348467,0.08102,0.410959,0.958884,-0.283753,0.000902948,0.0050191,3.772653,3.609676,-6.435995
0.24,0.348467,0.08102,0.410959,0.958884,-0.283753,0.000902948,0.0050191,4.047224,3.635929,-6.692143
0.24,0.350052,0.083482,0.41054,0.959696,-0.280969,0.000336671,0.00633815,4.318304,3.66784,-6.97609
0.25,0.350052,0.083482,0.41054,0.959696,-0.280969,0.000336671,0.00633815,4.59406,3.702223,-7.282665
0.26,0.351981,0.085393,0.410249,0.960279,-0.278941,-0.000563454,0.00741789,4.876695,3.739279,-7.611037
0.26,0.351981,0.085393,0.410249,0.960279,-0.278941,-0.000563454,0.00741789,5.151611,3.774333,-7.945396
0.26,0.351981,0.085393,0.410249,0.960279,-0.278941,-0.000563454,0.00741789,5.418806,3.807384,-8.28574
0.27,0.354187,0.087153,0.409879,0.96077,-0.277214,-0.00175569,0.00833676,5.678533,3.836466,-8.620196
0.28,0.354187,0.087153,0.409879,0.96077,-0.277214,-0.00175569,0.00833676,5.930651,3.862331,-8.945923
0.28,0.356498,0.088818,0.409595,0.961207,-0.275663,-0.00291558,0.00907101,6.163459,3.880056,-9.252441
0.29,0.356498,0.088818,0.409595,0.961207,-0.275663,-0.00291558,0.00907101,6.379772,3.887973,-9.534456
0.29,0.356498,0.088818,0.409595,0.961207,-0.275663,-0.00291558,0.00907101,6.574826,3.884589,-9.789121
0.3,0.359056,0.090393,0.409448,0.961586,-0.274303,-0.00403059,0.00966188,6.741954,3.870511,-10.004027
0.3,0.359056,0.090393,0.409448,0.961586,-0.274303,-0.00403059,0.00966188,6.883509,3.845243,-10.17867
0.3,0.361789,0.091901,0.409517,0.961905,-0.273157,-0.00500527,0.00996011,7.014019,3.80889,-10.315339
0.31,0.361789,0.091901,0.409517,0.961905,-0.273157,-0.00500527,0.00996011,7.110119,3.759769,-10.405122
0.32,0.361789,0.091901,0.409517,0.961905,-0.273157,-0.00500527,0.00996011,7.164003,3.695559,-10.440029
0.32,0.365109,0.093612,0.409596,0.962226,-0.271988,-0.00611223,0.0102698,7.205292,3.625353,-10.439522
0.32,0.365109,0.093612,0.409596,0.962226,-0.271988,-0.00611223,0.0102698,7.230296,3.549848,-10.404079
0.33,0.368679,0.09528,0.409902,0.962505,-0.270975,-0.00694422,0.0104066,7.226249,3.466233,-10.329492
0.34,0.368679,0.09528,0.409902,0.962505,-0.270975,-0.00694422,0.0104066,7.199474,3.378181,-10.219668
0.34,0.368679,0.09528,0.409902,0.962505,-0.270975,-0.00694422,0.0104066,7.159835,3.287292,-10.081781
0.34,0.37266,0.097041,0.410154,0.962775,-0.269984,-0.00788428,0.0105497,7.102845,3.193029,-9.924617
0.35,0.37266,0.097041,0.410154,0.962775,-0.269984,-0.00788428,0.0105497,7.028506,3.09539,-9.748175
0.36,0.377157,0.09892,0.410577,0.963037,-0.269021,-0.00871891,0.0105526,6.953581,3.00037,-9.568698
0.36,0.377157,0.09892,0.410577,0.963037,-0.269021,-0.00871891,0.0105526,6.877255,2.908146,-9.388396
0.36,0.377157,0.09892,0.410577,0.963037,-0.269021,-0.00871891,0.0105526,6.804275,2.819335,-9.20972
0.37,0.382117,0.100899,0.410825,0.963292,-0.268076,-0.00969574,0.0105134,6.736171,2.733078,-9.040143
0.38,0.382117,0.100899,0.410825,0.963292,-0.268076,-0.00969574,0.0105134,6.676526,2.650346,-8.882441
0.38,0.387254,0.102966,0.411083,0.963551,-0.267107,-0.0106897,0.0104388,6.607689,2.568684,-8.730373
