time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.364253,-0.011368,0.414017,0.893233,-0.44841,-0.0325124,0.00241207,-0.036292,0.422082,-2.351877
0.0,0.364235,-0.00984,0.413926,0.89412,-0.44664,-0.0324491,0.00301012,-0.034352,0.492826,-2.450513
0.01,0.364235,-0.00984,0.413926,0.89412,-0.44664,-0.0324491,0.00301012,-0.031908,0.569631,-2.553805
0.02,0.364226,-0.007504,0.413827,0.895426,-0.444023,-0.0322731,0.00381716,-0.027785,0.6498,-2.659423
0.02,0.364226,-0.007504,0.413827,0.895426,-0.444023,-0.0322731,0.00381716,-0.021821,0.734071,-2.76878
0.02,0.364226,-0.007504,0.413827,0.895426,-0.444023,-0.0322731,0.00381716,-0.018044,0.820825,-2.881924
0.03,0.364187,-0.004361,0.413688,0.897133,-0.440565,-0.032146,0.0047193,-0.017764,0.91028,-2.999233
0.04,0.364187,-0.004361,0.413688,0.897133,-0.440565,-0.032146,0.0047193,-0.020975,1.003521,-3.121354
0.04,0.364144,-0.000542,0.413507,0.899109,-0.436514,-0.0320681,0.00558311,-0.024093,1.09881,-3.249599
0.04,0.364144,-0.000542,0.413507,0.899109,-0.436514,-0.0320681,0.00558311,-0.027727,1.198934,-3.384432
0.05,0.364144,-0.000542,0.413507,0.899109,-0.436514,-0.0320681,0.00558311,-0.031567,1.301999,-3.522866
0.06,0.364043,0.003963,0.413248,0.901395,-0.431758,-0.0320536,0.00665083,-0.035225,1.409004,-3.665553
0.06,0.364043,0.003963,0.413248,0.901395,-0.431758,-0.0320536,0.00665083,-0.040956,1.518009,-3.809785
0.06,0.363885,0.009049,0.413047,0.903933,-0.426414,-0.0318591,0.00784509,-0.047098,1.6297,-3.954821
0.07,0.363885,0.009049,0.413047,0.903933,-0.426414,-0.0318591,0.00784509,-0.05358,1.743639,-4.101612
0.08,0.363885,0.009049,0.413047,0.903933,-0.426414,-0.0318591,0.00784509,-0.060005,1.858881,-4.249563
0.08,0.363661,0.014546,0.412887,0.906641,-0.420621,-0.03159,0.00907842,-0.066373,1.975427,-4.398672
0.08,0.363661,0.014546,0.412887,0.906641,-0.420621,-0.03159,0.00907842,-0.07328,2.089344,-4.545882
0.09,0.363661,0.014546,0.412887,0.906641,-0.420621,-0.03159,0.00907842,-0.081629,2.201818,-4.692382
0.1,0.363328,0.020443,0.412742,0.909521,-0.414351,-0.0311867,0.0106149,-0.090825,2.311155,-4.836978
0.1,0.363328,0.020443,0.412742,0.909521,-0.414351,-0.0311867,0.0106149,-0.097691,2.41974,-4.979955
0.1,0.362882,0.026562,0.412583,0.912442,-0.407867,-0.030748,0.0121446,-0.102171,2.527291,-5.121926
0.11,0.362882,0.026562,0.412583,0.912442,-0.407867,-0.030748,0.0121446,-0.105373,2.630715,-5.260358
0.12,0.362882,0.026562,0.412583,0.912442,-0.407867,-0.030748,0.0121446,-0.108901,2.730994,-5.395113
0.12,0.362393,0.032218,0.412443,0.915168,-0.401699,-0.0303233,0.0136051,-0.110721,2.823147,-5.526289
0.12,0.362393,0.032218,0.412443,0.915168,-0.401699,-0.0303233,0.0136051,-0.111414,2.906896,-5.6542
0.13,0.361792,0.038079,0.41227,0.917979,-0.395208,-0.0298478,0.015324,-0.111104,2.982615,-5.779564
0.14,0.361792,0.038079,0.41227,0.917979,-0.395208,-0.0298478,0.015324,-0.109021,3.051828,-5.90307
0.14,0.361792,0.038079,0.41227,0.917979,-0.395208,-0.0298478,0.015324,-0.10582,3.114532,-6.025324
0.14,0.36118,0.043356,0.412117,0.920559,-0.38913,-0.0292444,0.0171329,-0.100687,3.172554,-6.145308
0.15,0.36118,0.043356,0.412117,0.920559,-0.38913,-0.0292444,0.0171329,-0.094139,3.224728,-6.260631
0.16,0.360527,0.048298,0.411952,0.923022,-0.38321,-0.0286114,0.0190412,-0.085859,3.271562,-6.371831
0.16,0.360527,0.048298,0.411952,0.923022,-0.38321,-0.0286114,0.0190412,-0.075762,3.31465,-6.481178
0.16,0.360527,0.048298,0.411952,0.923022,-0.38321,-0.0286114,0.0190412,-0.063846,3.353991,-6.588673
0.17,0.359855,0.052963,0.411821,0.92535,-0.377512,-0.0279349,0.02078,-0.051941,3.391363,-6.693475
0.18,0.359855,0.052963,0.411821,0.92535,-0.377512,-0.0279349,0.02078,-0.041006,3.425849,-6.795786
0.18,0.35913,0.057587,0.411696,0.927639,-0.371803,-0.0272295,0.0225151,-0.030697,3.459698,-6.895149
0.18,0.35913,0.057587,0.411696,0.927639,-0.371803,-0.0272295,0.0225151,-0.019717,3.494367,-6.992552
0.19,0.35913,0.057587,0.411696,0.927639,-0.371803,-0.0272295,0.0225151,-0.008618,3.53039,-7.088521
0.2,0.358338,0.062283,0.411581,0.929921,-0.366006,-0.026506,0.0241538,0.000419,3.56974,-7.181906
0.2,0.358338,0.062283,0.411581,0.929921,-0.366006,-0.026506,0.0241538,0.007755,3.613177,-7.273787
0.2,0.357478,0.067021,0.411464,0.932181,-0.360152,-0.0257766,0.025777,0.013311,3.660086,-7.363897
0.21,0.357478,0.067021,0.411464,0.932181,-0.360152,-0.0257766,0.025777,0.018774,3.710309,-7.452501
0.22,0.357478,0.067021,0.411464,0.932181,-0.360152,-0.0257766,0.025777,0.024226,3.764844,-7.538247
0.22,0.356514,0.072057,0.411319,0.934495,-0.354043,-0.0250186,0.0273429,0.028776,3.822056,-7.621052
0.22,0.356514,0.072057,0.411319,0.934495,-0.354043,-0.0250186,0.0273429,0.03309,3.883175,-7.703101
0.23,0.35544,0.07726,0.411185,0.936816,-0.347787,-0.0242677,0.028847,0.037224,3.946008,-7.782391
0.24,0.35544,0.07726,0.411185,0.936816,-0.347787,-0.0242677,0.028847,0.041541,4.010801,-7.857753
0.24,0.35544,0.07726,0.411185,0.936816,-0.347787,-0.0242677,0.028847,0.044086,4.078028,-7.927927
0.24,0.354296,0.082463,0.411032,0.93909,-0.341526,-0.0235628,0.0302501,0.048496,4.145456,-7.990856
0.25,0.354296,0.082463,0.411032,0.93909,-0.341526,-0.0235628,0.0302501,0.054773,4.213085,-8.04654
0.26,0.353026,0.087862,0.410894,0.941442,-0.334913,-0.0228501,0.0316002,0.063058,4.275537,-8.092496
0.26,0.353026,0.087862,0.410894,0.941442,-0.334913,-0.0228501,0.0316002,0.072932,4.332995,-8.129086
0.26,0.353026,0.087862,0.410894,0.941442,-0.334913,-0.0228501,0.0316002,0.084739,4.383895,-8.15309
0.27,0.351716,0.093189,0.410773,0.943693,-0.32844,-0.0220753,0.0329255,0.099169,4.428083,-8.164656
0.28,0.351716,0.093189,0.410773,0.943693,-0.32844,-0.0220753,0.0329255,0.117347,4.465938,-8.161878
0.28,0.350332,0.098687,0.410716,0.946012,-0.321624,-0.0212476,0.0341879,0.141319,4.496243,-8.142899
0.29,0.350332,0.098687,0.410716,0.946012,-0.321624,-0.0212476,0.0341879,0.169999,4.518838,-8.107852
0.29,0.350332,0.098687,0.410716,0.946012,-0.321624,-0.0212476,0.0341879,0.204053,4.529892,-8.056081
0.3,0.348984,0.103965,0.410745,0.948252,-0.314903,-0.0204705,0.0351536,0.242532,4.528952,-7.987001
0.3,0.348984,0.103965,0.410745,0.948252,-0.314903,-0.0204705,0.0351536,0.283712,4.5158,-7.898114
0.3,0.347659,0.109286,0.410872,0.950418,-0.308261,-0.0196177,0.0359916,0.327975,4.492398,-7.789924
0.31,0.347659,0.109286,0.410872,0.950418,-0.308261,-0.0196177,0.0359916,0.374917,4.458689,-7.662821
0.32,0.347659,0.109286,0.410872,0.950418,-0.308261,-0.0196177,0.0359916,0.429632,4.411804,-7.51799
0.32,0.346288,0.114779,0.411079,0.952621,-0.301365,-0.018812,0.0365882,0.487135,4.353963,-7.359774
0.32,0.346288,0.114779,0.411079,0.952621,-0.301365,-0.018812,0.0365882,0.54735,4.285346,-7.188617
0.33,0.34488,0.120163,0.411253,0.954672,-0.294788,-0.0181389,0.0370448,0.608727,4.212978,-7.011994
0.34,0.34488,0.120163,0.411253,0.954672,-0.294788,-0.0181389,0.0370448,0.671267,4.136858,-6.829905
0.34,0.34488,0.120163,0.411253,0.954672,-0.294788,-0.0181389,0.0370448,0.735164,4.057682,-6.649254
0.34,0.343485,0.125516,0.411457,0.95667,-0.288235,-0.0175263,0.0373655,0.800484,3.975823,-6.470482
0.35,0.343485,0.125516,0.411457,0.95667,-0.288235,-0.0175263,0.0373655,0.865672,3.892908,-6.299253
0.36,0.342079,0.130897,0.411699,0.958618,-0.281682,-0.0168779,0.0376997,0.927372,3.811722,-6.137206
0.36,0.342079,0.130897,0.411699,0.958618,-0.281682,-0.0168779,0.0376997,0.9851,3.731292,-5.983309
0.36,0.342079,0.130897,0.411699,0.958618,-0.281682,-0.0168779,0.0376997,1.038722,3.657625,-5.845708
0.37,0.340782,0.136518,0.411943,0.960576,-0.274936,-0.0164426,0.0378597,1.089193,3.591424,-5.725134
0.38,0.340782,0.136518,0.411943,0.960576,-0.274936,-0.0164426,0.0378597,1.141364,3.533993,-5.627776
0.38,0.340782,0.136518,0.411943,0.960576,-0.274936,-0.0164426,0.0378597,1.193033,3.485958,-5.556472
0.38,0.339656,0.142096,0.412087,0.962426,-0.268352,-0.0160837,0.0382689,1.24867,3.448915,-5.5136
0.39,0.339656,0.142096,0.412087,0.962426,-0.268352,-0.0160837,0.0382689,1.305559,3.426387,-5.502064
0.4,0.338652,0.147484,0.411905,0.964225,-0.261731,-0.0161172,0.0388329,1.366118,3.417561,-5.520199
0.4,0.338652,0.147484,0.411905,0.964225,-0.261731,-0.0161172,0.0388329,1.430412,3.420546,-5.566852
0.4,0.338652,0.147484,0.411905,0.964225,-0.261731,-0.0161172,0.0388329,1.499452,3.429827,-5.633295
0.41,0.338014,0.15238,0.411689,0.965816,-0.255705,-0.016285,0.0393503,1.577786,3.444087,-5.721273
0.42,0.338014,0.15238,0.411689,0.965816,-0.255705,-0.016285,0.0393503,1.665023,3.462056,-5.823417
0.42,0.337888,0.156654,0.411742,0.967294,-0.249977,-0.0163261,0.0398396,1.761162,3.483735,-5.939729
0.42,0.337888,0.156654,0.411742,0.967294,-0.249977,-0.0163261,0.0398396,1.869021,3.502744,-6.06443
0.43,0.337888,0.156654,0.411742,0.967294,-0.249977,-0.0163261,0.0398396,1.990115,3.517757,-6.19729
0.44,0.338136,0.160321,0.41165,0.968585,-0.244829,-0.0167283,0.0402695,2.127579,3.530194,-6.340977
0.44,0.338136,0.160321,0.41165,0.968585,-0.244829,-0.0167283,0.0402695,2.279354,3.535546,-6.486587
0.44,0.338778,0.162989,0.411493,0.969574,-0.240771,-0.0172441,0.0407295,2.444835,3.530576,-6.632012
0.45,0.338778,0.162989,0.411493,0.969574,-0.240771,-0.0172441,0.0407295,2.617,3.510589,-6.770931
0.46,0.338778,0.162989,0.411493,0.969574,-0.240771,-0.0172441,0.0407295,2.797294,3.474684,-6.901465
0.46,0.33996,0.164796,0.411546,0.970309,-0.23773,-0.0177708,0.0408649,2.979972,3.41925,-7.018492
0.46,0.33996,0.164796,0.411546,0.970309,-0.23773,-0.0177708,0.0408649,3.162999,3.343965,-7.117685
0.47,0.341364,0.165924,0.411538,0.970863,-0.235407,-0.0185095,0.0408115,3.344336,3.246199,-7.196439
0.48,0.341364,0.165924,0.411538,0.970863,-0.235407,-0.0185095,0.0408115,3.524533,3.128393,-7.256759
0.48,0.341364,0.165924,0.411538,0.970863,-0.235407,-0.0185095,0.0408115,3.703586,2.992443,-7.302226
0.48,0.343078,0.166843,0.411695,0.97131,-0.233547,-0.0192244,0.0405276,3.872926,2.839655,-7.327219
0.49,0.343078,0.166843,0.411695,0.97131,-0.233547,-0.0192244,0.0405276,4.034135,2.674065,-7.336014
0.5,0.344847,0.167659,0.411782,0.971576,-0.232419,-0.0199713,0.0402842,4.186321,2.495208,-7.329309
0.5,0.344847,0.167659,0.411782,0.971576,-0.232419,-0.0199713,0.0402842,4.323309,2.307572,-7.308949
0.5,0.344847,0.167659,0.411782,0.971576,-0.232419,-0.0199713,0.0402842,4.445096,2.111159,-7.274934
0.51,0.346866,0.168295,0.41201,0.971743,-0.231729,-0.0206269,0.0399112,4.553174,1.906631,-7.229093
0.52,0.346866,0.168295,0.41201,0.971743,-0.231729,-0.0206269,0.0399112,4.648986,1.695325,-7.174197
0.52,0.34923,0.168693,0.412193,0.971726,-0.23181,-0.0213673,0.0394423,4.72729,1.481814,-7.111526
0.52,0.34923,0.168693,0.412193,0.971726,-0.23181,-0.0213673,0.0394423,4.794474,1.27244,-7.045153
0.53,0.34923,0.168693,0.412193,0.971726,-0.23181,-0.0213673,0.0394423,4.853157,1.066133,-6.977702
0.54,0.351923,0.168908,0.41243,0.971611,-0.23234,-0.022097,0.038744,4.89883,0.865598,-6.911881
0.54,0.351923,0.168908,0.41243,0.971611,-0.23234,-0.022097,0.038744,4.933103,0.670031,-6.849187
0.55,0.354917,0.168727,0.412617,0.971397,-0.233315,-0.0228387,0.0378118,4.965071,0.484202,-6.79847
0.55,0.354917,0.168727,0.412617,0.971397,-0.233315,-0.0228387,0.0378118,4.993736,0.308198,-6.757407
0.56,0.354917,0.168727,0.412617,0.971397,-0.233315,-0.0228387,0.0378118,5.015142,0.141993,-6.724648
0.56,0.358273,0.168298,0.412696,0.971069,-0.234739,-0.0236934,0.0368978,5.037095,-0.013678,-6.710394
0.57,0.358273,0.168298,0.412696,0.971069,-0.234739,-0.0236934,0.0368978,5.05842,-0.161245,-6.713525
0.57,0.362052,0.1676,0.41277,0.970655,-0.236532,-0.0245333,0.0357703,5.083665,-0.297813,-6.735424
0.58,0.362052,0.1676,0.41277,0.970655,-0.236532,-0.0245333,0.0357703,5.117324,-0.421626,-6.776595
0.58,0.362052,0.1676,0.41277,0.970655,-0.236532,-0.0245333,0.0357703,5.153698,-0.534869,-6.835034
0.58,0.365937,0.166711,0.412832,0.970167,-0.238582,-0.0255506,0.0346821,5.186782,-0.63857,-6.90597
0.59,0.365937,0.166711,0.412832,0.970167,-0.238582,-0.0255506,0.0346821,5.216574,-0.732728,-6.989404
0.6,0.370128,0.165642,0.412792,0.969572,-0.240999,-0.0267953,0.0336388,5.257629,-0.815168,-7.089886
0.6,0.370128,0.165642,0.412792,0.969572,-0.240999,-0.0267953,0.0336388,5.307452,-0.888627,-7.205974
0.6,0.370128,0.165642,0.412792,0.969572,-0.240999,-0.0267953,0.0336388,5.356066,-0.951838,-7.331124
0.61,0.374385,0.164492,0.412796,0.968943,-0.243535,-0.0279253,0.0325662,5.411849,-1.005767,-7.465774
0.62,0.374385,0.164492,0.412796,0.968943,-0.243535,-0.0279253,0.0325662,5.476497,-1.049784,-7.608461
0.62,0.378684,0.163328,0.412686,0.968277,-0.246156,-0.0291547,0.0315621,5.541349,-1.083301,-7.75269
0.62,0.378684,0.163328,0.412686,0.968277,-0.246156,-0.0291547,0.0315621,5.606863,-1.107133,-7.899491
0.63,0.378684,0.163328,0.412686,0.968277,-0.246156,-0.0291547,0.0315621,5.675208,-1.122961,-8.048345
0.64,0.383128,0.162257,0.412638,0.967602,-0.24879,-0.0303066,0.0305181,5.738275,-1.13091,-8.188744
0.64,0.383128,0.162257,0.412638,0.967602,-0.24879,-0.0303066,0.0305181,5.797084,-1.131441,-8.317455
0.64,0.383128,0.162257,0.412638,0.967602,-0.24879,-0.0303066,0.0305181,5.847708,-1.126192,-8.429662
0.65,0.387495,0.16138,0.412647,0.96697,-0.251226,-0.031339,0.0295228,5.889441,-1.117037,-8.525034
0.66,0.387495,0.16138,0.412647,0.96697,-0.251226,-0.031339,0.0295228,5.928458,-1.100257,-8.606247
0.66,0.391952,0.160668,0.412724,0.966362,-0.253565,-0.0322487,0.0284397,5.962182,-1.076602,-8.671834
0.66,0.391952,0.160668,0.412724,0.966362,-0.253565,-0.0322487,0.0284397,5.993686,-1.046594,-8.724828
0.67,0.391952,0.160668,0.412724,0.966362,-0.253565,-0.0322487,0.0284397,6.00707,-1.013846,-8.754157
0.68,0.396619,0.159959,0.412912,0.965747,-0.255941,-0.0329476,0.0272329,6.002333,-0.97836,-8.759824
0.68,0.396619,0.159959,0.412912,0.965747,-0.255941,-0.0329476,0.0272329,5.992994,-0.939458,-8.747847
0.68,0.401441,0.159414,0.413027,0.965181,-0.258141,-0.0334409,0.0258859,5.976461,-0.896868,-8.717824
0.69,0.401441,0.159414,0.413027,0.965181,-0.258141,-0.0334409,0.0258859,5.953838,-0.850975,-8.678086
0.7,0.401441,0.159414,0.413027,0.965181,-0.258141,-0.0334409,0.0258859,5.923309,-0.806739,-8.625486
0.7,0.406483,0.159077,0.413242,0.964667,-0.260157,-0.0337922,0.0243924,5.884306,-0.764615,-8.563248
