time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.247841,-0.010853,0.450835,0.927069,-0.374614,-0.00708224,0.0125374,0.860978,-2.407306,-0.234992
0.0,0.247864,-0.009785,0.450839,0.927434,-0.373748,-0.00772742,0.0108871,0.676628,-3.285856,-0.323139
0.01,0.247864,-0.009785,0.450839,0.927434,-0.373748,-0.00772742,0.0108871,0.492279,-4.164406,-0.411286
0.02,0.247921,-0.007272,0.450877,0.928411,-0.37136,-0.00871332,0.00830976,0.361692,-4.957634,-0.499367
0.02,0.247921,-0.007272,0.450877,0.928411,-0.37136,-0.00871332,0.00830976,0.228135,-5.428504,-0.566221
0.02,0.247921,-0.007272,0.450877,0.928411,-0.37136,-0.00871332,0.00830976,0.069894,-6.030744,-0.657572
0.03,0.247957,-0.002911,0.450917,0.930063,-0.367229,-0.0104446,0.0040219,-0.010049,-6.387418,-0.721122
0.04,0.247957,-0.002911,0.450917,0.930063,-0.367229,-0.0104446,0.0040219,-0.089993,-6.744092,-0.784672
0.04,0.247937,0.00353,0.451052,0.932309,-0.361431,-0.012772,-0.00207429,-0.086131,-6.940508,-0.844806
0.04,0.247937,0.00353,0.451052,0.932309,-0.361431,-0.012772,-0.00207429,-0.08227,-7.136924,-0.904939
0.05,0.247937,0.00353,0.451052,0.932309,-0.361431,-0.012772,-0.00207429,-0.007582,-7.350038,-0.971027
0.06,0.24765,0.012081,0.451201,0.9349,-0.354377,-0.0163878,-0.0105281,0.023625,-7.285178,-1.006631
0.06,0.24765,0.012081,0.451201,0.9349,-0.354377,-0.0163878,-0.0105281,0.054832,-7.220318,-1.042236
0.06,0.247037,0.022393,0.451507,0.937649,-0.346301,-0.0210564,-0.0211284,0.019403,-7.212082,-1.068601
0.07,0.247037,0.022393,0.451507,0.937649,-0.346301,-0.0210564,-0.0211284,-0.016026,-7.203846,-1.094966
0.08,0.247037,0.022393,0.451507,0.937649,-0.346301,-0.0210564,-0.0211284,-0.138535,-7.050926,-1.091562
0.08,0.245935,0.034473,0.45194,0.940383,-0.337365,-0.0269123,-0.033759,-0.114644,-7.139832,-1.032726
0.08,0.245935,0.034473,0.45194,0.940383,-0.337365,-0.0269123,-0.033759,-0.090752,-7.228738,-0.97389
0.09,0.244211,0.047969,0.452456,0.942881,-0.327853,-0.0341613,-0.0481673,-0.052264,-7.368986,-0.884383
0.1,0.244211,0.047969,0.452456,0.942881,-0.327853,-0.0341613,-0.0481673,-0.013775,-7.509234,-0.794877
0.1,0.244211,0.047969,0.452456,0.942881,-0.327853,-0.0341613,-0.0481673,-0.136871,-7.599848,-0.712853
0.1,0.241801,0.062533,0.453072,0.945067,-0.317831,-0.0422948,-0.0635916,-0.351584,-7.646334,-0.694356
0.11,0.241801,0.062533,0.453072,0.945067,-0.317831,-0.0422948,-0.0635916,-0.631527,-7.619358,-0.646938
0.12,0.238674,0.078156,0.4539,0.946925,-0.307226,-0.051122,-0.0795687,-1.175361,-7.654154,-0.604246
0.12,0.238674,0.078156,0.4539,0.946925,-0.307226,-0.051122,-0.0795687,-1.719194,-7.68895,-0.561553
0.12,0.238674,0.078156,0.4539,0.946925,-0.307226,-0.051122,-0.0795687,-2.178068,-7.550934,-0.52824
0.13,0.234877,0.094712,0.455144,0.948356,-0.296151,-0.0605643,-0.0961663,-2.636942,-7.412918,-0.494927
0.14,0.234877,0.094712,0.455144,0.948356,-0.296151,-0.0605643,-0.0961663,-2.89101,-7.305166,-0.496929
0.14,0.230793,0.111084,0.456939,0.949239,-0.285461,-0.0697057,-0.112239,-3.168944,-7.322938,-0.45638
0.14,0.230793,0.111084,0.456939,0.949239,-0.285461,-0.0697057,-0.112239,-3.446878,-7.34071,-0.415831
0.15,0.230793,0.111084,0.456939,0.949239,-0.285461,-0.0697057,-0.112239,-3.65319,-7.290076,-0.401555
0.16,0.226426,0.127354,0.459105,0.949628,-0.275107,-0.078712,-0.12778,-3.859502,-7.239442,-0.387279
0.16,0.226426,0.127354,0.459105,0.949628,-0.275107,-0.078712,-0.12778,-4.300954,-7.081748,-0.377391
0.16,0.221911,0.143614,0.461586,0.949464,-0.265389,-0.0878092,-0.142745,-4.396276,-6.809684,-0.257283
0.17,0.221911,0.143614,0.461586,0.949464,-0.265389,-0.0878092,-0.142745,-4.491598,-6.53762,-0.137175
0.18,0.221911,0.143614,0.461586,0.949464,-0.265389,-0.0878092,-0.142745,-4.573488,-6.60208,0.096787
0.18,0.217471,0.159404,0.463988,0.948617,-0.256987,-0.0968607,-0.157169,-4.655378,-6.66654,0.330749
0.18,0.217471,0.159404,0.463988,0.948617,-0.256987,-0.0968607,-0.157169,-4.653426,-6.560408,0.563264
0.19,0.217471,0.159404,0.463988,0.948617,-0.256987,-0.0968607,-0.157169,-4.697656,-6.288614,0.621075
