time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.354858,0.018893,0.411921,0.928843,-0.365422,-0.0529632,0.0302145,4.699239,1.946502,-7.381506
0.0,0.355643,0.01969,0.412353,0.929232,-0.364484,-0.0524551,0.0304554,4.662512,2.000252,-7.149688
0.01,0.355643,0.01969,0.412353,0.929232,-0.364484,-0.0524551,0.0304554,4.601689,2.043647,-6.900441
0.02,0.35677,0.020912,0.412714,0.929803,-0.363084,-0.051882,0.0307225,4.531999,2.077733,-6.651136
0.02,0.35677,0.020912,0.412714,0.929803,-0.363084,-0.051882,0.0307225,4.455483,2.10212,-6.402907
0.02,0.35677,0.020912,0.412714,0.929803,-0.363084,-0.051882,0.0307225,4.365587,2.11865,-6.159746
0.03,0.358456,0.022718,0.413265,0.93064,-0.361023,-0.0511154,0.0309693,4.281854,2.129928,-5.937124
0.04,0.358456,0.022718,0.413265,0.93064,-0.361023,-0.0511154,0.0309693,4.20825,2.136926,-5.739094
0.04,0.358456,0.022718,0.413265,0.93064,-0.361023,-0.0511154,0.0309693,4.13232,2.146783,-5.57146
0.04,0.360674,0.025068,0.413642,0.931668,-0.358418,-0.0505227,0.031296,4.057143,2.160752,-5.435084
0.05,0.360674,0.025068,0.413642,0.931668,-0.358418,-0.0505227,0.031296,4.002556,2.182485,-5.344342
0.06,0.363232,0.027727,0.413691,0.932793,-0.355503,-0.0500418,0.031794,3.977541,2.213427,-5.303827
0.06,0.363232,0.027727,0.413691,0.932793,-0.355503,-0.0500418,0.031794,3.97581,2.254921,-5.313179
0.06,0.363232,0.027727,0.413691,0.932793,-0.355503,-0.0500418,0.031794,3.992636,2.309165,-5.371888
0.07,0.366014,0.030588,0.413405,0.933935,-0.352476,-0.049764,0.0323984,4.028021,2.376159,-5.479954
0.08,0.366014,0.030588,0.413405,0.933935,-0.352476,-0.049764,0.0323984,4.08511,2.458284,-5.636962
0.08,0.368951,0.033575,0.41298,0.935125,-0.349214,-0.0498722,0.0332165,4.161807,2.555429,-5.837907
0.08,0.368951,0.033575,0.41298,0.935125,-0.349214,-0.0498722,0.0332165,4.257499,2.664741,-6.079416
0.09,0.368951,0.033575,0.41298,0.935125,-0.349214,-0.0498722,0.0332165,4.361506,2.783162,-6.34499
0.1,0.371747,0.036269,0.412674,0.93617,-0.346255,-0.0502846,0.0341183,4.468805,2.9102,-6.633466
0.1,0.371747,0.036269,0.412674,0.93617,-0.346255,-0.0502846,0.0341183,4.586695,3.042767,-6.937849
0.1,0.374397,0.038899,0.412231,0.93715,-0.343344,-0.0512495,0.0351967,4.708658,3.180364,-7.252742
0.11,0.374397,0.038899,0.412231,0.93715,-0.343344,-0.0512495,0.0351967,4.829788,3.319954,-7.571904
0.12,0.374397,0.038899,0.412231,0.93715,-0.343344,-0.0512495,0.0351967,4.962818,3.454151,-7.891054
0.12,0.376986,0.04159,0.411963,0.938149,-0.34039,-0.0519871,0.0361737,5.098346,3.582057,-8.200891
0.12,0.376986,0.04159,0.411963,0.938149,-0.34039,-0.0519871,0.0361737,5.217079,3.700598,-8.484918
0.13,0.379574,0.044404,0.411633,0.939155,-0.337375,-0.0527223,0.0372398,5.31696,3.809909,-8.741312
0.14,0.379574,0.044404,0.411633,0.939155,-0.337375,-0.0527223,0.0372398,5.408429,3.904352,-8.969329
0.14,0.379574,0.044404,0.411633,0.939155,-0.337375,-0.0527223,0.0372398,5.484797,3.982133,-9.162374
0.14,0.382145,0.04715,0.411522,0.940132,-0.33447,-0.0531794,0.0381342,5.544364,4.042304,-9.314988
0.15,0.382145,0.04715,0.411522,0.940132,-0.33447,-0.0531794,0.0381342,5.588071,4.083413,-9.420571
0.16,0.384869,0.050015,0.41159,0.94114,-0.331491,-0.0534506,0.0388991,5.615915,4.10546,-9.479124
0.16,0.384869,0.050015,0.41159,0.94114,-0.331491,-0.0534506,0.0388991,5.62339,4.106757,-9.491566
0.16,0.384869,0.050015,0.41159,0.94114,-0.331491,-0.0534506,0.0388991,5.612321,4.089126,-9.463669
0.17,0.387865,0.053008,0.411826,0.942178,-0.328433,-0.0535908,0.0394929,5.593959,4.054064,-9.399375
0.18,0.387865,0.053008,0.411826,0.942178,-0.328433,-0.0535908,0.0394929,5.560821,4.003521,-9.302645
0.18,0.391112,0.056127,0.412198,0.943225,-0.325352,-0.0535447,0.0400736,5.51765,3.936871,-9.176319
0.18,0.391112,0.056127,0.412198,0.943225,-0.325352,-0.0535447,0.0400736,5.460883,3.856618,-9.021878
0.19,0.391112,0.056127,0.412198,0.943225,-0.325352,-0.0535447,0.0400736,5.386273,3.765708,-8.840666
0.2,0.394778,0.059238,0.412543,0.944224,-0.322398,-0.05346,0.0405239,5.320917,3.666807,-8.65579
0.2,0.394778,0.059238,0.412543,0.944224,-0.322398,-0.05346,0.0405239,5.266767,3.561456,-8.473478
0.2,0.398914,0.062368,0.413039,0.945203,-0.31955,-0.0531101,0.0407109,5.217601,3.449183,-8.291455
0.21,0.398914,0.062368,0.413039,0.945203,-0.31955,-0.0531101,0.0407109,5.181212,3.339024,-8.11918
0.22,0.398914,0.062368,0.413039,0.945203,-0.31955,-0.0531101,0.0407109,5.163484,3.232207,-7.960604
0.22,0.403519,0.065528,0.413351,0.946136,-0.316825,-0.052814,0.04072,5.156553,3.128516,-7.823434
0.22,0.403519,0.065528,0.413351,0.946136,-0.316825,-0.052814,0.04072,5.162594,3.02838,-7.716341
0.23,0.408488,0.068582,0.413535,0.946994,-0.314297,-0.0525958,0.0406573,5.194871,2.933914,-7.649718
0.24,0.408488,0.068582,0.413535,0.946994,-0.314297,-0.0525958,0.0406573,5.244143,2.849438,-7.620244
0.24,0.408488,0.068582,0.413535,0.946994,-0.314297,-0.0525958,0.0406573,5.310411,2.774954,-7.62792
0.24,0.413859,0.071321,0.413606,0.947703,-0.312203,-0.0524342,0.0404964,5.396096,2.710644,-7.679299
0.25,0.413859,0.071321,0.413606,0.947703,-0.312203,-0.0524342,0.0404964,5.504796,2.656129,-7.77391
0.26,0.419363,0.073757,0.413547,0.948287,-0.31044,-0.0525216,0.0402585,5.627832,2.613279,-7.905423
0.26,0.419363,0.073757,0.413547,0.948287,-0.31044,-0.0525216,0.0402585,5.771188,2.582319,-8.073381
0.26,0.419363,0.073757,0.413547,0.948287,-0.31044,-0.0525216,0.0402585,5.935071,2.564677,-8.278258
0.27,0.424986,0.075959,0.41327,0.948752,-0.308948,-0.0530537,0.0400822,6.099182,2.55827,-8.506349
0.28,0.424986,0.075959,0.41327,0.948752,-0.308948,-0.0530537,0.0400822,6.266743,2.56257,-8.757636
0.28,0.430535,0.077947,0.412997,0.949152,-0.307662,-0.0535853,0.0398004,6.438337,2.578079,-9.030601
0.29,0.430535,0.077947,0.412997,0.949152,-0.307662,-0.0535853,0.0398004,6.592213,2.598265,-9.310005
0.29,0.430535,0.077947,0.412997,0.949152,-0.307662,-0.0535853,0.0398004,6.733347,2.624424,-9.599705
0.3,0.435968,0.079866,0.412591,0.949517,-0.306441,-0.0542698,0.0395756,6.883664,2.658398,-9.900244
0.3,0.435968,0.079866,0.412591,0.949517,-0.306441,-0.0542698,0.0395756,7.040863,2.700291,-10.208418
