time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0,0.330329,-0.00526,0.411925,0.914062,-0.40527,-0.00353398,0.01534,-0.184306,1.624736,-4.830926
0.0,0.330163,-0.004333,0.411509,0.914659,-0.403897,-0.00426633,0.015722,-0.155297,1.842064,-5.193593
0.01,0.330163,-0.004333,0.411509,0.914659,-0.403897,-0.00426633,0.015722,-0.119568,2.069989,-5.567235
0.02,0.329969,-0.00302,0.411139,0.9155,-0.401958,-0.00511312,0.0162159,-0.079916,2.305256,-5.94507
0.02,0.329969,-0.00302,0.411139,0.9155,-0.401958,-0.00511312,0.0162159,-0.035891,2.547852,-6.328132
0.02,0.329969,-0.00302,0.411139,0.9155,-0.401958,-0.00511312,0.0162159,0.017596,2.794969,-6.710566
0.03,0.329745,-0.001185,0.410727,0.916628,-0.399331,-0.00608502,0.0170267,0.077593,3.04274,-7.085362
0.04,0.329745,-0.001185,0.410727,0.916628,-0.399331,-0.00608502,0.0170267,0.146372,3.289218,-7.450416
0.04,0.329516,0.001203,0.410405,0.918024,-0.396052,-0.00693064,0.0180673,0.221365,3.529801,-7.794577
0.04,0.329516,0.001203,0.410405,0.918024,-0.396052,-0.00693064,0.0180673,0.302534,3.765588,-8.119124
0.05,0.329516,0.001203,0.410405,0.918024,-0.396052,-0.00693064,0.0180673,0.390124,3.988846,-8.412164
0.06,0.32935,0.004174,0.410102,0.919732,-0.392005,-0.0074834,0.0192191,0.486061,4.197353,-8.672328
0.06,0.32935,0.004174,0.410102,0.919732,-0.392005,-0.0074834,0.0192191,0.595222,4.391041,-8.895997
0.06,0.329195,0.007537,0.409838,0.921606,-0.387511,-0.00779483,0.0204226,0.71279,4.562999,-9.074654
0.07,0.329195,0.007537,0.409838,0.921606,-0.387511,-0.00779483,0.0204226,0.838518,4.71485,-9.211434
0.08,0.329195,0.007537,0.409838,0.921606,-0.387511,-0.00779483,0.0204226,0.969058,4.844037,-9.300978
0.08,0.329081,0.011561,0.409649,0.92379,-0.382204,-0.00763527,0.0217684,1.101075,4.948467,-9.342961
0.08,0.329081,0.011561,0.409649,0.92379,-0.382204,-0.00763527,0.0217684,1.232721,5.02535,-9.335015
0.09,0.329049,0.015747,0.409624,0.925985,-0.3768,-0.00715608,0.0228785,1.368013,5.074683,-9.280826
0.1,0.329049,0.015747,0.409624,0.925985,-0.3768,-0.00715608,0.0228785,1.506951,5.096465,-9.180394
0.1,0.329049,0.015747,0.409624,0.925985,-0.3768,-0.00715608,0.0228785,1.642557,5.089307,-9.03461
0.1,0.329193,0.020472,0.409994,0.928373,-0.370837,-0.00634386,0.0237497,1.775322,5.055344,-8.847502
0.11,0.329193,0.020472,0.409994,0.928373,-0.370837,-0.00634386,0.0237497,1.895927,4.998301,-8.624118
0.12,0.329193,0.020472,0.409994,0.928373,-0.370837,-0.00634386,0.0237497,2.009225,4.922071,-8.378865
0.12,0.329496,0.025368,0.41045,0.930692,-0.364934,-0.00555314,0.0245894,2.120304,4.829066,-8.115419
0.12,0.329496,0.025368,0.41045,0.930692,-0.364934,-0.00555314,0.0245894,2.226264,4.727859,-7.849462
0.13,0.329961,0.031475,0.410823,0.933407,-0.357884,-0.00493971,0.025431,2.327206,4.620208,-7.583227
0.14,0.329961,0.031475,0.410823,0.933407,-0.357884,-0.00493971,0.025431,2.417231,4.508574,-7.32823
0.14,0.329961,0.031475,0.410823,0.933407,-0.357884,-0.00493971,0.025431,2.501939,4.403471,-7.095648
0.14,0.33039,0.03775,0.411012,0.936027,-0.350938,-0.00452419,0.0260004,2.579708,4.307096,-6.889271
