time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.345928,0.0102737,0.413739,0.926813,-0.375308,-0.011165,0.00609227,-0.47527,0.0466038,-0.89737
0.0401,0.345928,0.0102737,0.413739,0.926813,-0.375308,-0.011165,0.00609227,-0.47527,0.0466038,-0.89737
0.0601,0.345928,0.0102715,0.413737,0.926812,-0.375311,-0.0111641,0.0060939,-0.495709,0.108052,-0.929821
0.0801,0.345928,0.0102715,0.413737,0.926812,-0.375311,-0.0111641,0.0060939,-0.471941,0.084177,-0.886753
0.1001,0.345927,0.0102765,0.413741,0.926814,-0.375304,-0.01116,0.00609261,-0.471941,0.084177,-0.886753
0.1201,0.345927,0.0102765,0.413741,0.926814,-0.375304,-0.01116,0.00609261,-0.469549,0.0642975,-0.955153
0.1401,0.345927,0.0102765,0.413741,0.926814,-0.375304,-0.01116,0.00609261,-0.469549,0.0642975,-0.955153
0.1601,0.345927,0.0102752,0.413738,0.926814,-0.375305,-0.0111628,0.00609502,-0.431868,0.0681114,-0.870285
0.1801,0.345927,0.0102752,0.413738,0.926814,-0.375305,-0.0111628,0.00609502,-0.447746,0.0549378,-0.874515
0.2001,0.345928,0.0102762,0.41374,0.926813,-0.375307,-0.0111587,0.00609219,-0.447746,0.0549378,-0.874515
0.2201,0.345928,0.0102762,0.41374,0.926813,-0.375307,-0.0111587,0.00609219,-0.436101,0.00293246,-0.903386
0.2401,0.345928,0.0102762,0.41374,0.926813,-0.375307,-0.0111587,0.00609219,-0.436101,0.00293246,-0.903386
0.2601,0.345927,0.0102772,0.41374,0.926814,-0.375306,-0.0111587,0.00609173,-0.411685,0.0771654,-0.899212
0.2801,0.345927,0.0102772,0.41374,0.926814,-0.375306,-0.0111587,0.00609173,-0.443711,0.0759596,-0.903106
0.3001,0.345929,0.0102759,0.413739,0.926813,-0.375308,-0.0111602,0.00609316,-0.443711,0.0759596,-0.903106
0.3201,0.345929,0.0102759,0.413739,0.926813,-0.375308,-0.0111602,0.00609316,-0.471071,0.0645579,-0.907416
0.3401,0.345929,0.0102759,0.413739,0.926813,-0.375308,-0.0111602,0.00609316,-0.471071,0.0645579,-0.907416
0.3601,0.345928,0.0102786,0.413738,0.926815,-0.375303,-0.0111592,0.00609397,-0.448963,0.14888,-0.906653
0.3801,0.345928,0.0102786,0.413738,0.926815,-0.375303,-0.0111592,0.00609397,-0.448963,0.14888,-0.906653
0.4001,0.345928,0.0102771,0.413739,0.926814,-0.375306,-0.0111595,0.00609095,-0.422727,0.097826,-0.903973
0.4201,0.345928,0.0102771,0.413739,0.926814,-0.375306,-0.0111595,0.00609095,-0.437162,0.0316138,-0.891486
0.4401,0.345928,0.0102771,0.413739,0.926814,-0.375306,-0.0111595,0.00609095,-0.437162,0.0316138,-0.891486
0.4601,0.345929,0.0102775,0.41374,0.926816,-0.375301,-0.0111575,0.00609341,-0.446257,0.126462,-0.895226
0.4801,0.345929,0.0102775,0.41374,0.926816,-0.375301,-0.0111575,0.00609341,-0.446257,0.126462,-0.895226
0.5001,0.345928,0.0102793,0.413739,0.926815,-0.375304,-0.0111579,0.00609235,-0.455387,0.0554075,-0.910158
0.5201,0.345928,0.0102793,0.413739,0.926815,-0.375304,-0.0111579,0.00609235,-0.575856,0.0583275,-0.835342
0.5401,0.345928,0.0102793,0.413739,0.926815,-0.375304,-0.0111579,0.00609235,-0.575856,0.0583275,-0.835342
0.5601,0.345927,0.0102801,0.413738,0.926815,-0.375303,-0.0111594,0.00609421,-0.431805,0.077386,-0.900383
0.5801,0.345927,0.0102801,0.413738,0.926815,-0.375303,-0.0111594,0.00609421,-0.431805,0.077386,-0.900383
0.6001,0.345929,0.0102766,0.413739,0.926814,-0.375306,-0.0111568,0.00609221,-0.456824,0.0728759,-0.914595
