time,x,y,z,qx,qy,qz,qw,fx,fy,fz
0.0201,0.330867,0.0110839,0.413285,0.914443,-0.403703,-0.0254229,0.0131057,1.03045,-1.19989,-1.64222
0.0401,0.330867,0.0110839,0.413285,0.914443,-0.403703,-0.0254229,0.0131057,1.03045,-1.19989,-1.64222
0.0601,0.330868,0.0110816,0.413286,0.914442,-0.403704,-0.025419,0.0131047,1.02327,-1.25049,-1.60476
0.0801,0.330868,0.0110816,0.413286,0.914442,-0.403704,-0.025419,0.0131047,1.03346,-1.21073,-1.56283
0.1001,0.330869,0.0110837,0.413288,0.914443,-0.403702,-0.0254158,0.0131006,1.03346,-1.21073,-1.56283
0.1201,0.330869,0.0110837,0.413288,0.914443,-0.403702,-0.0254158,0.0131006,1.00638,-1.22221,-1.60952
0.1401,0.330869,0.0110837,0.413288,0.914443,-0.403702,-0.0254158,0.0131006,1.00638,-1.22221,-1.60952
0.1601,0.330869,0.0110845,0.413287,0.914443,-0.403704,-0.0254147,0.0131015,0.991338,-1.21288,-1.62011
0.1801,0.330869,0.0110845,0.413287,0.914443,-0.403704,-0.0254147,0.0131015,1.01604,-1.22373,-1.61259
0.2001,0.330869,0.0110827,0.413289,0.914443,-0.403704,-0.0254136,0.0131012,1.01604,-1.22373,-1.61259
0.2201,0.330869,0.0110827,0.413289,0.914443,-0.403704,-0.0254136,0.0131012,0.992844,-1.21738,-1.6086
0.2401,0.330869,0.0110827,0.413289,0.914443,-0.403704,-0.0254136,0.0131012,0.992844,-1.21738,-1.6086
0.2601,0.330869,0.0110835,0.413289,0.914444,-0.403702,-0.0254111,0.0131006,1.05379,-1.19839,-1.62931
0.2801,0.330869,0.0110835,0.413289,0.914444,-0.403702,-0.0254111,0.0131006,1.12586,-1.20725,-1.6701
0.3001,0.33087,0.0110831,0.413289,0.914443,-0.403704,-0.0254095,0.0130986,1.12586,-1.20725,-1.6701
0.3201,0.33087,0.0110831,0.413289,0.914443,-0.403704,-0.0254095,0.0130986,0.983432,-1.20981,-1.62191
0.3401,0.33087,0.0110831,0.413289,0.914443,-0.403704,-0.0254095,0.0130986,0.983432,-1.20981,-1.62191
0.3601,0.33087,0.0110837,0.413288,0.914444,-0.403702,-0.0254093,0.0130986,1.00717,-1.19687,-1.6085
0.3801,0.33087,0.0110837,0.413288,0.914444,-0.403702,-0.0254093,0.0130986,1.00717,-1.19687,-1.6085
0.4001,0.330869,0.011084,0.413287,0.914443,-0.403703,-0.0254115,0.0130981,1.00038,-1.19611,-1.70352
0.4201,0.330869,0.011084,0.413287,0.914443,-0.403703,-0.0254115,0.0130981,1.01076,-1.19049,-1.58379
0.4401,0.330869,0.011084,0.413287,0.914443,-0.403703,-0.0254115,0.0130981,1.01076,-1.19049,-1.58379
0.4601,0.33087,0.0110868,0.41329,0.914446,-0.403697,-0.0254059,0.0130988,1.00287,-1.1918,-1.60718
0.4801,0.33087,0.0110868,0.41329,0.914446,-0.403697,-0.0254059,0.0130988,1.00287,-1.1918,-1.60718
0.5001,0.330871,0.0110847,0.413291,0.914445,-0.4037,-0.0254045,0.0130974,0.997859,-1.1907,-1.60289
