time,x,y,z,qx,qy,qz,qw
0.0,-0.319454,0.092804,0.0,0.0,0.0,0.0,1.0
0.005,-0.319454,0.092804,0.0,0.0,0.0,0.0,1.0
0.01,-0.319454,0.091117,0.0,0.0,0.0,0.0,1.0
0.015,-0.319454,0.086055,0.0,0.0,0.0,0.0,1.0
0.02,-0.317767,0.08268,0.0,0.0,0.0,0.0,1.0
0.025,-0.317767,0.08268,0.0,0.0,0.0,0.0,1.0
0.03,-0.316079,0.077618,0.0,0.0,0.0,0.0,1.0
0.035,-0.312705,0.072556,0.0,0.0,0.0,0.0,1.0
0.04,-0.311017,0.069181,0.0,0.0,0.0,0.0,1.0
0.045,-0.30933,0.067494,0.0,0.0,0.0,0.0,1.0
0.05,-0.307643,0.062432,0.0,0.0,0.0,0.0,1.0
0.055,-0.305955,0.05737,0.0,0.0,0.0,0.0,1.0
0.06,-0.302581,0.052308,0.0,0.0,0.0,0.0,1.0
0.065,-0.300893,0.047246,0.0,0.0,0.0,0.0,1.0
0.07,-0.297519,0.042184,0.0,0.0,0.0,0.0,1.0
0.075,-0.295831,0.038809,0.0,0.0,0.0,0.0,1.0
0.08,-0.294144,0.035434,0.0,0.0,0.0,0.0,1.0
0.085,-0.292457,0.03206,0.0,0.0,0.0,0.0,1.0
0.09,-0.289082,0.028685,0.0,0.0,0.0,0.0,1.0
0.095,-0.285707,0.023623,0.0,0.0,0.0,0.0,1.0
0.1,-0.282333,0.016873,0.0,0.0,0.0,0.0,1.0
0.105,-0.278958,0.011811,0.0,0.0,0.0,0.0,1.0
0.11,-0.273896,0.006749,0.0,0.0,0.0,0.0,1.0
0.115,-0.268834,0.001687,0.0,0.0,0.0,0.0,1.0
0.12,-0.265459,-0.001687,0.0,0.0,0.0,0.0,1.0
0.125,-0.262084,-0.005062,0.0,0.0,0.0,0.0,1.0
0.13,-0.262084,-0.006749,0.0,0.0,0.0,0.0,1.0
0.135,-0.25871,-0.008437,0.0,0.0,0.0,0.0,1.0
0.14,-0.257022,-0.010124,0.0,0.0,0.0,0.0,1.0
0.145,-0.253648,-0.013499,0.0,0.0,0.0,0.0,1.0
0.15,-0.250273,-0.018561,0.0,0.0,0.0,0.0,1.0
0.155,-0.245211,-0.021935,0.0,0.0,0.0,0.0,1.0
0.16,-0.241836,-0.023623,0.0,0.0,0.0,0.0,1.0
0.165,-0.236774,-0.026998,0.0,0.0,0.0,0.0,1.0
0.17,-0.231712,-0.030372,0.0,0.0,0.0,0.0,1.0
0.175,-0.22665,-0.035434,0.0,0.0,0.0,0.0,1.0
0.18,-0.221588,-0.037122,0.0,0.0,0.0,0.0,1.0
0.185,-0.216526,-0.040496,0.0,0.0,0.0,0.0,1.0
0.19,-0.211464,-0.043871,0.0,0.0,0.0,0.0,1.0
0.195,-0.208089,-0.047246,0.0,0.0,0.0,0.0,1.0
0.2,-0.206402,-0.047246,0.0,0.0,0.0,0.0,1.0
0.205,-0.203027,-0.048933,0.0,0.0,0.0,0.0,1.0
0.21,-0.20134,-0.048933,0.0,0.0,0.0,0.0,1.0
0.215,-0.199653,-0.052308,0.0,0.0,0.0,0.0,1.0
0.22,-0.197965,-0.052308,0.0,0.0,0.0,0.0,1.0
0.225,-0.194591,-0.053995,0.0,0.0,0.0,0.0,1.0
0.23,-0.192903,-0.053995,0.0,0.0,0.0,0.0,1.0
0.235,-0.189529,-0.055682,0.0,0.0,0.0,0.0,1.0
0.24,-0.187841,-0.05737,0.0,0.0,0.0,0.0,1.0
0.245,-0.184467,-0.059057,0.0,0.0,0.0,0.0,1.0
0.25,-0.182779,-0.059057,0.0,0.0,0.0,0.0,1.0
0.255,-0.179404,-0.060744,0.0,0.0,0.0,0.0,1.0
0.26,-0.174342,-0.062432,0.0,0.0,0.0,0.0,1.0
0.265,-0.16928,-0.065806,0.0,0.0,0.0,0.0,1.0
0.27,-0.165906,-0.065806,0.0,0.0,0.0,0.0,1.0
0.275,-0.164218,-0.065806,0.0,0.0,0.0,0.0,1.0
0.28,-0.162531,-0.067494,0.0,0.0,0.0,0.0,1.0
0.285,-0.159156,-0.067494,0.0,0.0,0.0,0.0,1.0
0.29,-0.157469,-0.069181,0.0,0.0,0.0,0.0,1.0
0.295,-0.154094,-0.070868,0.0,0.0,0.0,0.0,1.0
0.3,-0.15072,-0.070868,0.0,0.0,0.0,0.0,1.0
0.305,-0.147345,-0.072556,0.0,0.0,0.0,0.0,1.0
0.31,-0.140596,-0.074243,0.0,0.0,0.0,0.0,1.0
0.315,-0.137221,-0.075931,0.0,0.0,0.0,0.0,1.0
0.32,-0.135533,-0.075931,0.0,0.0,0.0,0.0,1.0
0.325,-0.132159,-0.077618,0.0,0.0,0.0,0.0,1.0
0.33,-0.128784,-0.079305,0.0,0.0,0.0,0.0,1.0
0.335,-0.127097,-0.079305,0.0,0.0,0.0,0.0,1.0
0.34,-0.123722,-0.080993,0.0,0.0,0.0,0.0,1.0
0.345,-0.122035,-0.080993,0.0,0.0,0.0,0.0,1.0
0.35,-0.116973,-0.080993,0.0,0.0,0.0,0.0,1.0
0.355,-0.111911,-0.08268,0.0,0.0,0.0,0.0,1.0
0.36,-0.106849,-0.084367,0.0,0.0,0.0,0.0,1.0
0.365,-0.103474,-0.084367,0.0,0.0,0.0,0.0,1.0
0.37,-0.100099,-0.086055,0.0,0.0,0.0,0.0,1.0
0.375,-0.098412,-0.086055,0.0,0.0,0.0,0.0,1.0
0.38,-0.09335,-0.087742,0.0,0.0,0.0,0.0,1.0
0.385,-0.088288,-0.087742,0.0,0.0,0.0,0.0,1.0
0.39,-0.084913,-0.087742,0.0,0.0,0.0,0.0,1.0
0.395,-0.079851,-0.087742,0.0,0.0,0.0,0.0,1.0
0.4,-0.078164,-0.087742,0.0,0.0,0.0,0.0,1.0
0.405,-0.074789,-0.087742,0.0,0.0,0.0,0.0,1.0
0.41,-0.071414,-0.087742,0.0,0.0,0.0,0.0,1.0
0.415,-0.069727,-0.087742,0.0,0.0,0.0,0.0,1.0
0.42,-0.06804,-0.087742,0.0,0.0,0.0,0.0,1.0
0.425,-0.064665,-0.089429,0.0,0.0,0.0,0.0,1.0
0.43,-0.064665,-0.089429,0.0,0.0,0.0,0.0,1.0
0.435,-0.06129,-0.089429,0.0,0.0,0.0,0.0,1.0
0.44,-0.054541,-0.089429,0.0,0.0,0.0,0.0,1.0
0.445,-0.052854,-0.089429,0.0,0.0,0.0,0.0,1.0
0.45,-0.049479,-0.091117,0.0,0.0,0.0,0.0,1.0
0.455,-0.047792,-0.091117,0.0,0.0,0.0,0.0,1.0
0.46,-0.044417,-0.091117,0.0,0.0,0.0,0.0,1.0
0.465,-0.04273,-0.091117,0.0,0.0,0.0,0.0,1.0
0.47,-0.041042,-0.091117,0.0,0.0,0.0,0.0,1.0
0.475,-0.039355,-0.091117,0.0,0.0,0.0,0.0,1.0
0.48,-0.03598,-0.091117,0.0,0.0,0.0,0.0,1.0
0.485,-0.030918,-0.091117,0.0,0.0,0.0,0.0,1.0
0.49,-0.025856,-0.092804,0.0,0.0,0.0,0.0,1.0
0.495,-0.019107,-0.092804,0.0,0.0,0.0,0.0,1.0
0.5,-0.014045,-0.092804,0.0,0.0,0.0,0.0,1.0
0.505,-0.008983,-0.092804,0.0,0.0,0.0,0.0,1.0
0.51,-0.003921,-0.092804,0.0,0.0,0.0,0.0,1.0
0.515,0.002829,-0.092804,0.0,0.0,0.0,0.0,1.0
0.52,0.004516,-0.092804,0.0,0.0,0.0,0.0,1.0
0.525,0.009578,-0.092804,0.0,0.0,0.0,0.0,1.0
0.53,0.011266,-0.092804,0.0,0.0,0.0,0.0,1.0
0.535,0.01464,-0.092804,0.0,0.0,0.0,0.0,1.0
0.54,0.016328,-0.092804,0.0,0.0,0.0,0.0,1.0
0.545,0.019702,-0.092804,0.0,0.0,0.0,0.0,1.0
0.55,0.02139,-0.092804,0.0,0.0,0.0,0.0,1.0
0.555,0.024764,-0.092804,0.0,0.0,0.0,0.0,1.0
0.56,0.026452,-0.091117,0.0,0.0,0.0,0.0,1.0
0.565,0.031514,-0.091117,0.0,0.0,0.0,0.0,1.0
0.57,0.033201,-0.091117,0.0,0.0,0.0,0.0,1.0
0.575,0.038263,-0.089429,0.0,0.0,0.0,0.0,1.0
0.58,0.043325,-0.087742,0.0,0.0,0.0,0.0,1.0
0.585,0.045012,-0.087742,0.0,0.0,0.0,0.0,1.0
0.59,0.048387,-0.086055,0.0,0.0,0.0,0.0,1.0
0.595,0.051762,-0.086055,0.0,0.0,0.0,0.0,1.0
0.6,0.055136,-0.084367,0.0,0.0,0.0,0.0,1.0
0.605,0.060199,-0.08268,0.0,0.0,0.0,0.0,1.0
0.61,0.063573,-0.080993,0.0,0.0,0.0,0.0,1.0
0.615,0.065261,-0.080993,0.0,0.0,0.0,0.0,1.0
0.62,0.068635,-0.079305,0.0,0.0,0.0,0.0,1.0
0.625,0.068635,-0.079305,0.0,0.0,0.0,0.0,1.0
0.63,0.07201,-0.077618,0.0,0.0,0.0,0.0,1.0
0.635,0.075385,-0.075931,0.0,0.0,0.0,0.0,1.0
0.64,0.077072,-0.074243,0.0,0.0,0.0,0.0,1.0
0.645,0.080447,-0.072556,0.0,0.0,0.0,0.0,1.0
0.65,0.082134,-0.072556,0.0,0.0,0.0,0.0,1.0
0.655,0.083821,-0.070868,0.0,0.0,0.0,0.0,1.0
0.66,0.088883,-0.067494,0.0,0.0,0.0,0.0,1.0
0.665,0.093945,-0.065806,0.0,0.0,0.0,0.0,1.0
0.67,0.09732,-0.064119,0.0,0.0,0.0,0.0,1.0
0.675,0.099007,-0.064119,0.0,0.0,0.0,0.0,1.0
0.68,0.102382,-0.062432,0.0,0.0,0.0,0.0,1.0
0.685,0.104069,-0.060744,0.0,0.0,0.0,0.0,1.0
0.69,0.105757,-0.059057,0.0,0.0,0.0,0.0,1.0
0.695,0.107444,-0.059057,0.0,0.0,0.0,0.0,1.0
0.7,0.110819,-0.05737,0.0,0.0,0.0,0.0,1.0
0.705,0.114194,-0.055682,0.0,0.0,0.0,0.0,1.0
0.71,0.115881,-0.053995,0.0,0.0,0.0,0.0,1.0
0.715,0.119256,-0.052308,0.0,0.0,0.0,0.0,1.0
0.72,0.120943,-0.05062,0.0,0.0,0.0,0.0,1.0
0.725,0.124318,-0.048933,0.0,0.0,0.0,0.0,1.0
0.73,0.126005,-0.047246,0.0,0.0,0.0,0.0,1.0
0.735,0.131067,-0.045558,0.0,0.0,0.0,0.0,1.0
0.74,0.137816,-0.042184,0.0,0.0,0.0,0.0,1.0
0.745,0.144566,-0.038809,0.0,0.0,0.0,0.0,1.0
0.75,0.149628,-0.035434,0.0,0.0,0.0,0.0,1.0
0.755,0.15469,-0.033747,0.0,0.0,0.0,0.0,1.0
0.76,0.156377,-0.03206,0.0,0.0,0.0,0.0,1.0
0.765,0.159752,-0.030372,0.0,0.0,0.0,0.0,1.0
0.77,0.164814,-0.026998,0.0,0.0,0.0,0.0,1.0
0.775,0.168189,-0.02531,0.0,0.0,0.0,0.0,1.0
0.78,0.169876,-0.023623,0.0,0.0,0.0,0.0,1.0
0.785,0.173251,-0.021935,0.0,0.0,0.0,0.0,1.0
0.79,0.174938,-0.020248,0.0,0.0,0.0,0.0,1.0
0.795,0.178313,-0.018561,0.0,0.0,0.0,0.0,1.0
0.8,0.18,-0.016873,0.0,0.0,0.0,0.0,1.0
0.805,0.185062,-0.015186,0.0,0.0,0.0,0.0,1.0
0.81,0.186749,-0.013499,0.0,0.0,0.0,0.0,1.0
0.815,0.188437,-0.011811,0.0,0.0,0.0,0.0,1.0
0.82,0.193499,-0.008437,0.0,0.0,0.0,0.0,1.0
0.825,0.200248,-0.005062,0.0,0.0,0.0,0.0,1.0
0.83,0.20531,0.0,0.0,0.0,0.0,0.0,1.0
0.835,0.206998,0.001687,0.0,0.0,0.0,0.0,1.0
0.84,0.210372,0.005062,0.0,0.0,0.0,0.0,1.0
0.845,0.217122,0.010124,0.0,0.0,0.0,0.0,1.0
0.85,0.223871,0.013499,0.0,0.0,0.0,0.0,1.0
0.855,0.228933,0.018561,0.0,0.0,0.0,0.0,1.0
0.86,0.233995,0.023623,0.0,0.0,0.0,0.0,1.0
0.865,0.23737,0.026998,0.0,0.0,0.0,0.0,1.0
0.87,0.239057,0.028685,0.0,0.0,0.0,0.0,1.0
0.875,0.244119,0.03206,0.0,0.0,0.0,0.0,1.0
0.88,0.245806,0.03206,0.0,0.0,0.0,0.0,1.0
0.885,0.247494,0.035434,0.0,0.0,0.0,0.0,1.0
0.89,0.249181,0.037122,0.0,0.0,0.0,0.0,1.0
0.895,0.252556,0.040496,0.0,0.0,0.0,0.0,1.0
0.9,0.255931,0.043871,0.0,0.0,0.0,0.0,1.0
0.905,0.260993,0.048933,0.0,0.0,0.0,0.0,1.0
0.91,0.264367,0.052308,0.0,0.0,0.0,0.0,1.0
0.915,0.269429,0.05737,0.0,0.0,0.0,0.0,1.0
0.92,0.272804,0.062432,0.0,0.0,0.0,0.0,1.0
0.925,0.274491,0.067494,0.0,0.0,0.0,0.0,1.0
0.93,0.277866,0.070868,0.0,0.0,0.0,0.0,1.0
0.935,0.281241,0.074243,0.0,0.0,0.0,0.0,1.0
0.94,0.281241,0.075931,0.0,0.0,0.0,0.0,1.0
0.945,0.282928,0.079305,0.0,0.0,0.0,0.0,1.0
0.95,0.284615,0.080993,0.0,0.0,0.0,0.0,1.0
0.955,0.286303,0.084367,0.0,0.0,0.0,0.0,1.0
0.96,0.28799,0.084367,0.0,0.0,0.0,0.0,1.0
0.965,0.28799,0.087742,0.0,0.0,0.0,0.0,1.0
0.97,0.289677,0.087742,0.0,0.0,0.0,0.0,1.0
0.975,0.291365,0.091117,0.0,0.0,0.0,0.0,1.0
0.98,0.291365,0.092804,0.0,0.0,0.0,0.0,1.0
0.985,0.293052,0.094491,0.0,0.0,0.0,0.0,1.0
0.99,0.293052,0.094491,0.0,0.0,0.0,0.0,1.0
0.995,0.294739,0.097866,0.0,0.0,0.0,0.0,1.0
1.0,0.294739,0.099553,0.0,0.0,0.0,0.0,1.0
1.005,0.298114,0.102928,0.0,0.0,0.0,0.0,1.0
1.01,0.298114,0.104615,0.0,0.0,0.0,0.0,1.0
1.015,0.298114,0.106303,0.0,0.0,0.0,0.0,1.0
1.02,0.299801,0.10799,0.0,0.0,0.0,0.0,1.0
1.025,0.299801,0.10799,0.0,0.0,0.0,0.0,1.0
1.03,0.299801,0.10799,0.0,0.0,0.0,0.0,1.0
1.035,0.294739,0.101241,0.0,0.0,0.0,0.0,1.0
1.04,0.289677,0.094491,0.0,0.0,0.0,0.0,1.0
1.045,0.286303,0.089429,0.0,0.0,0.0,0.0,1.0
