time,x,y,z,qx,qy,qz,qw
0.0,-0.019107,0.322283,0.0,0.0,0.0,0.0,1.0
0.005,-0.019107,0.322283,0.0,0.0,0.0,0.0,1.0
0.01,-0.015732,0.322283,0.0,0.0,0.0,0.0,1.0
0.015,-0.014045,0.322283,0.0,0.0,0.0,0.0,1.0
0.02,-0.012357,0.322283,0.0,0.0,0.0,0.0,1.0
0.025,-0.008983,0.322283,0.0,0.0,0.0,0.0,1.0
0.03,-0.008983,0.322283,0.0,0.0,0.0,0.0,1.0
0.035,-0.007295,0.322283,0.0,0.0,0.0,0.0,1.0
0.04,-0.007295,0.322283,0.0,0.0,0.0,0.0,1.0
0.045,-0.005608,0.322283,0.0,0.0,0.0,0.0,1.0
0.05,-0.003921,0.322283,0.0,0.0,0.0,0.0,1.0
0.055,-0.002233,0.322283,0.0,0.0,0.0,0.0,1.0
0.06,-0.000546,0.322283,0.0,0.0,0.0,0.0,1.0
0.065,0.001141,0.322283,0.0,0.0,0.0,0.0,1.0
0.07,0.004516,0.322283,0.0,0.0,0.0,0.0,1.0
0.075,0.006203,0.322283,0.0,0.0,0.0,0.0,1.0
0.08,0.006203,0.322283,0.0,0.0,0.0,0.0,1.0
0.085,0.009578,0.322283,0.0,0.0,0.0,0.0,1.0
0.09,0.011266,0.322283,0.0,0.0,0.0,0.0,1.0
0.095,0.012953,0.322283,0.0,0.0,0.0,0.0,1.0
0.1,0.01464,0.322283,0.0,0.0,0.0,0.0,1.0
0.105,0.018015,0.322283,0.0,0.0,0.0,0.0,1.0
0.11,0.02139,0.322283,0.0,0.0,0.0,0.0,1.0
0.115,0.023077,0.322283,0.0,0.0,0.0,0.0,1.0
0.12,0.023077,0.322283,0.0,0.0,0.0,0.0,1.0
0.125,0.026452,0.320596,0.0,0.0,0.0,0.0,1.0
0.13,0.028139,0.320596,0.0,0.0,0.0,0.0,1.0
0.135,0.029826,0.320596,0.0,0.0,0.0,0.0,1.0
0.14,0.031514,0.318908,0.0,0.0,0.0,0.0,1.0
0.145,0.034888,0.318908,0.0,0.0,0.0,0.0,1.0
0.15,0.036576,0.317221,0.0,0.0,0.0,0.0,1.0
0.155,0.03995,0.315533,0.0,0.0,0.0,0.0,1.0
0.16,0.043325,0.315533,0.0,0.0,0.0,0.0,1.0
0.165,0.045012,0.313846,0.0,0.0,0.0,0.0,1.0
0.17,0.048387,0.312159,0.0,0.0,0.0,0.0,1.0
0.175,0.051762,0.310471,0.0,0.0,0.0,0.0,1.0
0.18,0.053449,0.308784,0.0,0.0,0.0,0.0,1.0
0.185,0.055136,0.308784,0.0,0.0,0.0,0.0,1.0
0.19,0.056824,0.305409,0.0,0.0,0.0,0.0,1.0
0.195,0.060199,0.303722,0.0,0.0,0.0,0.0,1.0
0.2,0.061886,0.302035,0.0,0.0,0.0,0.0,1.0
0.205,0.063573,0.302035,0.0,0.0,0.0,0.0,1.0
0.21,0.065261,0.300347,0.0,0.0,0.0,0.0,1.0
0.215,0.066948,0.29866,0.0,0.0,0.0,0.0,1.0
0.22,0.070323,0.296973,0.0,0.0,0.0,0.0,1.0
0.225,0.07201,0.295285,0.0,0.0,0.0,0.0,1.0
0.23,0.073697,0.295285,0.0,0.0,0.0,0.0,1.0
0.235,0.077072,0.291911,0.0,0.0,0.0,0.0,1.0
0.24,0.080447,0.290223,0.0,0.0,0.0,0.0,1.0
0.245,0.080447,0.288536,0.0,0.0,0.0,0.0,1.0
0.25,0.083821,0.286849,0.0,0.0,0.0,0.0,1.0
0.255,0.087196,0.285161,0.0,0.0,0.0,0.0,1.0
0.26,0.087196,0.283474,0.0,0.0,0.0,0.0,1.0
0.265,0.088883,0.281787,0.0,0.0,0.0,0.0,1.0
0.27,0.090571,0.281787,0.0,0.0,0.0,0.0,1.0
0.275,0.092258,0.280099,0.0,0.0,0.0,0.0,1.0
0.28,0.095633,0.276725,0.0,0.0,0.0,0.0,1.0
0.285,0.09732,0.275037,0.0,0.0,0.0,0.0,1.0
0.29,0.100695,0.271663,0.0,0.0,0.0,0.0,1.0
0.295,0.102382,0.269975,0.0,0.0,0.0,0.0,1.0
0.3,0.102382,0.268288,0.0,0.0,0.0,0.0,1.0
0.305,0.102382,0.2666,0.0,0.0,0.0,0.0,1.0
0.31,0.104069,0.2666,0.0,0.0,0.0,0.0,1.0
0.315,0.105757,0.261538,0.0,0.0,0.0,0.0,1.0
0.32,0.107444,0.256476,0.0,0.0,0.0,0.0,1.0
0.325,0.107444,0.254789,0.0,0.0,0.0,0.0,1.0
0.33,0.110819,0.246352,0.0,0.0,0.0,0.0,1.0
0.335,0.112506,0.24129,0.0,0.0,0.0,0.0,1.0
0.34,0.114194,0.236228,0.0,0.0,0.0,0.0,1.0
0.345,0.114194,0.232854,0.0,0.0,0.0,0.0,1.0
0.35,0.115881,0.229479,0.0,0.0,0.0,0.0,1.0
0.355,0.117568,0.227792,0.0,0.0,0.0,0.0,1.0
0.36,0.117568,0.22273,0.0,0.0,0.0,0.0,1.0
0.365,0.119256,0.217667,0.0,0.0,0.0,0.0,1.0
0.37,0.119256,0.212605,0.0,0.0,0.0,0.0,1.0
0.375,0.119256,0.205856,0.0,0.0,0.0,0.0,1.0
0.38,0.120943,0.197419,0.0,0.0,0.0,0.0,1.0
0.385,0.120943,0.188983,0.0,0.0,0.0,0.0,1.0
0.39,0.120943,0.185608,0.0,0.0,0.0,0.0,1.0
0.395,0.120943,0.183921,0.0,0.0,0.0,0.0,1.0
0.4,0.120943,0.180546,0.0,0.0,0.0,0.0,1.0
0.405,0.120943,0.178859,0.0,0.0,0.0,0.0,1.0
0.41,0.120943,0.175484,0.0,0.0,0.0,0.0,1.0
0.415,0.120943,0.170422,0.0,0.0,0.0,0.0,1.0
0.42,0.120943,0.16536,0.0,0.0,0.0,0.0,1.0
0.425,0.120943,0.15861,0.0,0.0,0.0,0.0,1.0
0.43,0.120943,0.156923,0.0,0.0,0.0,0.0,1.0
0.435,0.120943,0.153548,0.0,0.0,0.0,0.0,1.0
0.44,0.120943,0.151861,0.0,0.0,0.0,0.0,1.0
0.445,0.120943,0.148486,0.0,0.0,0.0,0.0,1.0
0.45,0.120943,0.146799,0.0,0.0,0.0,0.0,1.0
0.455,0.119256,0.141737,0.0,0.0,0.0,0.0,1.0
0.46,0.117568,0.136675,0.0,0.0,0.0,0.0,1.0
0.465,0.117568,0.134988,0.0,0.0,0.0,0.0,1.0
0.47,0.115881,0.129926,0.0,0.0,0.0,0.0,1.0
0.475,0.114194,0.124864,0.0,0.0,0.0,0.0,1.0
0.48,0.110819,0.119801,0.0,0.0,0.0,0.0,1.0
0.485,0.109132,0.116427,0.0,0.0,0.0,0.0,1.0
0.49,0.107444,0.113052,0.0,0.0,0.0,0.0,1.0
0.495,0.107444,0.111365,0.0,0.0,0.0,0.0,1.0
0.5,0.104069,0.10799,0.0,0.0,0.0,0.0,1.0
0.505,0.102382,0.106303,0.0,0.0,0.0,0.0,1.0
0.51,0.100695,0.102928,0.0,0.0,0.0,0.0,1.0
0.515,0.099007,0.101241,0.0,0.0,0.0,0.0,1.0
0.52,0.09732,0.099553,0.0,0.0,0.0,0.0,1.0
0.525,0.093945,0.097866,0.0,0.0,0.0,0.0,1.0
0.53,0.093945,0.096179,0.0,0.0,0.0,0.0,1.0
0.535,0.092258,0.094491,0.0,0.0,0.0,0.0,1.0
0.54,0.090571,0.094491,0.0,0.0,0.0,0.0,1.0
0.545,0.088883,0.092804,0.0,0.0,0.0,0.0,1.0
0.55,0.088883,0.091117,0.0,0.0,0.0,0.0,1.0
0.555,0.087196,0.089429,0.0,0.0,0.0,0.0,1.0
0.56,0.083821,0.087742,0.0,0.0,0.0,0.0,1.0
0.565,0.080447,0.086055,0.0,0.0,0.0,0.0,1.0
0.57,0.077072,0.08268,0.0,0.0,0.0,0.0,1.0
0.575,0.07201,0.080993,0.0,0.0,0.0,0.0,1.0
0.58,0.068635,0.079305,0.0,0.0,0.0,0.0,1.0
0.585,0.068635,0.079305,0.0,0.0,0.0,0.0,1.0
0.59,0.065261,0.077618,0.0,0.0,0.0,0.0,1.0
0.595,0.061886,0.074243,0.0,0.0,0.0,0.0,1.0
