time,x,y,z,qx,qy,qz,qw
0.0,0.002829,0.232854,0.0,0.0,0.0,0.0,1.0
0.005,0.002829,0.232854,0.0,0.0,0.0,0.0,1.0
0.01,0.002829,0.227792,0.0,0.0,0.0,0.0,1.0
0.015,0.002829,0.217667,0.0,0.0,0.0,0.0,1.0
0.02,0.002829,0.207543,0.0,0.0,0.0,0.0,1.0
0.025,0.002829,0.197419,0.0,0.0,0.0,0.0,1.0
0.03,0.002829,0.187295,0.0,0.0,0.0,0.0,1.0
0.035,0.002829,0.177171,0.0,0.0,0.0,0.0,1.0
0.04,0.002829,0.168734,0.0,0.0,0.0,0.0,1.0
0.045,0.002829,0.161985,0.0,0.0,0.0,0.0,1.0
0.05,0.002829,0.15861,0.0,0.0,0.0,0.0,1.0
0.055,0.002829,0.153548,0.0,0.0,0.0,0.0,1.0
0.06,0.002829,0.143424,0.0,0.0,0.0,0.0,1.0
0.065,0.001141,0.1333,0.0,0.0,0.0,0.0,1.0
0.07,0.001141,0.121489,0.0,0.0,0.0,0.0,1.0
0.075,0.001141,0.109677,0.0,0.0,0.0,0.0,1.0
0.08,-0.000546,0.097866,0.0,0.0,0.0,0.0,1.0
0.085,-0.000546,0.087742,0.0,0.0,0.0,0.0,1.0
0.09,-0.000546,0.075931,0.0,0.0,0.0,0.0,1.0
0.095,-0.000546,0.067494,0.0,0.0,0.0,0.0,1.0
0.1,-0.000546,0.059057,0.0,0.0,0.0,0.0,1.0
0.105,-0.000546,0.048933,0.0,0.0,0.0,0.0,1.0
0.11,-0.000546,0.038809,0.0,0.0,0.0,0.0,1.0
0.115,-0.000546,0.03206,0.0,0.0,0.0,0.0,1.0
0.12,-0.000546,0.028685,0.0,0.0,0.0,0.0,1.0
0.125,-0.000546,0.018561,0.0,0.0,0.0,0.0,1.0
0.13,-0.000546,0.010124,0.0,0.0,0.0,0.0,1.0
0.135,-0.000546,0.006749,0.0,0.0,0.0,0.0,1.0
0.14,-0.000546,-0.001687,0.0,0.0,0.0,0.0,1.0
0.145,-0.000546,-0.011811,0.0,0.0,0.0,0.0,1.0
0.15,-0.000546,-0.015186,0.0,0.0,0.0,0.0,1.0
0.155,-0.000546,-0.02531,0.0,0.0,0.0,0.0,1.0
0.16,-0.000546,-0.028685,0.0,0.0,0.0,0.0,1.0
0.165,-0.000546,-0.037122,0.0,0.0,0.0,0.0,1.0
0.17,-0.000546,-0.040496,0.0,0.0,0.0,0.0,1.0
0.175,-0.000546,-0.048933,0.0,0.0,0.0,0.0,1.0
0.18,-0.000546,-0.059057,0.0,0.0,0.0,0.0,1.0
0.185,-0.000546,-0.069181,0.0,0.0,0.0,0.0,1.0
0.19,-0.000546,-0.079305,0.0,0.0,0.0,0.0,1.0
0.195,-0.000546,-0.089429,0.0,0.0,0.0,0.0,1.0
0.2,-0.000546,-0.097866,0.0,0.0,0.0,0.0,1.0
0.205,-0.000546,-0.101241,0.0,0.0,0.0,0.0,1.0
0.21,-0.000546,-0.106303,0.0,0.0,0.0,0.0,1.0
0.215,-0.000546,-0.109677,0.0,0.0,0.0,0.0,1.0
0.22,-0.000546,-0.114739,0.0,0.0,0.0,0.0,1.0
0.225,-0.000546,-0.118114,0.0,0.0,0.0,0.0,1.0
0.23,-0.000546,-0.123176,0.0,0.0,0.0,0.0,1.0
0.235,-0.000546,-0.126551,0.0,0.0,0.0,0.0,1.0
0.24,-0.000546,-0.1333,0.0,0.0,0.0,0.0,1.0
0.245,-0.000546,-0.138362,0.0,0.0,0.0,0.0,1.0
0.25,-0.000546,-0.14005,0.0,0.0,0.0,0.0,1.0
0.255,-0.000546,-0.146799,0.0,0.0,0.0,0.0,1.0
0.26,-0.000546,-0.155236,0.0,0.0,0.0,0.0,1.0
0.265,-0.000546,-0.161985,0.0,0.0,0.0,0.0,1.0
0.27,-0.000546,-0.163672,0.0,0.0,0.0,0.0,1.0
0.275,-0.000546,-0.170422,0.0,0.0,0.0,0.0,1.0
0.28,-0.000546,-0.175484,0.0,0.0,0.0,0.0,1.0
0.285,-0.000546,-0.177171,0.0,0.0,0.0,0.0,1.0
0.29,-0.000546,-0.183921,0.0,0.0,0.0,0.0,1.0
0.295,-0.002233,-0.192357,0.0,0.0,0.0,0.0,1.0
0.3,-0.002233,-0.195732,0.0,0.0,0.0,0.0,1.0
0.305,-0.002233,-0.202481,0.0,0.0,0.0,0.0,1.0
0.31,-0.002233,-0.204169,0.0,0.0,0.0,0.0,1.0
0.315,-0.002233,-0.209231,0.0,0.0,0.0,0.0,1.0
0.32,-0.003921,-0.214293,0.0,0.0,0.0,0.0,1.0
0.325,-0.003921,-0.221042,0.0,0.0,0.0,0.0,1.0
0.33,-0.003921,-0.224417,0.0,0.0,0.0,0.0,1.0
0.335,-0.003921,-0.232854,0.0,0.0,0.0,0.0,1.0
0.34,-0.003921,-0.236228,0.0,0.0,0.0,0.0,1.0
0.345,-0.003921,-0.246352,0.0,0.0,0.0,0.0,1.0
0.35,-0.003921,-0.259851,0.0,0.0,0.0,0.0,1.0
0.355,-0.003921,-0.271663,0.0,0.0,0.0,0.0,1.0
0.36,-0.003921,-0.278412,0.0,0.0,0.0,0.0,1.0
0.365,-0.003921,-0.280099,0.0,0.0,0.0,0.0,1.0
0.37,-0.003921,-0.283474,0.0,0.0,0.0,0.0,1.0
0.375,-0.003921,-0.285161,0.0,0.0,0.0,0.0,1.0
0.38,-0.003921,-0.288536,0.0,0.0,0.0,0.0,1.0
