time,x,y,z,qx,qy,qz,qw
0.0,-0.012357,0.305409,0.0,0.0,0.0,0.0,1.0
0.005,-0.012357,0.305409,0.0,0.0,0.0,0.0,1.0
0.01,-0.008983,0.305409,0.0,0.0,0.0,0.0,1.0
0.015,-0.007295,0.305409,0.0,0.0,0.0,0.0,1.0
0.02,-0.003921,0.305409,0.0,0.0,0.0,0.0,1.0
0.025,0.001141,0.305409,0.0,0.0,0.0,0.0,1.0
0.03,0.002829,0.305409,0.0,0.0,0.0,0.0,1.0
0.035,0.007891,0.305409,0.0,0.0,0.0,0.0,1.0
0.04,0.012953,0.305409,0.0,0.0,0.0,0.0,1.0
0.045,0.019702,0.305409,0.0,0.0,0.0,0.0,1.0
0.05,0.024764,0.305409,0.0,0.0,0.0,0.0,1.0
0.055,0.029826,0.305409,0.0,0.0,0.0,0.0,1.0
0.06,0.033201,0.305409,0.0,0.0,0.0,0.0,1.0
0.065,0.038263,0.305409,0.0,0.0,0.0,0.0,1.0
0.07,0.043325,0.305409,0.0,0.0,0.0,0.0,1.0
0.075,0.0467,0.305409,0.0,0.0,0.0,0.0,1.0
0.08,0.051762,0.307097,0.0,0.0,0.0,0.0,1.0
0.085,0.056824,0.307097,0.0,0.0,0.0,0.0,1.0
0.09,0.061886,0.307097,0.0,0.0,0.0,0.0,1.0
0.095,0.068635,0.307097,0.0,0.0,0.0,0.0,1.0
0.1,0.075385,0.307097,0.0,0.0,0.0,0.0,1.0
0.105,0.080447,0.307097,0.0,0.0,0.0,0.0,1.0
0.11,0.085509,0.307097,0.0,0.0,0.0,0.0,1.0
0.115,0.092258,0.307097,0.0,0.0,0.0,0.0,1.0
0.12,0.095633,0.307097,0.0,0.0,0.0,0.0,1.0
0.125,0.09732,0.307097,0.0,0.0,0.0,0.0,1.0
0.13,0.102382,0.307097,0.0,0.0,0.0,0.0,1.0
0.135,0.105757,0.307097,0.0,0.0,0.0,0.0,1.0
0.14,0.110819,0.307097,0.0,0.0,0.0,0.0,1.0
0.145,0.115881,0.307097,0.0,0.0,0.0,0.0,1.0
0.15,0.117568,0.307097,0.0,0.0,0.0,0.0,1.0
0.155,0.119256,0.307097,0.0,0.0,0.0,0.0,1.0
0.16,0.12263,0.307097,0.0,0.0,0.0,0.0,1.0
0.165,0.126005,0.307097,0.0,0.0,0.0,0.0,1.0
0.17,0.127692,0.307097,0.0,0.0,0.0,0.0,1.0
0.175,0.131067,0.307097,0.0,0.0,0.0,0.0,1.0
0.18,0.132754,0.307097,0.0,0.0,0.0,0.0,1.0
0.185,0.139504,0.307097,0.0,0.0,0.0,0.0,1.0
0.19,0.144566,0.307097,0.0,0.0,0.0,0.0,1.0
0.195,0.146253,0.307097,0.0,0.0,0.0,0.0,1.0
0.2,0.153002,0.307097,0.0,0.0,0.0,0.0,1.0
0.205,0.158065,0.307097,0.0,0.0,0.0,0.0,1.0
0.21,0.163127,0.307097,0.0,0.0,0.0,0.0,1.0
0.215,0.164814,0.307097,0.0,0.0,0.0,0.0,1.0
0.22,0.168189,0.307097,0.0,0.0,0.0,0.0,1.0
0.225,0.171563,0.307097,0.0,0.0,0.0,0.0,1.0
0.23,0.174938,0.307097,0.0,0.0,0.0,0.0,1.0
0.235,0.181687,0.307097,0.0,0.0,0.0,0.0,1.0
0.24,0.186749,0.307097,0.0,0.0,0.0,0.0,1.0
0.245,0.191811,0.307097,0.0,0.0,0.0,0.0,1.0
0.25,0.196873,0.307097,0.0,0.0,0.0,0.0,1.0
0.255,0.203623,0.307097,0.0,0.0,0.0,0.0,1.0
0.26,0.20531,0.307097,0.0,0.0,0.0,0.0,1.0
0.265,0.206998,0.307097,0.0,0.0,0.0,0.0,1.0
0.27,0.21206,0.307097,0.0,0.0,0.0,0.0,1.0
